age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
20,Male,9.11,4.91,1.53,5.09,6.48,249,152,6.93,Medium,No,Severe,0
22,Female,6.2,3.31,2.62,5.75,8.3,54,146,14.88,Medium,Yes,Moderate,1
28,Other,5.12,5.74,0.65,5.08,7.87,25,180,5.08,Medium,No,Mild,1
21,Male,5.95,3.02,3.61,1.03,8.39,216,120,7.5,High,Yes,Mild,0
32,Male,11.53,5.33,0.27,3.48,4.5,112,180,12.06,High,No,Severe,1
22,Female,10.42,3.13,1.21,3.04,8.33,97,86,8.01,Medium,No,Moderate,1
19,Female,6.07,5.53,2.09,5.06,5.07,188,99,6.15,Medium,No,Severe,0
24,Female,4.28,2.68,1.33,3.5,6.71,128,177,3.98,Low,Yes,,1
27,Other,7.03,4.48,1.39,1.81,7.4,48,130,6.86,Medium,No,Severe,1
25,Other,5.29,5.2,3.57,1.33,7.9,172,180,8.18,Medium,No,Moderate,1
29,Female,5.35,3.11,1.92,4.72,6.01,83,176,6.21,Medium,No,Moderate,1
18,Other,11.46,4.26,1.91,3.51,8.27,20,96,5.46,High,Yes,Severe,0
22,Male,3.53,2.18,3.14,1.88,4.53,36,170,10.51,Medium,Yes,,0
19,Other,8.27,4.41,0.24,3.85,5.2,136,180,13.37,Medium,No,,0
35,Male,9.81,1.38,2.14,5.64,6.24,22,180,3.58,Medium,No,Mild,1
29,Female,4.62,2.83,1.7,4.39,4.83,105,59,4.86,Low,Yes,Severe,1
34,Female,4.22,3.17,0.0,3.14,4.5,22,132,5.63,Low,No,Moderate,1
23,Other,10.04,1.06,3.06,5.89,8.62,163,162,12.48,Medium,Yes,,1
19,Other,11.73,5.6,1.56,2.85,7.09,183,156,7.58,Low,No,Severe,0
28,Female,5.77,5.51,0.0,4.71,5.57,189,169,4.95,Medium,No,Moderate,1
18,Male,9.12,3.3,0.0,5.82,5.04,20,43,12.32,Medium,No,Moderate,0
27,Female,10.58,3.03,1.34,6.0,5.95,196,167,6.68,Medium,Yes,Severe,0
22,Other,12.0,5.25,1.93,4.22,4.5,20,97,11.99,Medium,Yes,Moderate,1
19,Other,5.45,4.08,1.44,2.41,4.82,145,104,4.41,High,Yes,Moderate,1
25,Male,9.34,4.73,3.05,1.72,5.57,108,70,5.94,High,Yes,Moderate,1
27,Other,5.06,5.23,1.04,6.0,8.05,25,180,4.84,Medium,No,,1
25,Female,3.0,4.54,1.37,5.4,8.46,94,145,8.68,Low,No,Moderate,1
32,Female,7.37,4.55,2.15,3.71,6.38,20,180,12.24,High,Yes,Severe,0
19,Other,10.74,4.4,2.29,2.63,5.7,105,57,4.02,Medium,No,Mild,1
24,Female,6.38,1.74,2.12,5.57,4.72,74,167,5.96,Low,No,Moderate,1
21,Female,10.31,5.34,1.08,1.49,4.91,103,92,12.17,High,No,Moderate,1
24,Other,7.92,2.95,0.0,5.87,5.37,56,180,4.68,Medium,No,,0
30,Female,6.14,3.22,1.94,6.0,6.21,170,180,4.97,Low,No,Moderate,1
20,Other,8.86,4.81,1.97,2.28,8.43,20,47,10.28,Low,Yes,Severe,1
24,Female,8.0,1.51,0.77,3.75,7.04,112,170,11.5,High,No,Severe,1
18,Other,10.81,3.69,0.0,1.29,5.0,122,160,9.17,Low,Yes,Severe,0
22,Other,5.71,5.28,0.32,5.8,6.44,44,49,8.58,High,Yes,Severe,1
23,Other,5.71,6.0,0.0,4.28,4.5,100,143,3.58,High,No,Moderate,1
35,Female,11.67,6.0,2.05,6.0,4.75,151,139,11.08,Medium,No,Moderate,1
22,Other,11.35,5.66,0.0,5.65,8.58,109,167,9.36,Medium,No,Moderate,1
32,Other,7.9,3.68,0.0,5.51,7.9,20,129,4.41,Medium,Yes,Mild,1
21,Female,8.18,1.63,1.86,5.96,8.17,112,93,10.86,High,Yes,Severe,0
24,Male,8.92,3.89,2.01,6.0,7.11,82,180,13.96,Medium,Yes,Mild,1
28,Female,7.71,4.49,1.3,4.8,6.56,50,125,5.39,Medium,Yes,Severe,1
18,Female,7.76,4.24,0.0,3.53,7.42,20,137,3.81,Low,No,Severe,1
27,Female,5.25,5.08,3.84,4.72,6.0,167,177,12.08,High,No,Severe,1
31,Female,10.41,2.37,1.01,1.81,8.12,69,171,14.03,High,Yes,Mild,1
35,Other,7.77,1.68,1.23,3.8,5.06,20,46,7.52,Medium,Yes,Severe,1
29,Male,3.0,4.45,0.47,4.3,8.28,161,137,4.58,Low,Yes,Severe,1
23,Other,4.38,3.48,2.19,6.0,5.71,105,133,11.36,Low,No,Mild,1
22,Male,6.03,4.03,3.13,3.2,5.59,39,180,3.73,Medium,Yes,Severe,1
26,Other,11.19,3.38,1.29,6.0,6.1,101,97,3.86,Low,No,Mild,1
19,Male,4.07,1.81,1.78,5.39,7.92,64,77,3.58,Low,Yes,Moderate,1
32,Other,9.03,1.14,1.35,1.78,4.5,55,173,8.43,Low,No,Mild,1
28,Other,10.42,2.15,1.32,2.79,8.37,125,103,9.43,Low,No,Moderate,0
33,Male,4.46,2.54,1.62,2.23,7.17,20,180,6.9,Low,No,Moderate,0
18,Female,5.31,3.16,1.11,3.81,5.94,120,170,14.06,Low,No,Mild,1
20,Female,7.45,2.23,2.86,4.86,8.48,88,180,13.6,Low,No,Moderate,1
20,Male,4.98,6.0,2.7,1.35,5.08,182,161,10.92,Medium,Yes,Moderate,1
26,Other,5.93,5.49,0.88,1.62,7.92,20,139,5.72,Low,No,,1
31,Female,9.27,3.95,1.06,5.48,4.8,214,180,5.03,Medium,No,Mild,1
22,Female,5.58,4.15,2.55,6.0,6.75,84,38,9.15,Medium,Yes,Moderate,0
27,Male,6.88,2.24,3.24,6.0,5.68,160,134,11.63,High,No,Severe,1
33,Other,3.0,5.81,2.38,4.9,7.84,117,53,12.5,Medium,Yes,Severe,0
21,Female,11.99,2.36,1.2,3.42,5.56,91,142,6.55,High,Yes,Mild,1
23,Male,6.88,5.92,2.19,5.25,8.3,133,180,3.62,High,No,Mild,0
27,Female,9.69,5.63,1.71,5.97,5.36,41,171,7.55,Low,No,Mild,1
22,Male,7.77,2.38,0.0,3.14,5.24,20,16,3.58,Low,No,Severe,1
18,Female,4.45,5.79,0.0,6.0,5.51,167,92,10.29,Medium,No,Severe,1
26,Other,10.22,3.44,2.44,6.0,7.05,92,154,9.99,Medium,No,Severe,1
22,Other,7.0,3.35,2.28,5.93,4.5,195,169,13.2,High,Yes,Moderate,1
21,Male,10.41,6.0,0.0,4.85,4.93,20,180,11.15,Medium,No,Moderate,1
22,Female,10.5,1.82,2.45,4.98,4.5,80,130,11.55,Medium,No,,0
20,Other,8.47,3.47,0.15,4.03,6.71,54,163,10.98,High,Yes,Severe,1
18,Male,8.38,3.69,1.9,3.83,6.09,56,154,12.51,Medium,Yes,Moderate,1
18,Other,8.4,3.88,2.25,2.3,6.24,198,15,7.58,Medium,No,Moderate,1
21,Other,11.48,6.0,0.0,4.42,6.48,158,171,4.5,Low,No,Moderate,1
18,Other,8.54,6.0,3.2,5.35,6.52,94,180,6.39,Low,No,,1
33,Female,8.32,3.83,0.0,4.61,8.35,23,167,5.48,Medium,Yes,Moderate,0
25,Male,6.95,0.57,0.79,2.63,8.66,140,87,3.69,Low,Yes,,0
28,Other,11.35,3.92,0.54,5.3,7.92,50,101,13.76,Low,Yes,Mild,1
33,Male,9.52,0.59,1.49,4.12,6.65,51,58,10.64,Medium,No,Moderate,1
31,Female,4.12,2.42,0.97,0.86,6.46,64,27,13.04,High,Yes,Mild,1
18,Other,6.06,5.51,0.84,5.25,5.76,20,86,3.58,Low,Yes,,0
19,Other,4.16,3.87,1.62,4.97,6.56,116,85,6.27,Low,No,Mild,1
26,Male,11.71,4.7,0.94,1.68,9.0,180,86,7.71,High,No,Severe,0
33,Other,4.75,0.92,0.74,3.62,7.27,118,95,10.67,Medium,Yes,Moderate,1
20,Other,12.0,4.6,0.0,5.12,8.49,20,21,9.24,Medium,No,,1
18,Female,7.13,5.21,1.32,4.59,7.86,53,178,13.39,Low,Yes,Severe,1
28,Other,6.29,5.08,1.62,5.79,5.43,222,180,4.61,Medium,Yes,Mild,1
26,Other,10.12,3.74,2.09,5.73,5.08,20,66,6.46,Medium,Yes,Moderate,1
24,Other,4.33,1.74,1.22,6.0,5.04,106,44,3.58,High,No,,0
26,Other,9.33,6.0,1.61,4.16,5.15,136,171,6.41,Medium,No,Severe,0
23,Female,7.19,6.0,3.23,5.02,7.37,147,180,7.59,High,No,Severe,1
18,Other,11.61,3.13,0.0,5.7,4.5,32,57,4.63,Medium,Yes,Mild,1
31,Male,6.71,6.0,2.05,4.97,4.5,73,168,14.88,Low,No,Moderate,1
30,Other,7.51,5.64,1.21,6.0,4.5,144,180,3.69,Low,No,Severe,1
29,Female,3.74,5.69,2.17,2.01,5.85,82,144,8.21,Low,No,Severe,1
24,Male,7.0,5.45,2.22,3.46,4.5,140,180,14.88,Low,No,Moderate,1
18,Male,7.18,0.91,2.01,1.2,7.21,92,180,8.8,High,No,,1
24,Other,5.5,4.98,2.0,4.18,4.5,20,86,3.82,Medium,No,,0
23,Other,10.3,3.07,1.25,5.71,5.96,93,148,4.71,Medium,No,Moderate,1
33,Male,11.09,0.69,1.9,6.0,4.5,152,180,9.87,Medium,No,Moderate,1
18,Other,3.14,4.9,3.28,4.39,5.32,249,154,10.6,Medium,No,Severe,1
