Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
8970884,34,male,3,own,moderate,,1497,72,radio/TV,good
3143223,42,female,3,rent,rich,little,11428,42,furniture/equipment,good
10810119,29,male,2,own,quite rich,moderate,3568,15,business,good
7748627,25,male,2,own,quite rich,little,2682,16,car,good
915797,19,female,2,rent,,,2334,13,radio/TV,good
4610624,36,female,2,own,moderate,little,9981,6,radio/TV,good
10936459,29,male,2,own,little,little,2650,28,car,good
11441858,19,male,2,own,little,,13856,52,radio/TV,good
3187447,22,male,3,free,,little,2365,23,furniture/equipment,bad
14846246,22,male,2,own,little,,3159,24,furniture/equipment,good
683403,19,male,2,rent,little,,9143,46,radio/TV,good
13931502,19,male,2,own,little,moderate,4320,21,radio/TV,good
550367,20,male,2,own,little,little,2953,25,radio/TV,good
10454593,21,male,2,free,little,,18424,72,furniture/equipment,bad
3644681,25,male,2,own,little,moderate,5650,36,radio/TV,bad
5608464,23,female,2,own,little,moderate,2727,20,domestic appliances,bad
15769834,19,male,1,rent,little,little,275,22,radio/TV,bad
12222591,19,female,1,rent,little,little,2168,22,furniture/equipment,good
13282325,19,male,2,own,,,9546,27,radio/TV,good
4952719,20,male,3,rent,little,little,15534,64,car,good
3789661,19,female,1,rent,little,moderate,6287,25,car,good
16587930,19,male,2,own,,moderate,17744,44,car,good
8955695,56,female,2,own,little,little,11676,17,repairs,good
10794163,19,male,2,rent,little,,2036,41,car,bad
4900880,19,male,2,own,,little,18424,47,car,good
13928266,19,male,2,rent,rich,little,5356,6,car,good
11931517,19,female,2,own,moderate,,4405,17,vacation/others,bad
16807,19,female,2,own,little,,10985,23,radio/TV,bad
3367811,22,male,2,free,little,moderate,4209,19,business,good
14005712,75,male,1,own,little,moderate,18424,62,car,good
8456694,20,male,3,own,little,,2217,5,radio/TV,bad
4700681,25,male,2,rent,little,rich,10810,23,car,bad
16486495,20,female,1,free,quite rich,moderate,3141,11,furniture/equipment,good
248198,25,female,3,rent,little,rich,1669,71,car,good
3027016,35,female,3,own,little,rich,5263,19,car,good
7630597,20,male,2,free,little,moderate,546,10,radio/TV,good
11225585,20,female,0,own,,little,11113,13,radio/TV,good
1713737,27,male,2,own,little,moderate,11472,46,car,good
10009482,19,male,2,own,,moderate,3478,39,vacation/others,good
14014870,22,male,2,rent,little,moderate,10338,39,furniture/equipment,good
15907459,19,male,3,free,little,rich,8733,24,repairs,good
8109211,27,female,0,free,little,,14604,39,furniture/equipment,bad
11606049,19,male,1,rent,little,little,4228,19,vacation/others,good
9418159,26,male,1,own,moderate,little,2427,12,education,good
13602866,31,male,2,free,little,little,2726,48,domestic appliances,good
520156,19,male,1,own,,,2233,18,car,good
7225740,22,female,2,rent,quite rich,,6564,21,furniture/equipment,good
8491953,33,female,3,free,quite rich,little,4938,43,car,good
13545549,26,female,2,rent,little,moderate,2473,18,domestic appliances,bad
11940133,19,male,2,own,moderate,,5110,26,radio/TV,bad
13798269,22,female,3,rent,little,moderate,2776,5,car,good
4608135,30,male,2,own,little,moderate,1757,42,business,good
5214804,30,male,2,own,little,,2252,24,radio/TV,good
9812295,19,female,3,own,quite rich,little,5959,21,domestic appliances,good
11408466,24,male,2,own,little,,2396,19,furniture/equipment,good
16397071,19,female,2,own,little,little,7172,18,car,bad
262138,19,female,2,free,,,250,21,education,bad
10921559,31,male,2,own,little,,738,19,car,good
11636092,23,female,2,own,,moderate,5814,20,furniture/equipment,good
9882768,19,female,3,own,,little,4759,13,radio/TV,good
3765399,27,female,2,own,,rich,666,24,business,bad
2674312,31,male,1,own,moderate,,10203,22,furniture/equipment,good
9863602,35,male,2,own,rich,little,11982,33,furniture/equipment,good
16604455,20,male,2,free,little,little,4847,16,furniture/equipment,good
11566541,29,male,2,free,little,moderate,1748,17,car,good
13774302,22,female,2,own,little,moderate,4595,7,radio/TV,good
15973855,19,male,2,own,rich,,1922,26,business,bad
11658484,19,male,2,own,little,little,2695,18,furniture/equipment,good
5415822,19,male,0,rent,moderate,moderate,1128,32,education,good
7355284,19,male,3,own,moderate,,7591,43,radio/TV,good
7915619,21,male,1,own,little,little,2590,42,radio/TV,bad
8389146,25,female,2,own,quite rich,,5841,21,furniture/equipment,bad
316193,20,female,3,own,little,moderate,1572,15,business,good
8919716,20,female,2,own,little,,2397,27,car,good
6172598,39,male,3,rent,little,rich,2497,20,car,bad
1267261,27,female,2,own,little,rich,2628,48,radio/TV,good
3098654,23,male,1,rent,,little,5794,16,furniture/equipment,good
13950331,21,male,2,own,little,,9514,28,furniture/equipment,bad
9425228,19,male,2,free,little,,876,16,car,good
9328830,22,female,2,rent,,,1604,17,business,bad
14983110,25,male,2,rent,little,moderate,10135,44,furniture/equipment,good
10630630,19,male,2,own,moderate,,2689,21,furniture/equipment,bad
11084925,19,male,3,rent,little,little,4114,17,car,bad
5219953,24,male,2,rent,rich,moderate,2476,14,car,bad
5765723,20,male,2,rent,quite rich,,4394,35,furniture/equipment,good
10594699,22,male,2,own,little,,4898,22,education,good
1771295,19,male,1,free,,moderate,2856,8,furniture/equipment,bad
7430647,21,female,2,own,little,,8201,25,car,bad
541103,31,male,0,free,quite rich,little,5934,25,radio/TV,good
16073657,23,male,1,rent,,,5386,18,repairs,bad
5426672,19,male,2,own,little,moderate,2640,13,car,bad
11334372,34,male,2,own,little,,3100,5,car,bad
7936692,19,male,2,rent,quite rich,little,2439,27,business,good
9068250,22,male,2,free,little,little,4793,22,car,good
13347001,30,female,1,own,little,little,2458,19,furniture/equipment,good
13182087,21,male,0,free,little,moderate,1471,13,car,good
14366600,24,male,2,own,little,rich,3335,23,repairs,good
9705800,19,male,2,own,little,moderate,362,11,car,good
1576254,19,male,3,rent,little,,7904,13,vacation/others,good
8840577,27,male,1,own,little,rich,4839,22,radio/TV,bad
3998672,56,male,2,own,little,little,5659,12,furniture/equipment,bad
5983886,19,female,2,own,little,,3527,18,business,good
13348628,19,male,1,own,,,2849,23,car,good
13392810,19,female,2,rent,,,4562,10,radio/TV,bad
9395359,28,male,2,own,,moderate,2348,21,repairs,bad
15727257,19,female,2,own,moderate,little,250,20,car,good
8062076,37,male,1,free,,moderate,9222,34,furniture/equipment,good
14017527,22,female,2,rent,little,moderate,2465,61,furniture/equipment,bad
9000013,39,female,2,own,little,little,1262,48,business,good
11420656,20,male,2,own,,little,8622,49,car,good
2239337,22,male,1,free,little,moderate,3588,9,furniture/equipment,good
15766082,21,male,2,own,moderate,little,250,16,business,good
1617584,19,male,2,own,,,3535,19,business,good
4639286,21,male,2,rent,moderate,,2689,18,education,good
7308074,26,male,2,own,,moderate,18424,21,furniture/equipment,good
5401386,21,male,2,own,moderate,,4996,16,radio/TV,bad
4400442,26,female,0,own,little,moderate,18424,63,radio/TV,good
6293077,32,male,3,own,moderate,little,2853,50,vacation/others,bad
7210644,36,male,2,own,moderate,moderate,18424,14,car,bad
3651911,45,male,2,own,quite rich,moderate,18424,27,furniture/equipment,good
8063631,21,female,2,own,,,10624,12,furniture/equipment,good
14602892,21,male,2,rent,little,moderate,2935,23,business,good
9973246,22,male,2,free,little,little,5475,21,furniture/equipment,good
15397518,30,male,2,own,little,little,15027,51,radio/TV,bad
7613538,19,male,1,own,rich,rich,2937,24,repairs,good
10462174,22,female,2,own,little,moderate,5432,40,car,good
3629990,19,female,2,own,moderate,moderate,1167,19,radio/TV,good
4649213,37,male,2,free,,moderate,5066,23,car,good
10099302,21,male,2,own,little,little,2620,37,business,bad
11489935,24,male,1,rent,little,little,2639,45,car,good
3987197,23,female,3,rent,little,little,2905,10,radio/TV,good
11636962,28,male,2,free,little,moderate,12655,14,education,good
16738532,19,male,3,rent,little,little,1873,28,car,good
8848535,23,male,2,free,,,3104,17,business,bad
8433413,22,male,2,rent,,,11235,19,business,good
5705083,19,male,1,own,rich,moderate,1786,12,furniture/equipment,good
16564354,35,male,1,own,moderate,little,3382,8,furniture/equipment,good
14333997,22,female,2,free,little,,17614,59,business,good
11940360,19,male,3,rent,little,moderate,8851,19,car,good
7585467,19,male,3,rent,quite rich,little,18424,20,car,good
7617912,21,female,2,own,little,,451,32,car,good
3885728,20,male,1,rent,moderate,,1442,18,radio/TV,bad
314767,28,male,2,rent,little,moderate,5861,41,furniture/equipment,bad
9609445,29,male,2,own,,moderate,11358,37,car,good
8811297,25,female,2,own,little,little,6366,19,furniture/equipment,bad
10160387,19,male,3,rent,moderate,moderate,1378,65,repairs,good
9472533,26,male,2,own,,little,2605,66,car,bad
14513796,19,male,3,free,,,13015,11,car,good
3083699,22,male,2,own,rich,,5570,23,car,good
15799387,23,male,2,rent,little,little,6508,13,car,good
14716281,24,male,1,rent,moderate,moderate,11016,27,car,good
1600465,29,male,2,own,,,2756,9,radio/TV,good
15076903,23,female,2,own,little,little,2098,23,radio/TV,good
16716326,19,male,2,rent,,moderate,12081,17,furniture/equipment,good
897160,42,male,1,own,quite rich,little,761,26,furniture/equipment,bad
15767480,19,female,2,own,little,moderate,3219,18,furniture/equipment,good
4339554,19,male,2,own,rich,moderate,2796,18,business,good
7974462,32,female,3,own,,,2744,17,furniture/equipment,good
5323999,20,male,2,own,,moderate,5464,48,radio/TV,good
7621284,32,male,2,own,little,moderate,6234,16,car,good
935793,19,female,0,own,quite rich,moderate,7694,44,furniture/equipment,bad
13909407,33,female,2,own,little,,1361,17,car,good
2308140,29,male,2,own,little,little,11250,19,car,bad
13487455,43,male,2,rent,,,4464,18,car,good
8652428,27,female,2,own,little,little,9579,25,car,bad
473834,37,male,2,own,little,moderate,3764,23,radio/TV,good
3584827,33,male,1,own,little,,1883,17,furniture/equipment,good
2354414,28,male,2,free,little,moderate,8897,34,furniture/equipment,good
6609986,19,male,1,own,,,2855,17,business,bad
10081825,34,female,2,rent,moderate,moderate,374,67,furniture/equipment,good
3125526,34,male,2,own,moderate,moderate,18424,14,car,good
11880938,24,male,3,rent,little,,3047,14,radio/TV,good
8449485,32,female,1,free,rich,,5166,20,business,good
2422582,34,female,2,free,,moderate,5131,20,car,good
11654672,19,male,1,rent,little,moderate,12607,8,car,good
12323406,24,female,2,own,rich,little,1875,31,furniture/equipment,good
1960281,39,male,0,own,little,,3130,18,radio/TV,good
15360430,19,female,3,free,little,,3947,19,car,good
8652467,25,male,2,own,little,,8326,11,car,good
14309698,30,male,2,own,,rich,10443,39,radio/TV,bad
11225165,19,male,3,own,little,moderate,1040,47,radio/TV,good
6486390,28,male,2,own,rich,,1233,46,car,bad
4580997,21,male,3,rent,,moderate,1149,15,car,good
8735179,34,male,0,own,little,,4592,22,radio/TV,bad
13793512,19,male,0,own,little,,1426,12,car,bad
11445405,19,female,3,own,little,little,12218,53,education,bad
1971009,19,male,2,rent,little,,4311,20,radio/TV,good
14337421,25,male,2,own,little,moderate,2844,17,furniture/equipment,bad
5579358,20,male,0,own,little,moderate,3043,27,business,good
15051224,27,male,2,own,little,moderate,2867,23,car,good
15020900,19,male,2,own,rich,,8783,20,furniture/equipment,good
16561430,36,female,2,free,moderate,little,8309,72,repairs,good
6717217,26,male,2,rent,little,,2223,19,radio/TV,good
16738818,34,male,3,free,little,,2871,13,car,good
2223909,22,male,2,own,,,9235,21,car,good
14637240,19,male,2,own,quite rich,little,6130,21,furniture/equipment,good
15386630,19,male,2,own,little,,4666,66,furniture/equipment,good
8292816,25,female,0,own,little,,2357,9,radio/TV,bad
