Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
59,male,3,own,little,,1873,27,radio/TV,good
24,female,3,own,moderate,little,3295,72,furniture/equipment,good
40,male,2,own,quite rich,moderate,1934,20,car,good
26,male,2,own,quite rich,moderate,1733,21,car,good
20,female,2,rent,rich,moderate,1718,19,car,good
32,female,2,own,moderate,little,1562,16,business,good
22,male,2,own,little,little,2409,22,car,good
23,male,2,free,little,,690,56,radio/TV,good
33,male,3,rent,rich,little,1937,22,furniture/equipment,good
19,male,2,own,little,,5549,21,furniture/equipment,good
36,male,2,own,little,moderate,3850,36,vacation/others,good
19,male,1,own,little,rich,1168,18,repairs,good
28,male,1,own,moderate,little,1644,25,radio/TV,bad
36,male,2,free,little,,2512,69,car,good
19,male,2,own,little,moderate,4038,11,radio/TV,bad
29,female,2,own,little,moderate,895,23,domestic appliances,bad
23,female,2,rent,little,little,1050,23,radio/TV,bad
69,male,1,rent,little,little,2369,16,car,good
19,male,2,rent,,,3405,22,radio/TV,good
26,male,3,rent,little,little,1800,24,car,good
38,female,1,rent,little,moderate,1673,26,radio/TV,good
28,male,2,own,,moderate,1148,32,repairs,good
43,female,2,own,little,little,1383,14,repairs,good
27,male,0,rent,little,moderate,2332,66,car,bad
31,male,2,free,,little,1455,30,car,good
44,male,2,rent,rich,little,4478,20,car,bad
41,female,2,own,moderate,,15672,12,vacation/others,bad
20,female,2,own,,,8099,22,radio/TV,good
24,male,2,free,little,,2535,17,car,good
75,male,1,own,little,moderate,4742,52,radio/TV,good
31,female,3,own,little,,2611,22,radio/TV,good
52,male,2,rent,little,rich,2937,15,radio/TV,good
26,male,1,free,quite rich,moderate,3877,12,furniture/equipment,good
46,female,3,rent,little,rich,926,49,car,good
28,male,3,own,little,rich,4803,12,car,good
19,female,2,free,little,moderate,1788,24,radio/TV,good
22,female,2,rent,,rich,2996,23,radio/TV,good
75,male,2,own,,moderate,9782,39,car,good
28,male,1,rent,,,4364,26,vacation/others,bad
24,male,1,rent,little,moderate,2974,26,furniture/equipment,good
26,male,3,free,little,,10110,26,repairs,good
22,female,3,free,little,,2897,20,furniture/equipment,bad
27,male,2,rent,little,little,2387,14,radio/TV,good
29,male,1,own,moderate,moderate,2871,5,education,good
23,male,2,own,little,moderate,2905,20,domestic appliances,good
26,female,1,own,,,304,68,radio/TV,good
59,female,2,rent,little,,1772,20,furniture/equipment,good
32,female,3,free,little,little,4701,25,car,good
26,male,2,rent,,moderate,803,15,domestic appliances,bad
29,male,2,own,,,10019,26,radio/TV,bad
28,male,3,rent,little,moderate,2844,20,car,bad
25,female,2,own,little,moderate,1744,22,business,good
62,male,2,own,little,,1220,23,radio/TV,good
25,female,3,rent,quite rich,little,3532,9,domestic appliances,good
24,male,2,own,little,,2426,4,education,good
22,female,3,own,little,,2350,17,car,good
52,male,2,free,,,1205,9,radio/TV,bad
22,male,2,own,little,,2613,17,car,good
43,female,2,own,,moderate,2303,24,radio/TV,good
30,male,3,free,,rich,4389,20,radio/TV,good
52,male,2,own,little,rich,2636,15,business,bad
44,male,2,own,little,,5987,18,furniture/equipment,bad
27,female,2,own,rich,little,8612,24,radio/TV,good
19,male,2,free,little,little,3218,14,furniture/equipment,good
44,male,0,free,little,,2374,47,car,good
22,female,2,own,little,moderate,3972,15,radio/TV,good
19,male,2,own,rich,,2572,26,business,bad
23,female,2,own,little,little,2593,12,domestic appliances,good
27,male,0,rent,moderate,moderate,2798,45,education,good
39,female,3,own,moderate,,2624,24,radio/TV,good
