Date,Price
1845-01,17.06
1917-10,987.436
1978-07,346.049
1986-10,213.182
1898-12,101.783
1891-11,246.557
1924-02,2037.043
1868-10,231.199
1918-05,234.318
1854-03,180.872
1879-10,2553.234
1897-10,755.197
1881-12,17.06
1897-04,17.06
2025-05,184.761
1975-06,180.883
1989-12,17.06
1945-03,42.74
1907-01,5019.97
1880-10,4917.941
1918-06,513.673
1874-01,17.06
1888-09,353.357
1872-10,263.746
2026-02,669.514
1834-07,314.708
1923-01,2816.985
1955-07,1411.664
1961-07,410.363
1890-01,555.878
1921-03,1808.265
1888-07,1262.424
1870-09,17.06
1857-06,2735.225
2025-06,17.06
1988-12,448.521
1864-05,17.06
1904-03,91.254
1977-08,2675.905
1833-01,346.955
1972-12,182.25
1859-01,590.809
1889-11,17.06
2002-10,1345.342
1945-02,17.06
1942-09,360.887
1901-09,259.139
1968-06,17.06
1910-10,196.978
1947-12,56.633
1971-03,1357.254
1922-01,929.597
1860-12,4869.031
1883-11,37.055
1974-10,435.389
1928-12,3097.844
1920-10,17.06
1941-07,4377.23
1833-01,17.06
1982-12,220.25
1984-03,1110.612
2014-11,2596.047
2026-02,922.691
1880-01,700.712
1901-09,4381.279
1879-05,760.707
1856-04,57.666
1866-05,250.361
1915-05,189.074
1999-12,727.307
1976-01,591.013
1841-10,4236.693
2009-07,2618.663
1908-11,1340.709
1918-09,1415.09
2004-10,478.733
1865-01,489.779
1973-03,247.112
1839-01,111.844
1867-03,145.636
1978-11,115.808
1935-11,1256.255
1901-02,1542.962
1833-01,430.46
1882-02,487.715
1906-11,1698.457
1910-09,17.06
1957-02,4819.243
1891-11,966.312
1912-10,332.959
1991-05,17.06
1928-11,286.295
1868-05,187.241
1962-06,1072.524
1889-09,186.62
1833-01,1280.826
1944-03,2273.45
1897-05,1211.823
1863-09,1119.71
1945-03,1775.708
1979-01,89.032
1970-11,104.96
1892-02,22.718
1887-05,648.396
1938-04,17.06
1833-11,1248.878
1876-12,2079.914
2012-01,1358.542
1926-03,917.194
1919-02,201.588
1978-12,179.034
1861-06,1114.09
2026-02,2038.498
2001-03,503.575
1866-05,17.06
1900-08,17.06
1935-09,17.06
1883-05,3553.083
1933-09,17.06
2006-01,95.11
1921-09,23.158
1940-05,129.721
1870-09,25.799
1929-04,321.766
1926-08,960.348
1951-07,35.443
1931-07,259.248
1996-01,901.26
1870-06,1302.319
1957-06,257.836
1987-05,17.06
2017-02,514.444
1943-05,597.202
1903-11,1619.411
1957-02,540.643
1860-06,233.015
2012-06,17.194
1911-06,17.06
1863-02,3478.342
1870-10,40.932
1905-05,369.37
1984-07,2478.554
1897-09,924.095
2015-05,284.393
1962-03,405.44
2003-02,17.06
1930-06,145.686
1995-02,342.686
1955-03,17.06
1935-12,17.06
1939-05,2922.024
1862-03,402.051
1868-12,319.391
1873-02,857.778
1839-06,414.223
1854-04,208.087
1964-06,693.279
1877-09,71.144
1941-05,777.947
1984-08,1651.658
1869-07,201.689
1903-08,909.695
1940-09,810.196
1876-04,17.06
1957-10,133.77
1845-10,419.192
1833-01,862.604
1901-04,17.06
1930-09,1062.716
1833-01,461.596
1954-11,471.524
1964-01,876.525
1857-05,17.06
1865-07,2916.107
1921-02,17.06
1890-12,1188.684
1884-09,767.192
1971-03,17.06
2026-02,17.06
1934-04,209.945
1833-01,398.29
1888-04,33.286
1863-12,3527.233
1962-06,17.06
1875-10,17.06
1968-06,1922.419
1878-07,41.034
1969-10,17.06
1877-04,3986.859
1833-01,769.42
1906-09,3185.916
1891-10,17.06
1920-11,650.752
1833-01,37.686
1891-04,460.342
2012-08,126.199
1842-06,2298.373
1846-07,1560.374
1850-09,4062.839
1843-10,1545.58
1963-09,34.408
1841-06,392.868
1999-04,17.06
1833-01,1185.406
1833-01,557.828
1871-09,189.947
1851-07,173.963
1877-10,3136.787
1833-01,460.356
1895-03,731.078
1923-03,288.525
1892-02,155.551
1869-08,461.113
1995-11,320.055
1870-12,17.06
1839-03,836.129
1960-01,400.213
1918-10,1030.82
1936-12,838.941
1932-04,17.06
1839-09,353.539
1906-10,1213.121
2023-04,759.035
1955-02,17.06
1845-10,4827.799
1972-09,636.152
1953-10,192.291
1938-05,371.193
1838-12,462.88
1966-08,58.956
1902-06,1119.865
1919-12,1706.011
1884-04,2964.032
1873-04,1494.672
1833-01,1288.983
1861-02,2139.952
1976-12,623.85
1909-02,530.774
2026-02,231.036
1968-05,253.531
1855-05,935.209
1973-06,17.06
1962-05,17.06
1883-09,451.831
1949-05,1314.438
1901-01,17.06
1992-01,315.004
1921-03,17.06
1853-01,243.295
1864-01,17.06
1932-04,546.875
2022-02,17.06
2026-02,2112.097
1889-01,1238.771
