Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
45,female,1,rent,little,,3088,20,business,good
54,female,2,own,rich,little,2359,43,business,good
64,female,2,rent,,,1041,40,business,good
31,male,1,own,quite rich,moderate,3429,34,radio/TV,bad
35,male,1,own,quite rich,rich,250,40,repairs,bad
46,male,1,own,rich,moderate,3827,14,radio/TV,bad
25,male,0,free,,little,7644,16,car,bad
61,male,3,free,quite rich,moderate,2069,61,education,bad
30,male,2,own,little,rich,2421,24,furniture/equipment,good
27,female,0,own,,,1012,24,furniture/equipment,bad
34,female,1,free,rich,,250,24,vacation/others,bad
57,female,0,own,quite rich,little,428,56,domestic appliances,bad
39,male,0,free,rich,rich,1522,36,domestic appliances,bad
42,female,2,free,,little,1579,16,education,bad
39,female,2,free,little,,2167,63,domestic appliances,good
68,male,1,own,rich,,1981,17,car,bad
42,female,2,own,rich,rich,9919,25,domestic appliances,bad
26,male,0,rent,,little,710,34,domestic appliances,good
74,male,2,own,little,rich,9575,24,education,bad
21,female,1,rent,rich,,2969,51,business,good
68,male,1,free,quite rich,little,686,17,repairs,bad
67,female,1,free,,,1738,33,repairs,bad
67,male,2,own,,little,13888,39,furniture/equipment,good
38,female,3,rent,rich,moderate,3635,17,car,good
43,male,0,own,,rich,1033,19,furniture/equipment,bad
75,female,1,rent,,rich,3597,60,education,bad
41,male,1,own,little,little,1287,39,education,bad
33,female,2,own,,moderate,1284,5,repairs,bad
36,female,0,rent,moderate,,4141,51,repairs,bad
32,female,2,rent,moderate,moderate,4026,23,furniture/equipment,bad
30,male,0,free,moderate,rich,4898,25,domestic appliances,good
31,male,0,rent,rich,,1972,60,business,bad
43,female,3,own,,rich,4987,45,vacation/others,bad
39,male,3,free,rich,,1197,23,furniture/equipment,bad
33,male,1,rent,little,,13793,15,furniture/equipment,bad
34,male,0,own,moderate,,14653,45,furniture/equipment,good
38,male,2,own,little,little,3867,19,repairs,good
28,male,2,rent,moderate,little,8894,49,radio/TV,bad
27,male,3,rent,moderate,rich,1988,18,education,bad
34,male,1,own,little,moderate,5238,15,vacation/others,good
36,male,1,own,moderate,,4920,11,vacation/others,good
25,female,2,free,little,rich,10151,21,furniture/equipment,good
37,male,1,own,moderate,little,6205,56,radio/TV,good
66,male,2,own,moderate,,2621,25,business,good
60,male,2,free,moderate,,2937,28,radio/TV,bad
40,male,2,rent,quite rich,rich,1352,15,vacation/others,bad
41,female,2,own,rich,moderate,8463,13,furniture/equipment,good
41,male,0,own,quite rich,rich,2872,44,vacation/others,good
33,female,0,own,little,rich,1936,48,education,good
39,male,0,rent,little,moderate,4135,35,business,bad
51,female,1,free,moderate,,17030,23,furniture/equipment,bad
62,female,0,rent,little,little,4605,42,furniture/equipment,bad
34,male,3,rent,moderate,,830,42,vacation/others,bad
48,female,1,own,quite rich,rich,250,18,repairs,good
50,female,3,own,quite rich,little,250,43,repairs,good
26,male,0,rent,moderate,,8333,15,business,bad
45,male,2,rent,quite rich,moderate,5007,38,domestic appliances,good
22,male,3,rent,little,rich,523,18,car,bad
40,male,2,own,quite rich,rich,745,25,education,bad
72,male,3,own,rich,little,3006,22,furniture/equipment,good
70,female,1,rent,rich,,2776,26,furniture/equipment,bad
28,female,0,rent,rich,moderate,10573,18,education,bad
38,female,2,rent,,moderate,5941,22,business,bad
75,female,2,free,little,moderate,11659,64,vacation/others,good
44,male,1,free,,,1951,11,vacation/others,good
49,female,3,own,moderate,,2218,19,repairs,bad
38,female,1,free,little,,16570,68,car,good
41,female,0,own,little,,2395,26,car,bad
36,female,1,rent,quite rich,rich,2491,22,education,bad
23,female,3,free,little,,743,21,education,bad
30,male,1,rent,rich,rich,8503,66,car,good
33,female,1,rent,little,,5006,39,vacation/others,bad
27,male,3,own,rich,moderate,6384,45,radio/TV,bad
52,male,2,own,rich,,250,43,business,good
19,female,2,own,,moderate,1285,11,radio/TV,bad
30,female,2,free,moderate,moderate,5218,13,radio/TV,bad
47,male,2,free,,,1359,42,vacation/others,bad
25,female,2,own,moderate,moderate,359,19,education,bad
49,male,3,own,little,little,7877,68,vacation/others,good
75,male,1,own,,,8346,36,repairs,good
58,male,1,own,moderate,,2908,19,vacation/others,good
33,female,0,rent,little,moderate,9858,10,vacation/others,good
29,male,1,own,little,little,1329,33,radio/TV,good
39,male,2,rent,rich,rich,1994,18,car,bad
