HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Base_Stats,normal_weakness,fire_weakness,water_weakness,electric_weakness,grass_weakness,ice_weakness,fighting_weakness,poison_weakness,ground_weakness,flying_weakness,psychic_weakness,bug_weakness,rock_weakness,ghost_weakness,dragon_weakness,dark_weakness,steel_weakness,fairy_weakness,height_inches,height_meters,weight_pounds,weight_kilograms,capturing_rate,gender_male_ratio,egg_steps,egg_cycles,abilities,Type 1,Type 2,Classification_info,Forms,gen,Is_Legendary,Is_Mythical,Is_Ultra_Beast,number_immune,number_not_effective,number_normal,number_super_effective
73,68,151,60,130,40,606,0.99,1.95,0.71,1.83,0.25,2.06,0.15,2.21,0.54,0.97,0.02,4.0,0.99,0.1,2.0,1.0,0.25,3.14,4036,2.0,2127.3,65.6,255,3.76,23970,48,Cute Charm; Normalize; Wonder Skin,Rock,Flying,Emotion,Mega Charizard X; Mega Charizard Y,1,0,1,1,2,3,11,1
58,88,95,78,148,66,479,0.13,0.27,0.4,1.0,0.38,0.51,2.06,0.99,1.96,0.52,0.1,0.54,1.95,2.1,0.0,1.95,0.49,0.66,209,1.6,1783.4,11.3,78,22.24,5845,93,Pure Power; Telepathy,Ghost,Psychic,Seed,Galarian Farfetch'd,7,0,0,0,1,1,9,1
42,67,75,117,122,46,437,0.0,1.92,1.93,3.39,0.27,0.47,4.0,3.83,1.03,0.34,0.0,3.61,2.05,0.5,1.0,0.42,0.99,3.54,445,12.9,136.5,64.7,3,20.35,7777,404,Aroma Veil; Female; Female Abilities; Gluttony; Hidden; Lingering Aroma; Thick Fat,Psychic,Dragon,Light,Mega Heracross,3,1,1,1,1,2,13,5
116,158,89,97,82,74,284,0.23,4.0,0.48,0.0,0.49,1.98,0.54,2.01,0.49,1.99,0.02,0.29,3.36,1.9,1.0,1.98,0.5,1.02,4753,3.6,2.0,786.0,74,,7320,55,Available; Corrosion; Oblivious,Electric,Fire,Blaze,Midday Form; Midnight Form; Dusk Form,5,1,0,0,1,6,8,2
30,135,121,114,91,46,576,1.0,1.0,0.97,0.0,0.32,0.94,0.49,3.02,0.54,0.3,2.12,1.02,1.04,1.0,2.0,0.25,0.35,0.98,246,0.1,139.4,86.1,182,5.88,5572,68,Natural Cure,Fighting,Fairy,Balloon,Dusk Mane Necrozma; Dawn Wings Necrozma; Ultra Necrozma,4,1,0,0,0,5,16,1
57,109,214,57,150,63,540,0.0,0.25,1.0,1.02,0.54,0.97,3.26,0.07,2.02,0.96,0.53,0.54,1.93,1.0,2.0,2.06,0.54,0.25,372,2.3,0.2,157.4,76,41.7,6948,522,Aroma Veil; Gluttony; Thick Fat,Flying,Dark,Water Lizard,Red-Striped Form; Blue-Striped Form; White-Striped Form,8,1,1,0,1,0,11,2
84,71,91,98,117,76,476,0.0,4.0,0.64,0.09,1.0,0.48,3.44,2.01,0.96,1.9,0.99,0.29,3.17,1.0,1.0,0.29,0.51,1.89,601,0.1,0.2,35.9,40,81.36,30004,207,Intimidate; Moxie; Quick Feet,Grass,Steel,Silent,Zero Form; Hero Form,2,0,1,0,2,10,9,2
55,72,46,49,65,43,428,1.0,0.59,0.51,3.42,4.0,0.68,1.03,0.97,1.99,2.02,1.0,0.33,4.0,0.1,1.0,2.08,0.46,3.5,380,0.4,194.4,20.8,179,71.34,29937,193,Compound Eyes; Swarm; Unnerve,Fire,Dragon,Patient,Mega Metagross,1,0,0,0,0,1,7,2
70,144,42,43,48,61,533,0.0,0.65,0.99,0.52,0.55,1.03,0.26,0.99,1.99,3.23,0.46,0.46,1.0,1.0,2.0,1.85,0.7,0.27,460,0.7,804.2,259.9,49,20.02,6694,710,Own Tempo; Rain Dish; Swift Swim,Water,Ground,Pumpkin,Primal Groudon,8,0,1,0,1,4,7,5
41,117,100,52,51,97,559,1.0,1.02,3.6,1.01,4.0,3.77,1.95,2.05,2.0,0.48,2.08,0.34,1.92,0.4,1.0,1.89,0.99,3.45,709,0.9,39.9,22.4,4,47.06,5325,61,Pressure; Static,Fighting,Flying,Coin Chest,Galarian Farfetch'd,4,0,0,1,2,3,9,6
