Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
24,No,Travel_Frequently,1489,Sales,2,3,Medical,1,2,Male,41,2,3,Manager,1,Single,1009,6911,1,Y,No,12,4,2,80,0,3,2,3,18,1,0,1
28,Yes,Travel_Rarely,1133,Sales,25,3,Life Sciences,1,4,Female,100,3,1,Sales Executive,3,Single,2104,8869,8,Y,Yes,19,3,4,80,0,1,3,3,13,0,0,9
20,No,Travel_Rarely,824,Research & Development,4,4,Medical,1,4,Male,52,3,2,Sales Executive,2,Divorced,2455,23312,9,Y,Yes,25,3,1,80,0,1,3,1,10,0,8,0
30,No,Travel_Rarely,272,Research & Development,15,5,Medical,1,2,Male,56,2,1,Healthcare Representative,2,Married,3187,3421,1,Y,No,14,3,3,80,1,0,2,3,1,6,0,6
28,No,Travel_Frequently,141,Sales,3,3,Other,1,3,Female,97,2,1,Sales Executive,3,Married,6833,15967,1,Y,No,15,3,1,80,1,6,2,3,8,0,0,6
31,No,Travel_Rarely,1214,Research & Development,14,2,Medical,1,2,Male,100,4,2,Healthcare Representative,4,Married,5515,18912,1,Y,No,18,3,4,80,3,0,3,3,9,0,3,3
39,No,Travel_Rarely,1095,Sales,29,3,Medical,1,3,Male,45,2,3,Laboratory Technician,4,Divorced,4219,11195,5,Y,Yes,25,3,1,80,0,17,2,2,6,6,0,1
32,No,Travel_Rarely,978,Research & Development,3,4,Marketing,1,1,Male,80,3,1,Laboratory Technician,3,Married,1449,15372,1,Y,No,25,3,3,80,0,0,3,3,3,7,1,0
26,No,Travel_Rarely,1088,Sales,14,3,Medical,1,3,Female,61,3,2,Research Scientist,2,Single,2618,2930,1,Y,No,14,3,3,80,0,9,3,1,12,6,0,1
37,No,Travel_Rarely,596,Research & Development,13,3,Medical,1,2,Male,77,2,5,Research Scientist,1,Single,3179,2094,1,Y,No,14,3,2,80,0,4,2,3,8,2,1,12
44,Yes,Travel_Rarely,102,Research & Development,5,2,Life Sciences,1,2,Male,52,3,1,Research Scientist,4,Single,4976,8191,1,Y,Yes,21,3,3,80,1,4,2,3,12,1,0,2
44,No,Travel_Rarely,769,Research & Development,11,5,Life Sciences,1,1,Male,45,1,2,Healthcare Representative,4,Married,1853,26999,3,Y,No,15,3,3,80,1,17,3,3,4,0,1,2
41,No,Travel_Rarely,1250,Research & Development,5,2,Medical,1,3,Female,87,3,2,Manufacturing Director,4,Divorced,2546,16410,1,Y,No,17,3,4,80,1,0,2,3,11,0,6,8
27,No,Travel_Rarely,1095,Sales,26,1,Medical,1,3,Male,55,2,1,Sales Executive,1,Married,3037,2847,1,Y,Yes,13,3,2,80,0,8,3,2,4,0,0,3
53,No,Travel_Frequently,157,Sales,26,3,Medical,1,4,Female,68,3,1,Healthcare Representative,4,Single,4707,22075,3,Y,No,18,3,1,80,2,1,2,3,8,2,0,3
21,No,Travel_Rarely,1081,Research & Development,29,5,Technical Degree,1,3,Male,53,3,5,Laboratory Technician,1,Single,3504,20712,5,Y,Yes,25,3,1,80,2,8,3,3,6,2,1,6
42,No,Travel_Rarely,528,Research & Development,16,4,Medical,1,2,Male,98,1,2,Research Scientist,1,Married,16943,26629,5,Y,No,14,4,1,80,0,12,3,3,5,1,1,8
29,Yes,Travel_Rarely,382,Human Resources,5,4,Life Sciences,1,3,Male,95,3,1,Sales Representative,2,Married,2233,17659,1,Y,Yes,13,3,4,80,0,10,5,3,13,2,0,0
49,No,Travel_Frequently,1153,Research & Development,29,4,Medical,1,4,Male,100,3,1,Research Scientist,2,Single,2665,24786,1,Y,No,25,3,2,80,0,18,2,3,10,6,1,1
18,No,Travel_Frequently,520,Research & Development,4,2,Technical Degree,1,3,Female,99,4,1,Healthcare Representative,1,Married,1009,2094,3,Y,Yes,20,3,2,80,1,5,6,2,5,7,0,6
39,No,Travel_Rarely,1385,Research & Development,15,1,Medical,1,1,Female,91,3,1,Laboratory Technician,4,Single,1515,22593,1,Y,No,22,3,1,80,0,0,6,2,15,5,7,8
34,No,Travel_Rarely,226,Research & Development,14,4,Medical,1,2,Male,95,3,2,Sales Executive,2,Single,2578,13449,1,Y,Yes,15,3,2,80,0,6,3,2,3,2,0,2
29,No,Travel_Frequently,1152,Sales,4,4,Technical Degree,1,4,Female,100,3,1,Healthcare Representative,1,Single,2770,12213,1,Y,No,18,3,2,80,1,7,2,3,4,2,11,8
32,No,Travel_Rarely,1066,Sales,25,4,Medical,1,4,Male,63,2,2,Sales Executive,2,Single,1868,13020,1,Y,Yes,15,4,4,80,0,6,0,3,11,1,1,5
48,No,Travel_Rarely,366,Sales,4,2,Life Sciences,1,3,Male,38,3,2,Sales Representative,4,Divorced,1009,12027,6,Y,Yes,20,3,3,80,1,6,3,3,10,0,0,6
53,No,Travel_Rarely,329,Sales,1,3,Life Sciences,1,1,Female,48,3,5,Sales Executive,4,Married,1915,2094,2,Y,No,15,3,1,80,1,0,3,2,9,2,0,3
46,No,Travel_Rarely,257,Sales,3,5,Marketing,1,4,Male,74,2,1,Research Scientist,4,Divorced,3058,3777,3,Y,Yes,16,3,1,80,0,0,0,3,11,2,0,1
43,No,Travel_Rarely,418,Research & Development,3,2,Life Sciences,1,2,Male,100,3,2,Sales Executive,4,Single,5299,26129,1,Y,No,18,3,1,80,1,5,3,2,9,0,0,10
51,No,Travel_Rarely,1250,Research & Development,5,3,Life Sciences,1,3,Female,99,2,2,Research Scientist,1,Divorced,6227,21394,1,Y,No,22,3,4,80,0,0,2,3,6,0,1,7
31,No,Travel_Rarely,119,Research & Development,2,3,Life Sciences,1,2,Male,64,3,1,Research Scientist,1,Single,1034,6513,1,Y,Yes,15,3,3,80,0,0,3,2,3,0,5,5
52,No,Travel_Rarely,505,Research & Development,13,1,Other,1,3,Male,48,3,2,Manufacturing Director,4,Single,4032,9232,1,Y,No,15,3,4,80,0,3,2,2,6,3,1,0
28,No,Travel_Rarely,1482,Research & Development,29,3,Technical Degree,1,3,Female,100,2,2,Research Scientist,3,Single,3901,10726,1,Y,No,19,3,4,80,0,4,2,3,4,0,0,2
33,No,Travel_Frequently,891,Sales,5,2,Life Sciences,1,4,Male,91,3,2,Research Scientist,3,Single,3271,11089,1,Y,Yes,15,3,3,80,0,10,3,2,8,1,1,7
40,No,Non-Travel,987,Sales,29,2,Medical,1,4,Female,95,3,2,Sales Executive,2,Single,2611,2094,8,Y,No,22,3,3,80,1,4,2,4,2,2,1,16
42,No,Travel_Rarely,102,Research & Development,4,4,Life Sciences,1,2,Male,61,3,1,Sales Executive,4,Married,3776,3427,3,Y,No,16,3,3,80,0,0,3,3,11,1,0,0
27,No,Travel_Rarely,102,Sales,21,3,Life Sciences,1,3,Female,39,3,2,Laboratory Technician,2,Married,4560,6323,1,Y,No,15,3,1,80,0,7,3,3,8,2,0,2
50,No,Travel_Rarely,244,Sales,10,3,Medical,1,3,Female,100,3,2,Sales Executive,4,Married,5055,2094,1,Y,Yes,16,3,2,80,0,2,2,3,5,2,0,7
21,No,Travel_Rarely,102,Research & Development,10,4,Life Sciences,1,1,Female,100,3,1,Manufacturing Director,4,Single,3512,15304,1,Y,No,20,3,2,80,0,9,2,3,11,2,3,0
31,No,Travel_Rarely,949,Research & Development,12,3,Marketing,1,2,Female,78,2,5,Research Scientist,4,Married,2332,5020,4,Y,No,12,3,4,80,0,0,0,2,9,2,1,2
32,No,Travel_Rarely,102,Research & Development,4,4,Medical,1,3,Male,38,3,1,Research Director,4,Single,2818,19472,1,Y,No,22,3,1,80,1,0,2,4,13,2,0,3
33,No,Travel_Rarely,1209,Research & Development,3,3,Life Sciences,1,3,Male,52,2,1,Laboratory Technician,4,Single,4612,14728,1,Y,No,13,3,4,80,0,4,2,3,12,2,12,0
35,No,Non-Travel,705,Human Resources,15,3,Life Sciences,1,3,Male,83,2,5,Laboratory Technician,4,Married,3641,25843,0,Y,Yes,11,4,3,80,0,3,6,3,9,0,0,13
19,No,Travel_Rarely,1201,Research & Development,4,3,Life Sciences,1,2,Male,97,2,2,Laboratory Technician,2,Single,2888,21014,1,Y,No,15,3,2,80,0,1,2,3,8,7,1,2
48,No,Travel_Frequently,102,Research & Development,29,3,Human Resources,1,4,Female,90,3,1,Sales Executive,4,Divorced,1124,4866,3,Y,No,15,3,1,80,1,0,2,3,6,1,0,5
47,No,Travel_Rarely,170,Sales,27,2,Life Sciences,1,2,Female,58,2,1,Manager,4,Married,2638,3828,2,Y,No,13,3,1,80,1,4,2,3,9,0,0,4
30,No,Travel_Rarely,102,Research & Development,3,2,Technical Degree,1,3,Female,96,3,2,Laboratory Technician,3,Married,3979,16549,1,Y,Yes,15,3,3,80,1,7,2,3,12,0,0,2
34,No,Travel_Rarely,1132,Sales,23,4,Marketing,1,2,Female,94,2,2,Sales Executive,3,Married,1384,26999,1,Y,Yes,17,3,3,80,0,4,3,3,8,2,0,6
57,No,Travel_Rarely,102,Research & Development,4,3,Life Sciences,1,4,Female,58,3,1,Healthcare Representative,4,Single,3426,17984,1,Y,No,25,3,4,80,1,1,4,3,3,0,2,8
40,No,Travel_Rarely,192,Research & Development,27,1,Marketing,1,2,Male,60,3,1,Laboratory Technician,1,Married,8455,8612,1,Y,No,25,3,1,80,0,0,5,3,9,2,0,1
37,No,Non-Travel,472,Research & Development,4,2,Life Sciences,1,2,Male,42,3,4,Healthcare Representative,4,Married,2376,2094,0,Y,No,16,3,3,80,1,0,4,3,12,2,0,2
43,No,Travel_Rarely,1110,Human Resources,29,2,Medical,1,3,Male,46,2,1,Research Scientist,3,Single,5033,15896,1,Y,Yes,15,3,2,80,2,7,2,3,11,5,0,2
46,No,Travel_Rarely,442,Research & Development,4,4,Life Sciences,1,1,Male,69,2,1,Manager,1,Married,1009,3132,0,Y,No,16,3,3,80,2,8,5,3,28,1,1,2
40,No,Travel_Rarely,1062,Sales,29,3,Life Sciences,1,3,Female,100,3,1,Laboratory Technician,1,Divorced,9471,9276,1,Y,No,13,3,2,80,1,14,2,3,6,1,0,8
48,No,Travel_Rarely,102,Sales,3,2,Medical,1,1,Male,58,2,1,Sales Executive,1,Married,1384,4593,1,Y,No,16,3,3,80,1,23,2,3,26,1,0,0
