Student_ID,Age,Gender,Education_Level,City,AI_Tool_Used,Daily_Usage_Hours,Purpose,Impact_on_Grades,Satisfaction_Level
159,16,Male,College,East Joshua,ChatGPT,0.7,Research,No Change,High
135,22,Female,College,Carlosfurt,Grammarly,0.5,Learning,Slight Decline,Medium
31,22,Male,University,North Joditown,Gemini,5.0,Learning,Improved,Low
-67,23,Female,University,East Patrick,Grammarly,1.4,Coding,No Change,Low
11,23,Female,School,Marcustown,ChatGPT,5.1,Writing,Slight Decline,Medium
52,19,Female,University,North Thomas,Gemini,0.5,Research,No Change,Low
220,24,Male,School,West Rachelmouth,Notion AI,5.8,Research,Improved,Medium
-23,20,Male,University,Kennethtown,ChatGPT,0.5,Learning,No Change,Low
106,19,Male,School,Beckerbury,Gemini,0.5,Learning,No Change,Low
212,23,Female,University,Kanemouth,Gemini,4.7,Coding,Improved,Low
228,17,Female,University,Medinastad,Grammarly,2.8,Learning,No Change,Medium
-35,21,Female,University,Grantfort,Gemini,0.6,Coding,Improved,High
174,18,Female,School,Griffinhaven,ChatGPT,3.6,Research,No Change,Medium
-9,25,Female,College,Davidmouth,ChatGPT,3.5,Writing,No Change,High
-42,15,Male,School,Colleenbury,Copilot,2.6,Writing,Improved,Medium
-47,25,Male,College,New Elizabethside,Gemini,0.8,Learning,Improved,Low
32,25,Male,University,Josephport,Copilot,0.5,Coding,Slight Decline,High
132,24,Female,College,Port Ian,Copilot,1.7,Research,Slight Decline,Low
-28,15,Male,University,Lake Lorraine,Notion AI,0.9,Coding,Slight Decline,High
140,23,Female,University,Colemouth,ChatGPT,3.6,Homework,Slight Decline,High
-35,20,Male,University,Susanstad,ChatGPT,2.3,Learning,Slight Decline,Low
214,16,Female,School,Sweeneyland,ChatGPT,2.2,Research,No Change,Medium
-8,25,Female,School,Williamsmouth,ChatGPT,2.8,Coding,Improved,Medium
124,25,Male,College,Port Aliciahaven,ChatGPT,0.5,Writing,Improved,Low
-44,18,Male,University,Joseborough,ChatGPT,1.2,Research,Improved,Medium
41,17,Female,College,Shirleyburgh,Copilot,3.2,Writing,No Change,Low
177,21,Male,University,West Kevinton,Notion AI,0.8,Research,Slight Decline,High
-39,22,Female,College,Port Elizabethfurt,Gemini,3.3,Writing,Improved,Low
159,22,Male,College,West Austinburgh,Gemini,1.3,Writing,Improved,High
39,24,Female,University,Port Devin,Gemini,4.8,Writing,No Change,Low
50,23,Male,College,Butlerfurt,Copilot,0.5,Learning,Slight Decline,Medium
182,15,Female,College,Ramosport,ChatGPT,0.5,Coding,Improved,Medium
185,24,Female,University,South Tarachester,Notion AI,1.3,Research,No Change,Medium
-2,21,Male,College,Navarroville,Gemini,4.9,Learning,Slight Decline,Low
245,23,Male,University,South Debraville,Copilot,5.0,Coding,No Change,High
211,18,Male,School,Lake Sara,ChatGPT,4.4,Coding,Slight Decline,Low
75,18,Female,University,Whiteburgh,Grammarly,2.6,Writing,Improved,Low
227,18,Male,University,North Michael,ChatGPT,5.1,Research,Slight Decline,Low
13,25,Male,College,Stanleyburgh,Grammarly,3.5,Coding,Slight Decline,Medium
179,19,Female,College,Port Kylefort,Grammarly,5.1,Coding,No Change,High
44,25,Male,University,Taylorfort,Gemini,0.8,Writing,Improved,Medium
-29,23,Male,School,Paulbury,Notion AI,0.5,Research,Improved,Low
86,25,Male,School,Fitzgeraldburgh,Copilot,4.1,Research,Improved,Medium
60,25,Male,College,Amandaton,ChatGPT,1.3,Writing,No Change,High
127,21,Female,University,Debrahaven,Notion AI,1.9,Writing,No Change,Low
1,22,Male,College,Lake Sharon,Gemini,1.0,Learning,No Change,Medium
-7,25,Female,School,New Louis,Grammarly,0.5,Research,Improved,High
-67,23,Female,College,Jamesport,Gemini,0.5,Research,Improved,High
170,22,Female,School,Adrianaberg,ChatGPT,4.7,Learning,No Change,Low
-45,25,Male,School,Lake Mistyberg,Notion AI,0.5,Learning,Slight Decline,High
31,20,Male,College,West Cathyview,Notion AI,5.6,Coding,No Change,Medium
199,16,Female,School,Zacharyborough,ChatGPT,3.1,Learning,Improved,High
267,19,Male,School,Frankborough,ChatGPT,0.5,Research,No Change,High
136,25,Male,University,Wardhaven,Copilot,0.8,Writing,Improved,High
-45,25,Male,University,Rhondahaven,Gemini,2.3,Writing,Slight Decline,Low
163,16,Male,School,West Elizabeth,Gemini,3.2,Learning,Slight Decline,Medium
119,22,Male,College,East Ericstad,Notion AI,0.8,Writing,No Change,Medium
11,24,Male,College,Lake Stephanie,Notion AI,1.3,Research,Improved,High
59,19,Male,College,Port Benjaminstad,Grammarly,1.5,Coding,Improved,High
-42,20,Male,College,Brookshaven,Gemini,0.5,Learning,Slight Decline,Low
-44,15,Female,University,Debbieport,Gemini,0.8,Learning,Slight Decline,Medium
110,25,Female,College,Lake Andrewchester,Notion AI,4.4,Research,No Change,Low
140,16,Female,School,Lake Michael,Notion AI,0.7,Coding,Improved,Low
34,15,Male,College,Port Kristina,Grammarly,4.0,Learning,Improved,High
124,19,Male,School,North Shannonside,Grammarly,0.5,Writing,Improved,High
-6,23,Male,University,Lake Alan,Gemini,3.5,Writing,Slight Decline,High
-25,18,Female,College,Martinezbury,Grammarly,0.5,Coding,Improved,Low
160,20,Female,School,Lake Scottville,ChatGPT,2.7,Learning,Improved,Medium
-7,23,Female,University,Bennettbury,ChatGPT,1.7,Research,Improved,Low
187,17,Female,School,West Jessica,Grammarly,0.8,Homework,Improved,Medium
38,21,Male,University,Vancehaven,Copilot,1.7,Learning,Improved,High
85,16,Female,College,West Christychester,Copilot,2.1,Homework,Improved,Medium
97,16,Female,College,South Sarah,Gemini,0.5,Research,No Change,Medium
102,22,Male,College,Keithfurt,ChatGPT,3.8,Research,Slight Decline,Low
-17,21,Female,University,Brittanystad,Grammarly,0.6,Homework,No Change,Medium
-1,19,Female,School,Micheleport,Grammarly,2.0,Learning,Improved,Medium
69,15,Male,University,East Zachary,Gemini,1.1,Learning,No Change,Medium
267,15,Male,College,Marshland,Notion AI,2.6,Research,No Change,Medium
49,17,Male,College,Carterton,Gemini,0.5,Research,Slight Decline,High
172,20,Male,University,East Christopher,Grammarly,0.5,Research,Improved,High
-44,19,Female,College,Starkland,ChatGPT,2.2,Coding,No Change,High
14,24,Female,College,New Barbara,Grammarly,1.5,Coding,Slight Decline,Medium
212,24,Male,University,New Timothy,Copilot,1.2,Research,No Change,Low
144,18,Male,College,Medinafurt,Gemini,2.0,Research,Improved,Medium
19,21,Male,University,Lake Michaelbury,Grammarly,0.9,Learning,No Change,Low
170,17,Female,College,North Laura,Copilot,3.0,Homework,No Change,High
30,24,Male,University,East Kimberly,ChatGPT,1.7,Writing,No Change,Medium
41,25,Female,College,North Christopherberg,Notion AI,0.5,Learning,Improved,Medium
-42,22,Female,School,Collinsborough,Notion AI,3.6,Homework,No Change,High
-46,18,Male,College,South Melissa,Gemini,0.5,Coding,Improved,High
172,22,Male,College,Atkinsshire,Gemini,1.4,Research,No Change,High
218,23,Male,College,Woodsmouth,ChatGPT,2.8,Coding,Improved,Medium
264,17,Male,School,Mooreport,ChatGPT,3.0,Homework,Slight Decline,Medium
-31,20,Female,College,Foleyshire,Copilot,0.5,Writing,Slight Decline,Medium
-26,18,Female,School,Nathanielshire,Grammarly,0.5,Research,No Change,High
25,15,Female,School,Josephton,ChatGPT,3.5,Coding,Slight Decline,Low
258,17,Female,University,Lake Kevinshire,Notion AI,1.3,Coding,No Change,Medium
28,25,Male,University,Thomasfurt,Notion AI,2.3,Writing,Slight Decline,High
-48,24,Male,College,Jermaineview,Gemini,2.5,Coding,No Change,High
-77,16,Male,College,Obrienshire,ChatGPT,4.1,Research,No Change,High
11,18,Male,University,Port Robert,Gemini,5.5,Research,No Change,Medium
72,17,Female,University,South Tamaramouth,ChatGPT,1.6,Research,No Change,Medium
-42,24,Female,University,New Jeffrey,ChatGPT,0.5,Learning,Slight Decline,Low
-10,19,Male,University,Lake Elizabethside,Notion AI,4.0,Learning,Improved,Medium
9,22,Female,School,East Candice,Copilot,1.4,Coding,Slight Decline,Low
174,25,Male,University,Lisahaven,Copilot,3.1,Learning,No Change,Low
150,19,Female,College,Toddstad,ChatGPT,1.3,Coding,Improved,High
90,25,Female,University,Mitchellberg,ChatGPT,4.1,Homework,Slight Decline,High
55,21,Female,University,West Paul,Copilot,0.7,Coding,No Change,Medium
66,25,Male,College,Reevesland,Gemini,1.0,Research,No Change,Medium
-12,18,Male,University,North Dennis,Grammarly,5.6,Learning,Improved,High
-53,24,Male,School,East Richardmouth,ChatGPT,2.8,Learning,Improved,High
42,22,Male,College,South Eric,Gemini,2.1,Research,Slight Decline,Low
224,15,Female,College,Thompsonmouth,Grammarly,1.6,Learning,No Change,Medium
-39,22,Female,School,Anthonyborough,ChatGPT,0.5,Coding,Improved,Medium
162,22,Female,School,Michaelville,Copilot,1.3,Writing,Slight Decline,Low
-38,15,Male,College,Christopherbury,Notion AI,4.6,Coding,Improved,Low
-1,24,Male,College,North Zachary,Notion AI,2.2,Coding,No Change,High
66,15,Male,University,North Jessicaville,Grammarly,1.0,Research,Slight Decline,Low
-119,17,Male,University,Lukefurt,ChatGPT,1.0,Writing,No Change,Low
-5,21,Male,College,New Claire,Gemini,0.9,Coding,Slight Decline,Low
132,17,Female,School,Toddville,ChatGPT,4.6,Research,No Change,Low
11,22,Female,College,Ashleyland,Notion AI,2.6,Writing,No Change,Low
94,21,Female,College,Dariushaven,ChatGPT,0.8,Learning,No Change,Medium
175,25,Female,University,South Heather,Gemini,1.1,Writing,Improved,Low
88,24,Female,College,Williamschester,Gemini,5.0,Learning,No Change,Low
45,20,Female,College,Orrborough,Grammarly,1.0,Coding,Improved,Low
171,17,Male,College,East Brian,Grammarly,6.0,Writing,No Change,Low
63,16,Male,School,Chaseland,ChatGPT,2.2,Homework,No Change,High
54,21,Male,School,Martinezfort,ChatGPT,0.8,Learning,Improved,High
-11,18,Female,College,East Olivia,Grammarly,2.4,Research,Slight Decline,High
40,24,Female,College,Tracyton,Notion AI,1.8,Research,Improved,Low
112,17,Male,University,North Stephanieborough,Grammarly,1.8,Research,No Change,Medium
211,20,Male,University,Shelbyhaven,Grammarly,4.0,Learning,No Change,Low
