age,gender,device_type,time_on_site,pages_viewed,previous_purchases,cart_items,discount_seen,ad_clicked,returning_user,avg_session_time,bounce_rate,purchase
39.0,Female,Desktop,16.73,10.0,11.0,4.0,1.0,1.0,1.0,26.16,37.76,1.0
25.0,Female,Desktop,12.72,19.0,11.0,1.0,0.0,1.0,1.0,14.55,64.21,
24.0,Male,Desktop,9.9,12.0,13.0,,0.0,0.0,,21.98,74.14,
34.0,Male,Tablet,28.89,17.0,14.0,7.0,,0.0,0.0,1.83,99.97,
50.0,,Tablet,14.47,17.0,7.0,,0.0,0.0,1.0,41.26,86.22,0.0
41.0,Male,Tablet,14.79,1.0,6.0,3.0,1.0,0.0,0.0,7.88,90.33,
18.0,Female,Tablet,3.83,18.0,6.0,2.0,1.0,0.0,,7.26,45.56,1.0
44.0,Male,Desktop,29.02,17.0,12.0,7.0,,1.0,1.0,14.56,71.94,0.0
45.0,,Tablet,12.93,16.0,11.0,8.0,1.0,1.0,1.0,32.24,29.28,1.0
37.0,Female,Tablet,13.65,10.0,11.0,8.0,,0.0,0.0,2.02,95.37,1.0
55.0,Male,Mobile,26.94,6.0,12.0,7.0,,,1.0,3.26,56.08,1.0
38.0,Male,Tablet,20.6,10.0,9.0,6.0,0.0,1.0,1.0,23.2,13.82,0.0
59.0,,Desktop,5.25,11.0,5.0,4.0,1.0,,0.0,0.57,11.16,1.0
55.0,Female,Mobile,6.65,4.0,13.0,,,0.0,,5.01,0.01,
38.0,,Desktop,20.8,8.0,1.0,4.0,0.0,,1.0,12.92,34.24,
58.0,Female,Tablet,17.32,7.0,8.0,7.0,,0.0,0.0,21.4,23.73,
27.0,Male,,,12.0,11.0,5.0,0.0,1.0,0.0,10.44,33.81,1.0
55.0,Female,Tablet,6.04,3.0,3.0,6.0,1.0,1.0,0.0,1.11,7.5,1.0
50.0,Male,Mobile,14.54,15.0,14.0,8.0,1.0,1.0,1.0,27.49,44.37,1.0
34.0,Male,Desktop,17.6,6.0,10.0,2.0,1.0,0.0,1.0,11.69,63.53,1.0
44.0,,Desktop,7.51,14.0,3.0,6.0,0.0,0.0,1.0,17.73,29.4,
51.0,Male,Mobile,4.93,11.0,8.0,8.0,0.0,1.0,0.0,20.97,42.48,0.0
36.0,,Mobile,21.83,3.0,5.0,2.0,,1.0,0.0,18.75,59.36,1.0
47.0,Female,Tablet,20.84,9.0,7.0,2.0,,,,11.35,60.45,0.0
22.0,Male,Desktop,22.78,11.0,2.0,1.0,0.0,1.0,,16.86,1.91,1.0
45.0,Female,Tablet,,12.0,5.0,2.0,,0.0,1.0,12.77,96.48,1.0
51.0,Male,Desktop,2.49,4.0,12.0,1.0,,,0.0,7.55,45.79,
58.0,Female,Mobile,6.89,16.0,11.0,4.0,,0.0,0.0,4.36,40.33,
31.0,Female,Desktop,3.28,1.0,2.0,2.0,0.0,0.0,1.0,18.29,,1.0
58.0,Male,Mobile,22.26,7.0,11.0,1.0,,1.0,1.0,17.44,45.02,1.0
43.0,Female,Tablet,21.87,10.0,11.0,9.0,1.0,,1.0,27.47,64.34,
51.0,Female,Desktop,12.84,10.0,12.0,,,0.0,0.0,39.6,7.0,1.0
19.0,Male,,16.43,16.0,10.0,7.0,0.0,0.0,1.0,15.56,99.97,
47.0,Male,Tablet,20.74,8.0,4.0,8.0,,1.0,1.0,11.65,51.39,1.0
45.0,Male,Desktop,16.67,10.0,4.0,0.0,0.0,1.0,0.0,,95.79,0.0
33.0,,Mobile,11.75,5.0,0.0,5.0,,0.0,1.0,8.65,30.02,
27.0,Male,Tablet,29.33,11.0,3.0,9.0,0.0,,,19.8,84.68,0.0
26.0,Female,Tablet,11.72,4.0,7.0,3.0,1.0,,,32.11,14.95,
48.0,Female,Tablet,18.88,8.0,11.0,6.0,,0.0,0.0,7.06,21.12,
43.0,Female,Mobile,28.11,1.0,12.0,3.0,0.0,0.0,1.0,24.92,63.61,1.0
55.0,Male,,3.72,7.0,0.0,5.0,1.0,,0.0,28.06,28.14,1.0
35.0,,Desktop,15.96,12.0,4.0,2.0,1.0,0.0,1.0,19.49,45.56,1.0
46.0,,Tablet,5.1,14.0,1.0,,1.0,1.0,1.0,14.93,13.86,1.0
43.0,Female,Desktop,18.13,18.0,12.0,5.0,,,1.0,16.84,31.17,0.0
18.0,Male,Mobile,11.33,,5.0,,1.0,,,13.45,36.46,1.0
32.0,Female,,27.45,9.0,10.0,8.0,1.0,1.0,1.0,24.53,40.66,1.0
44.0,,Tablet,19.72,1.0,9.0,2.0,,1.0,0.0,16.03,51.55,1.0
40.0,,Tablet,19.15,17.0,11.0,0.0,0.0,,1.0,10.93,79.94,1.0
57.0,Female,Mobile,,13.0,7.0,1.0,,0.0,0.0,17.43,55.68,0.0
29.0,,Tablet,6.05,,13.0,4.0,1.0,,1.0,9.84,68.35,0.0
41.0,Female,Mobile,8.68,5.0,4.0,8.0,0.0,1.0,0.0,20.62,94.95,0.0
23.0,,Desktop,24.47,11.0,9.0,3.0,1.0,,,,68.0,
56.0,,Tablet,12.68,13.0,4.0,1.0,1.0,0.0,1.0,32.74,54.21,1.0
,Male,Mobile,10.87,5.0,8.0,6.0,0.0,1.0,0.0,9.72,88.44,0.0
55.0,Male,Mobile,,19.0,7.0,5.0,1.0,1.0,0.0,8.38,65.37,1.0
33.0,,Mobile,11.53,12.0,,7.0,1.0,,1.0,,38.01,
35.0,Female,Desktop,16.13,1.0,3.0,1.0,1.0,,0.0,14.83,61.71,
18.0,Female,Tablet,9.99,8.0,12.0,6.0,0.0,1.0,0.0,36.09,,1.0
52.0,Female,Mobile,13.64,8.0,13.0,8.0,1.0,0.0,,27.37,34.0,1.0
40.0,Female,Mobile,26.06,10.0,0.0,5.0,1.0,,1.0,9.03,39.16,0.0
38.0,Male,Tablet,10.07,14.0,11.0,8.0,1.0,0.0,0.0,4.07,66.72,
53.0,Female,Desktop,15.82,10.0,2.0,4.0,0.0,0.0,1.0,8.21,53.35,
36.0,Female,Mobile,26.47,3.0,14.0,0.0,,,1.0,3.06,22.97,0.0
48.0,Female,,6.94,15.0,12.0,6.0,1.0,1.0,,18.54,56.33,1.0
41.0,,Mobile,18.09,4.0,1.0,0.0,0.0,,1.0,12.81,52.94,1.0
41.0,Male,Tablet,11.49,18.0,13.0,8.0,1.0,1.0,1.0,3.06,99.97,1.0
52.0,Female,Mobile,18.18,11.0,11.0,7.0,1.0,1.0,0.0,30.28,31.54,0.0
41.0,Female,,12.96,12.0,5.0,8.0,1.0,0.0,0.0,4.45,29.46,1.0
37.0,Male,Tablet,9.83,4.0,6.0,9.0,0.0,,,22.8,51.57,0.0
45.0,,Desktop,7.41,14.0,12.0,0.0,1.0,,1.0,20.95,18.94,0.0
56.0,Male,Tablet,27.74,14.0,,8.0,1.0,1.0,0.0,27.32,60.52,0.0
32.0,Female,Desktop,27.9,18.0,4.0,1.0,1.0,0.0,1.0,28.07,51.86,
27.0,Male,Mobile,1.89,12.0,3.0,3.0,1.0,0.0,0.0,36.02,43.75,1.0
51.0,Female,Mobile,22.64,3.0,4.0,1.0,0.0,0.0,,12.23,55.55,0.0
34.0,Male,Mobile,11.97,1.0,5.0,0.0,1.0,,0.0,5.95,59.66,
45.0,,Mobile,6.92,1.0,11.0,4.0,0.0,0.0,0.0,17.78,41.26,1.0
54.0,Male,Desktop,20.01,15.0,2.0,8.0,1.0,0.0,0.0,17.81,69.56,1.0
36.0,Female,Mobile,18.96,17.0,13.0,3.0,,,1.0,17.02,46.1,1.0
49.0,Female,,18.09,6.0,8.0,,,0.0,,39.09,98.3,1.0
35.0,Male,Tablet,13.3,4.0,5.0,7.0,0.0,,0.0,13.5,42.02,
41.0,Female,,5.77,2.0,4.0,2.0,0.0,,1.0,7.98,61.72,0.0
45.0,Female,Desktop,27.77,9.0,14.0,5.0,1.0,1.0,,19.33,38.59,
57.0,Male,Mobile,5.02,14.0,6.0,3.0,0.0,0.0,1.0,11.83,32.32,1.0
58.0,Male,Mobile,26.73,4.0,9.0,0.0,1.0,1.0,0.0,39.93,30.83,1.0
24.0,Male,Mobile,15.68,13.0,4.0,3.0,1.0,1.0,0.0,22.0,20.98,
56.0,Female,Tablet,7.34,10.0,4.0,5.0,,1.0,1.0,29.76,46.54,1.0
58.0,Male,Desktop,30.0,11.0,2.0,6.0,,,1.0,3.93,,1.0
28.0,Female,Desktop,14.51,8.0,7.0,1.0,0.0,0.0,0.0,11.87,32.18,
18.0,,Tablet,11.87,10.0,9.0,4.0,,0.0,0.0,1.75,51.97,0.0
36.0,Female,Desktop,7.34,10.0,11.0,0.0,1.0,1.0,0.0,12.84,23.44,0.0
59.0,Female,Mobile,29.44,12.0,14.0,4.0,1.0,0.0,,28.11,95.82,
24.0,Female,,1.7,2.0,14.0,6.0,0.0,0.0,0.0,6.32,19.95,1.0
33.0,,Desktop,25.27,15.0,14.0,8.0,1.0,1.0,,13.94,60.7,0.0
22.0,Female,Mobile,5.72,16.0,11.0,3.0,,1.0,0.0,10.52,58.47,0.0
54.0,,Tablet,13.69,18.0,14.0,8.0,0.0,0.0,0.0,19.95,,1.0
37.0,,Mobile,27.25,3.0,4.0,2.0,,0.0,1.0,6.44,26.74,0.0
23.0,Male,Mobile,18.09,18.0,4.0,6.0,1.0,1.0,,12.43,95.96,0.0
46.0,Male,Mobile,14.33,8.0,14.0,9.0,0.0,0.0,0.0,20.95,16.59,0.0
20.0,Female,Mobile,5.86,7.0,13.0,5.0,1.0,,1.0,28.71,36.69,1.0
22.0,Female,Tablet,28.32,3.0,6.0,3.0,0.0,0.0,1.0,5.58,37.28,1.0
43.0,Female,Tablet,5.68,6.0,4.0,5.0,0.0,1.0,,15.53,17.74,
40.0,Female,Tablet,13.0,4.0,11.0,0.0,0.0,0.0,,3.21,31.23,1.0
56.0,Female,Desktop,11.08,10.0,11.0,4.0,1.0,1.0,0.0,34.87,,1.0
52.0,Male,Mobile,18.26,12.0,13.0,9.0,,,0.0,3.36,65.51,1.0
33.0,Male,Desktop,13.09,3.0,6.0,8.0,0.0,0.0,0.0,24.82,69.15,
