Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
8970884,36,male,3,own,little,,1448,26,radio/TV,good
3143223,40,female,3,rent,moderate,little,6616,50,furniture/equipment,good
10810119,44,male,2,own,quite rich,moderate,4428,19,business,good
7748627,23,male,2,own,quite rich,moderate,3927,21,car,good
915797,19,male,2,rent,,,2036,20,radio/TV,good
4610624,48,female,2,own,moderate,little,6230,11,business,good
10936459,21,male,2,own,little,little,1214,28,car,good
11441858,19,male,2,own,little,moderate,4216,47,radio/TV,good
3187447,19,male,3,own,quite rich,,2046,23,furniture/equipment,bad
14846246,27,male,2,own,little,,1172,19,repairs,good
683403,35,male,2,own,little,moderate,3708,20,radio/TV,good
13931502,49,male,2,own,little,rich,4467,57,radio/TV,good
550367,23,male,2,own,little,little,250,22,radio/TV,bad
10454593,43,male,1,free,little,,3830,32,furniture/equipment,bad
3644681,29,male,3,own,little,moderate,1454,14,radio/TV,bad
5608464,19,female,3,own,moderate,rich,1498,16,domestic appliances,bad
15769834,37,female,2,rent,little,little,1424,12,radio/TV,good
12222591,73,female,1,rent,little,little,2456,19,car,good
13282325,29,male,2,own,,,3262,24,radio/TV,good
4952719,50,female,2,rent,little,moderate,8414,27,car,good
3789661,25,female,1,rent,little,moderate,1404,25,radio/TV,good
16587930,34,male,2,own,,moderate,5104,28,repairs,good
8955695,34,female,2,own,little,little,2550,12,repairs,good
10794163,31,male,2,rent,little,,1945,27,car,bad
4900880,21,male,2,own,,little,14619,38,car,good
13928266,19,male,2,rent,rich,little,331,22,car,good
11931517,70,female,3,own,moderate,,14212,9,vacation/others,bad
16807,31,female,2,own,,,1786,22,radio/TV,good
3367811,32,male,2,free,little,,2917,20,business,bad
14005712,47,male,1,own,little,little,6009,70,car,good
8456694,44,female,3,own,little,,5122,23,radio/TV,bad
4700681,59,male,2,rent,little,rich,5689,4,car,good
16486495,24,female,1,own,quite rich,moderate,4882,15,furniture/equipment,good
248198,23,female,2,rent,little,rich,2165,20,repairs,good
3027016,43,female,1,own,quite rich,rich,5043,19,car,bad
7630597,45,male,2,free,little,moderate,1559,22,radio/TV,good
11225585,29,female,2,own,,moderate,1168,20,radio/TV,good
1713737,58,male,1,own,little,moderate,7192,26,car,good
10009482,27,male,2,rent,,,4541,25,vacation/others,bad
14014870,33,female,1,rent,little,moderate,1620,43,furniture/equipment,good
15907459,27,male,3,own,little,rich,4119,25,repairs,good
8109211,26,female,0,free,little,little,11244,33,furniture/equipment,bad
11606049,22,female,1,rent,little,little,4336,14,vacation/others,good
9418159,27,male,1,own,moderate,little,1616,11,education,good
13602866,19,male,2,free,little,,2378,34,domestic appliances,good
520156,25,male,1,own,,rich,1295,16,car,good
7225740,27,female,2,rent,moderate,,3719,23,furniture/equipment,good
8491953,70,female,3,free,quite rich,little,3078,26,car,good
13545549,72,female,2,rent,little,moderate,1044,12,domestic appliances,bad
11940133,25,male,2,rent,moderate,,8659,25,radio/TV,bad
13798269,31,female,3,rent,little,moderate,1444,66,car,bad
