Date,Price
1977-04,23.417
1911-10,1857.057
2007-07,1692.279
1986-01,35.761
1878-12,41.253
1840-10,50.903
1967-08,2039.438
1900-12,55.76
1846-08,37.57
1906-03,55.654
1949-12,17.06
1911-12,276.798
1951-02,350.188
1952-03,17.06
2024-11,25.17
1950-01,26.024
2003-05,280.398
1979-04,31.865
1844-03,45.729
1857-01,17.06
1870-09,27.475
1860-12,519.67
1833-01,1270.239
1881-11,21.399
1948-11,50.733
2002-10,29.553
1928-12,276.362
1988-01,860.59
1833-01,17.06
1886-03,17.482
1975-02,26.945
1838-04,17.06
1937-12,1453.864
1984-12,17.06
1989-03,17.06
1868-01,17.877
1895-07,32.152
1884-08,17.335
1844-12,24.302
1967-05,17.06
1974-11,35.417
1894-02,1312.294
1916-02,37.14
1951-04,32.716
1833-01,37.137
1928-07,389.214
1972-01,494.945
1833-01,22.424
1962-04,4195.662
1934-06,17.06
1899-05,17.06
2002-11,17.06
1856-08,20.323
1902-06,1990.002
1848-08,17.06
1871-05,21.063
1847-09,439.382
1845-07,17.06
1853-08,26.574
1985-11,2204.878
1930-08,5019.97
1885-03,17.06
1991-01,59.132
1902-11,17.092
2016-04,349.341
1833-01,22.093
1987-04,2096.218
1959-09,32.458
1868-06,259.66
1870-08,755.554
1833-01,17.06
1907-05,17.06
1849-06,17.06
1935-05,17.406
1854-03,1801.254
1860-05,33.692
1833-01,378.73
1836-09,17.06
1833-01,43.193
1988-08,17.06
2018-01,23.883
2010-02,297.502
1833-01,18.992
1851-07,271.739
1865-05,17.06
1896-12,24.781
1881-06,17.06
1996-12,271.759
1871-08,5019.97
1886-01,17.06
1842-08,60.59
1970-07,17.06
1833-01,36.567
2017-04,46.319
1864-09,17.06
1988-07,17.06
1961-04,382.971
1872-06,36.506
1974-01,532.081
1853-10,491.629
1977-07,17.06
1879-07,43.449
1993-02,21.604
1963-07,40.989
1899-06,17.06
1833-01,533.046
1841-04,17.06
1935-10,1594.271
1841-01,302.832
1984-01,17.768
1892-12,29.781
1837-05,317.477
1955-07,47.317
1833-01,573.984
1883-02,33.547
1989-04,1961.92
1950-04,17.06
1851-01,29.883
1846-06,17.06
1975-05,2046.171
1952-12,53.228
1849-05,17.06
1951-03,17.06
1942-05,491.752
1916-06,28.452
1833-01,17.06
1850-05,41.97
1925-01,48.42
1876-01,50.17
1841-12,27.694
1972-09,23.522
2002-06,27.09
1854-01,21.988
1903-03,17.06
