age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
51,223675,3.6,12,5.9,4,5,45,8,62420,123040,1,9,1,9,10,5,7,10,4,1,6,Male,East Maryburgh,Store
19,235405,5.0,8,4.4,3,8,39,15,14536,103383,3,8,4,6,10,7,3,6,10,5,6,Male,Bettyville,Store
54,51671,4.1,8,2.4,7,1,43,2,119868,117353,5,2,2,6,6,8,3,4,10,8,6,Other,Brewershire,Store
54,165576,4.6,12,2.5,7,8,29,19,18526,48621,3,7,1,1,3,2,4,4,5,10,9,Other,New Tanya,Store
52,138191,2.5,9,2.8,6,1,42,16,149996,2113,4,5,2,1,6,8,7,10,10,7,9,Male,Melissafort,Store
62,195504,5.7,13,3.9,7,3,0,14,109263,60866,9,4,2,6,2,3,2,5,9,5,4,Female,Port Amandaborough,Online
31,66414,4.5,5,2.9,6,3,0,10,5570,130879,7,0,5,5,2,6,1,10,1,8,9,Other,Gloverport,Store
74,150578,2.8,2,3.0,8,8,2,19,134548,110287,5,7,7,7,2,2,3,5,6,6,7,Female,Lake Dustin,Store
50,223682,7.2,5,2.7,4,1,0,3,100023,7305,3,7,7,8,9,3,7,10,5,1,8,Other,East Wendyhaven,Hybrid
68,69688,2.2,6,2.4,4,3,39,19,149996,75582,10,2,3,1,8,6,5,3,7,3,6,Female,East Katrinaborough,Store
58,95029,6.4,10,2.1,6,4,0,19,136353,128881,10,9,7,3,2,8,9,8,3,3,3,Female,Charlesmouth,Store
31,148051,5.6,12,2.4,4,1,22,7,125269,107925,7,2,1,7,2,8,2,7,2,4,9,Other,Port Barbarashire,Store
68,42557,2.3,12,0.4,6,1,41,12,54166,22771,10,0,4,2,10,3,9,5,8,2,5,Female,Shannonborough,Store
56,28360,5.8,10,3.6,9,8,44,18,92205,132666,10,9,5,10,10,5,1,5,5,4,9,Female,Youngfurt,Store
19,249989,8.1,6,3.4,10,10,21,7,61037,93215,3,9,1,9,2,2,4,2,3,8,5,Male,South Mark,Store
55,160378,5.9,4,3.3,10,2,0,4,54330,127609,5,4,6,6,10,10,8,5,5,4,4,Male,South Rebekahtown,Store
18,15005,6.4,8,2.1,2,9,41,8,132173,138635,5,3,4,7,9,3,9,3,2,3,4,Female,Port Kara,Store
50,98044,4.1,5,3.2,6,7,9,14,112582,85018,5,5,1,3,3,6,10,1,10,7,7,Female,Duncanmouth,Store
18,101729,4.9,14,0.0,10,1,43,18,129083,7822,7,7,6,8,7,2,10,10,5,3,4,Male,Jerryville,Online
18,124357,5.2,12,2.7,6,9,23,2,2705,149972,8,0,4,3,1,3,1,5,1,1,4,Female,West Christopher,Store
70,208169,5.7,6,1.0,9,4,15,9,22968,80534,6,6,5,5,9,6,8,10,2,1,9,Male,New Allen,Store
62,84581,5.9,11,2.5,10,6,23,19,110096,81678,9,9,4,10,7,2,7,2,5,3,7,Male,Jasminemouth,Store
19,120606,7.8,7,2.1,2,7,18,7,116625,4275,2,8,6,8,3,8,9,7,4,10,4,Male,Port Michaelberg,Store
37,54829,6.6,13,4.6,5,6,20,0,149996,52285,9,1,5,2,6,7,2,10,1,3,9,Male,Michaelburgh,Store
32,15005,2.8,13,3.4,4,6,4,16,24066,112026,6,9,6,6,8,3,1,4,5,7,9,Other,Sanchezfurt,Store
19,173985,5.4,14,3.4,2,7,42,13,22050,10117,10,7,4,4,10,7,6,2,9,1,5,Female,Nathanton,Store
31,80139,3.4,3,4.6,6,9,34,6,36005,119601,10,6,4,1,1,10,10,5,8,1,5,Male,Autumnfort,Store
18,43851,5.6,5,5.2,6,1,19,3,126832,149972,1,4,6,7,2,1,8,3,4,10,5,Female,Daniellestad,Store
18,135305,4.9,5,0.5,6,8,20,9,63890,119539,7,8,3,6,6,6,6,4,5,8,9,Other,Lake Patricktown,Store
62,248759,4.1,12,5.5,2,9,48,0,38991,129073,3,0,5,2,10,10,4,10,7,10,6,Other,Liuland,Hybrid
56,86510,6.0,8,2.7,2,2,29,18,27741,43713,3,0,4,6,10,5,3,5,8,5,5,Female,South Davidbury,Store
77,107272,3.9,14,2.9,2,1,47,10,119709,32239,5,0,3,7,7,8,8,5,6,2,6,Female,West Marco,Store
59,95716,6.5,2,3.7,4,9,18,12,20660,98436,4,5,2,8,3,10,4,4,3,2,4,Other,Ramirezville,Store
18,232514,2.3,4,2.8,4,9,0,19,67104,106954,8,2,7,2,1,5,2,10,6,2,4,Female,Port Matthewberg,Store
18,119470,3.9,13,3.5,9,9,21,16,73648,20530,9,0,6,3,5,3,4,10,4,2,5,Other,Duartehaven,Store
49,135892,4.1,1,2.9,4,8,12,19,148305,43393,9,9,6,10,4,6,8,5,9,7,6,Other,West Andrewmouth,Store
43,219881,6.2,5,2.0,10,2,22,19,39503,130283,9,6,2,8,3,8,2,2,9,2,6,Other,Jonburgh,Store
38,96102,5.3,6,5.4,10,3,18,1,129393,106814,4,1,4,1,10,4,5,5,1,9,9,Female,Danielfurt,Store
27,82027,8.9,2,2.8,4,6,5,3,523,58523,7,5,4,1,3,10,9,3,6,6,9,Female,West Moniqueland,Store
54,57571,3.7,5,3.1,10,10,9,16,102179,101617,9,6,7,6,4,5,4,10,5,2,6,Female,North Ericview,Store
56,165997,6.8,4,2.4,1,8,46,14,15797,70553,1,5,5,1,9,6,8,10,9,8,2,Male,South Benjaminview,Store
33,23791,5.4,1,1.5,2,2,28,19,108010,11828,1,2,2,8,2,4,4,8,1,4,5,Male,Jamesshire,Store
75,230252,5.2,3,4.0,3,1,8,10,149996,53772,3,7,1,3,6,10,7,3,7,5,10,Male,Suttonville,Store
58,24944,2.5,5,0.0,8,10,34,1,129582,66538,2,5,4,5,9,2,10,2,8,6,5,Female,Lake Joseph,Store
60,165845,12.0,14,2.3,4,8,29,19,138290,12287,4,5,4,4,7,6,4,10,6,6,6,Female,Russellfort,Store
61,15858,2.7,5,2.9,1,7,31,15,149996,133762,5,8,7,6,9,3,9,6,5,8,10,Female,East Wayne,Store
60,17299,3.2,11,1.8,1,8,43,19,73554,51364,1,4,5,1,6,5,5,2,5,8,2,Female,Alyssamouth,Store
35,236657,4.6,13,2.5,1,2,33,2,40140,16447,8,4,3,8,2,4,5,5,3,4,8,Female,Lake Jorge,Store
53,228779,8.4,9,0.7,9,1,41,16,109575,98845,10,6,4,7,9,6,8,5,6,3,9,Male,Solomonhaven,Store
43,218884,6.8,9,2.6,2,9,34,19,149996,123113,1,0,3,2,4,5,9,6,5,10,5,Male,Parkertown,Store
37,83585,6.6,10,2.8,6,9,32,16,13993,88107,6,5,6,9,10,10,4,5,6,4,7,Male,West Dianaport,Store
35,18083,7.4,13,1.9,5,9,23,5,19059,542,5,4,1,9,3,3,4,5,5,4,10,Other,Rivastown,Store
18,112463,5.8,13,1.5,4,8,37,19,81164,49868,10,2,7,1,6,5,3,5,7,4,9,Male,Jonesport,Store
22,38493,5.6,13,2.8,7,5,29,3,11768,542,3,5,3,1,10,6,1,4,3,2,2,Female,Sydneyview,Store
52,200327,4.0,3,1.2,2,5,12,3,35960,542,7,9,2,6,9,7,4,10,7,1,4,Other,New Elizabethmouth,Store
32,121436,8.5,9,2.5,5,8,36,0,149118,133258,10,4,1,8,1,1,7,2,6,7,6,Male,Hoton,Hybrid
18,53543,6.1,12,1.5,2,6,20,16,59936,111549,9,2,3,2,4,10,7,2,9,9,4,Female,Lindseychester,Store
24,101899,3.6,12,3.6,6,1,47,19,82142,15069,10,2,4,6,6,2,10,3,5,9,6,Male,West Troyville,Hybrid
25,139950,5.1,1,2.1,7,7,7,18,16568,63957,2,2,2,8,6,6,6,5,9,6,4,Male,West Kellyport,Store
48,128456,2.6,12,2.1,5,5,29,15,37118,107837,8,8,6,5,3,10,6,2,7,7,2,Female,Rogerton,Store
46,120407,8.2,4,4.2,4,1,44,3,149592,123549,3,2,3,8,2,10,7,6,10,1,10,Other,Lake Mark,Store
23,176891,1.7,10,2.8,5,1,43,11,149996,56032,1,3,5,4,2,2,9,10,7,7,5,Male,Taylortown,Store
75,204224,5.6,8,3.5,1,6,0,11,105733,7422,1,0,5,1,9,4,9,8,3,8,5,Other,Amandamouth,Store
20,135082,4.3,9,3.2,9,6,20,19,28798,135102,4,6,3,2,2,5,6,10,1,6,3,Female,Douglasport,Store
18,93186,3.1,10,2.7,10,8,38,19,6156,111766,7,2,4,8,7,10,4,4,6,2,4,Male,Staceyport,Store
19,103258,4.3,12,1.3,4,8,43,16,53322,109735,5,1,7,8,10,7,3,1,9,3,9,Other,West Seanview,Store
68,121699,3.1,9,1.7,4,3,0,11,122772,149972,5,3,4,9,6,10,9,10,9,10,4,Male,West Danny,Store
46,133451,1.0,2,3.1,8,2,15,9,99616,100066,4,9,6,4,10,6,4,2,9,4,5,Male,Codyfort,Store
18,115643,6.0,12,5.0,2,5,41,2,16224,15647,1,8,1,2,9,3,7,1,4,4,5,Female,Ryanmouth,Store
65,149272,3.5,14,1.0,2,3,20,17,128883,21951,1,7,1,5,9,1,5,4,7,9,10,Other,Lake Eric,Store
18,50815,5.2,8,3.5,2,3,45,4,13626,30083,1,9,3,1,3,10,3,6,5,4,6,Other,North Jamesmouth,Store
33,154484,7.2,2,3.4,10,1,23,14,48146,91836,1,0,4,3,7,10,10,10,6,1,6,Other,Diamondberg,Store
78,86217,2.0,10,2.4,2,5,42,1,26894,71459,4,9,4,9,8,9,3,5,5,8,7,Male,Danielshire,Store
74,232558,6.9,7,2.5,7,3,20,0,94403,10012,9,8,7,8,9,10,6,8,5,2,1,Male,Tanyaburgh,Store
58,111217,6.1,13,2.5,10,7,26,13,25798,100143,6,5,6,8,7,10,4,3,9,10,9,Male,South Alexisview,Online
75,125527,4.5,8,3.6,2,3,8,2,79545,144859,1,0,3,3,10,8,7,3,9,7,5,Male,North Michael,Store
18,126467,5.6,4,3.9,10,8,46,7,130147,4493,6,2,1,9,5,2,2,10,5,1,5,Male,North Nancy,Store
18,182483,3.5,1,0.0,6,1,0,1,58248,73016,10,0,3,8,10,10,4,10,9,6,4,Male,Port Travisview,Store
18,155017,2.7,10,0.0,3,1,0,12,7304,91305,6,0,3,1,4,10,5,4,2,8,9,Female,Woodborough,Store
22,57894,4.7,10,4.6,2,10,25,19,131525,43333,10,8,3,2,9,5,6,10,9,9,5,Female,Lake Brianside,Store
53,63618,5.1,9,4.1,8,5,1,19,52382,149972,1,4,3,3,10,10,10,6,9,2,4,Other,Hollandborough,Store
18,188912,4.6,3,3.0,6,9,11,19,99278,104020,3,7,4,10,2,5,2,2,6,1,5,Female,Riveraland,Hybrid
49,37559,2.8,4,2.2,2,9,47,18,116008,542,10,4,5,2,7,2,8,10,5,2,9,Other,Maxwellmouth,Store
61,50862,7.2,6,2.1,5,3,7,7,81060,128274,6,3,4,3,10,6,7,5,10,4,7,Female,New Andrew,Online
21,37990,4.7,9,0.9,5,6,32,1,149996,81006,7,2,7,5,4,5,3,1,8,1,5,Female,North Joseph,Store
68,18849,4.2,2,2.0,2,7,25,17,23296,131199,3,8,3,1,10,2,4,5,5,3,8,Female,West Kathleenhaven,Store
18,195716,7.4,12,2.5,7,9,42,13,6641,93326,5,9,6,6,10,3,7,3,9,1,9,Male,New Johnshire,Hybrid
18,121967,5.0,1,2.7,6,1,23,3,124063,542,7,9,4,4,4,3,4,3,6,7,5,Male,South Barbara,Hybrid
29,144359,6.3,10,2.7,10,5,20,17,23285,147816,2,3,1,2,2,7,4,7,3,4,4,Female,Jenniferton,Store
58,54393,3.7,13,3.1,6,9,18,4,107819,100854,3,5,4,8,2,3,7,2,5,1,10,Female,Lopezfort,Store
19,162500,5.1,4,2.7,5,9,30,14,149996,64519,10,0,5,1,6,7,3,5,7,10,9,Other,North Heatherburgh,Store
58,128846,5.4,8,3.9,2,3,29,2,523,14671,4,6,3,4,2,7,3,8,4,8,4,Male,Raymondton,Store
43,32503,1.3,13,1.0,1,5,48,17,117758,118791,3,0,7,1,1,2,4,8,5,2,4,Female,New Jasmine,Store
19,216188,5.9,13,3.1,3,9,27,0,37480,122927,3,9,5,6,9,9,5,3,10,4,6,Other,Millerfort,Store
18,245871,5.9,10,2.2,10,6,45,14,33084,18836,10,2,4,3,2,2,4,3,9,8,2,Female,Lindamouth,Store
67,118578,4.9,2,0.0,2,1,6,2,89022,59993,10,0,2,8,9,6,7,10,5,3,2,Other,Craigbury,Store
63,75608,1.1,10,3.5,2,6,17,17,21271,542,10,9,7,3,10,2,4,5,8,7,3,Male,Sarahtown,Online
22,209667,4.5,13,0.0,9,1,32,9,149440,62535,3,2,2,6,8,10,1,2,6,9,7,Other,North Brianfort,Store
69,140507,9.1,9,4.6,6,1,40,1,139446,18114,3,2,6,2,2,7,9,1,8,10,6,Male,Isaacland,Store
34,111397,6.1,4,2.3,5,3,0,7,96532,50311,1,3,1,4,7,2,9,5,8,7,9,Female,West Crystal,Store
60,187740,2.5,5,5.5,2,4,5,15,2411,8223,7,9,4,2,9,3,7,3,2,2,5,Other,Amyville,Store
35,118919,2.7,5,2.1,4,7,28,12,149996,542,1,5,1,3,6,1,7,4,8,4,7,Male,Joelberg,Store
49,217753,3.8,5,2.8,4,7,26,18,42558,96239,2,7,3,3,7,5,3,5,5,7,3,Female,West Taylorport,Store
59,172927,6.3,6,2.1,2,7,6,2,90127,16933,7,4,7,6,1,2,4,5,5,6,5,Female,Brianland,Store
55,198498,2.4,3,4.4,3,1,40,1,128857,60827,7,3,3,9,1,2,9,3,10,1,5,Male,Leview,Store
26,182691,8.5,14,2.0,9,4,3,2,110078,48314,1,4,4,8,9,2,4,9,9,5,2,Female,North Richard,Store
28,192582,5.8,4,3.6,7,7,5,0,109685,56961,3,1,4,2,1,2,7,10,7,6,10,Male,Port Scottchester,Store
43,222191,3.2,14,0.9,6,4,22,9,103669,125142,9,4,3,1,3,5,4,6,5,3,4,Male,Lake Charles,Store
53,172107,7.3,11,1.6,4,7,2,13,149996,110340,5,5,6,7,4,6,1,3,7,8,2,Male,Port Kaylachester,Store
18,23537,5.1,3,3.6,1,7,39,3,132815,106464,6,0,7,1,1,8,3,1,6,5,9,Other,Clementsside,Store
18,152239,2.1,1,2.8,9,1,19,19,99708,122847,10,0,4,5,3,7,5,5,2,6,1,Other,South Christine,Store
57,77833,6.2,4,2.2,5,7,42,10,19334,21500,1,3,3,10,3,7,10,5,6,1,1,Female,East Heidi,Store
51,230267,3.2,4,2.8,2,6,26,14,76595,108513,10,0,1,7,10,6,9,8,3,8,5,Other,North Rhondaview,Store
56,243100,5.3,4,1.4,4,10,10,1,4615,15232,3,2,2,7,2,3,10,2,5,4,1,Other,Ortizstad,Store
27,249989,7.3,4,4.1,3,1,28,2,14169,542,10,2,7,8,1,10,3,1,9,1,9,Other,Port Jefferyfurt,Store
58,153443,1.0,10,3.8,3,3,49,1,149996,542,1,5,1,3,6,5,7,2,7,2,2,Male,Joannaview,Store
52,87418,6.2,12,0.9,2,1,49,19,9151,542,1,7,4,7,7,2,7,1,8,1,6,Female,South Kylieside,Store
78,110159,8.0,5,3.0,3,3,49,5,15300,24785,4,6,4,10,9,3,10,2,5,9,10,Male,West Donaldfort,Hybrid
18,162052,4.9,5,2.2,6,1,4,7,119426,43146,1,0,1,2,2,7,6,10,5,8,9,Male,South Ericaview,Store
18,124911,9.0,8,2.7,5,2,26,3,134107,542,1,3,1,8,6,8,3,3,6,8,2,Other,West Robertberg,Store
22,211517,2.8,3,2.4,3,1,40,5,128219,30235,2,2,7,1,10,8,2,8,4,6,4,Male,Marksborough,Store
57,193146,5.9,12,3.0,5,1,30,7,119376,542,1,5,1,2,6,8,8,8,8,5,7,Female,West Troy,Store
18,130785,6.1,5,4.0,3,3,42,2,110708,149972,10,2,4,9,9,8,8,3,6,2,4,Female,Jenniferfurt,Store
26,15005,6.0,9,5.5,5,4,41,18,9855,37782,7,1,6,6,9,10,7,7,7,6,6,Female,South Travisbury,Store
53,249989,3.2,10,2.0,4,9,0,19,98029,13352,10,7,6,7,1,9,10,10,9,6,2,Other,North Jeffreybury,Store
64,67048,4.8,4,0.3,2,1,5,3,29746,86147,1,3,7,1,1,5,2,6,6,5,6,Male,New Brentside,Store
