crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
0.62439,3.6,3.25,0,0.7199,6.67,61.3,8.2172,24,295,20.0,395.17,25.81,19.9
1.94198,0.0,17.3,0,0.8049,5.839,10.6,8.5481,8,220,20.3,396.9,20.13,15.1
1.462,40.8,7.86,0,0.4615,6.509,87.7,3.1999,3,400,20.5,396.9,10.05,12.2
0.09871,17.9,16.92,0,0.8183,8.78,97.4,4.9286,5,269,19.7,396.9,31.81,29.9
2.06785,35.6,15.44,1,0.385,6.353,93.4,5.7001,24,390,19.0,396.47,11.46,10.3
0.79228,33.6,7.31,0,0.595,6.467,100.0,8.5307,2,191,21.0,396.9,9.97,43.6
1.68294,3.0,1.77,0,0.4278,6.125,75.1,1.7028,3,595,19.8,388.58,12.39,28.3
1.13722,49.1,2.55,1,0.461,6.014,98.4,9.4993,24,596,18.4,396.9,19.68,21.8
1.36208,0.0,15.19,0,0.5919,6.278,58.6,7.0626,3,366,19.5,284.39,15.3,50.0
0.70363,31.1,17.19,1,0.5151,6.812,100.0,2.3137,3,663,19.0,396.9,14.5,12.8
1.60322,16.9,15.64,0,0.6936,8.601,74.2,7.9235,4,187,18.6,396.9,13.63,28.3
0.62991,16.9,16.81,0,0.6654,7.54,49.5,6.3626,7,187,18.0,387.2,12.58,27.0
0.91719,17.5,16.45,0,0.7452,8.78,73.4,10.5229,4,616,21.1,396.9,17.57,43.6
1.65069,34.7,16.94,0,0.6962,5.824,94.0,4.9726,24,579,21.0,396.9,23.95,20.9
2.10941,0.0,15.62,0,0.7858,6.073,73.2,3.3053,6,685,16.1,392.81,17.12,23.7
0.41692,0.4,16.26,0,0.6655,8.221,94.5,3.4777,5,412,20.5,396.9,33.17,40.3
0.20082,0.0,16.61,0,0.729,8.78,100.0,8.855,6,187,21.1,396.9,20.2,23.9
0.51814,33.8,0.77,0,0.4836,6.923,62.6,2.0401,5,420,21.3,396.9,17.35,33.4
0.00632,13.5,17.23,0,0.7419,6.07,99.7,9.902,5,357,22.0,396.9,8.93,7.8
0.99097,4.1,20.4,1,0.5813,7.116,37.0,3.1675,3,615,19.5,396.9,8.83,22.9
1.18702,20.1,4.49,0,0.7579,6.387,89.3,4.7295,4,659,22.0,396.9,29.89,29.7
0.56584,1.0,15.88,0,0.7871,8.78,71.2,9.0628,1,357,20.0,190.36,25.71,16.1
1.37,1.5,9.74,0,0.6954,7.336,100.0,6.126,7,669,20.7,384.03,9.17,23.9
2.1101,0.0,0.46,0,0.481,5.801,70.7,2.5967,24,631,21.1,396.9,22.96,21.9
0.00632,28.1,15.41,0,0.5847,8.55,94.6,3.6585,2,640,19.9,396.9,5.9,30.3
1.73692,27.6,15.87,0,0.5316,7.31,11.9,3.777,24,692,21.1,396.9,6.9,32.0
0.00632,0.0,16.92,0,0.6253,8.454,88.5,4.211,6,636,21.4,385.85,7.94,26.7
0.04909,42.0,18.37,1,0.8124,7.848,100.0,5.5454,24,618,20.5,390.9,18.74,38.6
0.90775,0.0,2.25,0,0.871,8.313,70.4,8.9011,5,689,19.4,377.7,7.4,27.9
1.8274,2.3,16.52,0,0.8171,6.105,74.3,3.2367,5,367,21.9,396.81,20.73,22.7
0.00632,0.0,15.72,0,0.7739,6.829,82.5,3.5884,5,270,20.3,393.26,8.36,33.7
0.00632,0.9,17.71,0,0.871,5.738,51.6,10.2894,5,318,19.8,394.69,17.17,24.4
1.62351,42.7,6.71,1,0.3942,6.603,86.4,4.3639,4,187,20.8,396.9,16.71,50.0
1.59228,3.1,1.54,1,0.7212,7.205,45.8,7.8532,4,616,18.0,396.9,7.3,27.4
0.49647,3.8,3.54,1,0.699,7.346,84.7,6.842,3,187,18.0,396.9,27.86,47.9
1.50349,46.6,16.12,0,0.6482,8.78,91.6,3.8177,2,583,20.0,396.55,37.97,21.4
0.52088,0.0,1.22,0,0.7447,7.045,100.0,5.4132,5,653,20.6,396.9,21.78,30.0
0.59283,1.8,18.04,0,0.7313,5.936,65.0,2.6354,4,187,20.5,396.9,25.0,32.1
0.00632,0.0,5.1,1,0.6426,6.524,72.9,7.4299,6,611,20.6,396.9,11.08,21.0
1.90723,3.7,9.61,0,0.702,7.331,84.4,1.5695,3,665,21.5,382.49,26.26,26.1
0.37941,0.0,18.3,0,0.6571,6.986,48.3,9.3808,4,586,19.8,385.29,4.07,36.2
0.52005,14.6,17.16,0,0.7567,6.043,79.4,5.6993,4,187,20.3,396.9,18.09,22.2
1.31631,2.9,15.87,1,0.5261,8.522,52.4,6.7548,4,670,19.9,393.34,4.16,27.6
11.97977,38.7,15.49,0,0.5199,7.987,94.5,7.8664,5,417,20.7,389.32,21.37,22.4
2.42652,0.1,0.46,1,0.6936,5.856,46.2,9.7641,24,187,18.4,396.9,8.88,38.0
0.88182,0.0,0.46,1,0.8655,7.646,43.0,10.8111,2,207,20.4,396.9,17.28,30.6
0.96771,21.2,15.15,0,0.4471,7.202,45.1,5.851,2,190,21.4,396.9,13.87,36.2
1.95314,2.0,16.1,0,0.7995,7.852,89.1,3.3915,6,187,18.9,396.9,18.57,29.7
0.00632,100.0,19.17,0,0.871,6.884,96.3,3.3948,5,187,19.6,396.9,17.93,26.3
0.00632,2.0,15.61,0,0.8119,7.398,66.1,4.733,4,622,21.6,382.76,24.26,30.7
1.42675,2.1,20.76,0,0.8231,6.11,68.3,12.1265,5,606,20.0,396.9,24.84,24.0
1.09922,33.7,22.95,0,0.5217,7.872,48.8,9.7231,3,584,20.7,396.9,13.41,31.7
0.22401,33.1,18.4,1,0.8555,6.616,65.8,4.175,24,625,21.6,396.9,22.08,25.4
1.41204,30.3,3.24,0,0.6218,6.647,56.7,9.7053,3,187,19.8,396.9,14.16,25.4
0.4943,17.8,15.86,0,0.5516,8.496,74.8,9.6396,3,602,19.3,396.9,13.02,17.1
0.11726,100.0,18.58,1,0.6581,6.378,100.0,3.336,2,618,17.8,396.9,13.62,27.2
0.56535,0.7,0.46,0,0.864,8.78,42.0,8.9726,24,315,18.7,396.9,25.45,50.0
0.89944,2.5,8.97,0,0.7547,6.229,100.0,6.7995,24,187,18.3,377.05,11.57,50.0
1.83095,32.0,17.13,0,0.7637,6.49,100.0,6.3116,5,202,22.0,396.9,14.46,39.7
0.04788,0.6,18.43,0,0.4982,7.334,75.2,2.9198,6,614,19.2,396.9,17.95,22.6
1.21879,2.9,4.22,1,0.5525,8.78,88.9,8.3265,24,207,20.3,396.9,12.5,35.4
0.28675,2.1,17.9,1,0.4299,8.78,71.0,4.0613,1,604,21.7,396.9,9.02,5.8
0.65034,1.5,17.47,1,0.631,6.963,100.0,2.5629,5,191,20.8,396.9,16.89,49.6
1.78542,3.2,17.26,0,0.5794,7.098,100.0,3.5166,3,311,19.5,396.9,14.19,16.1
1.73298,0.0,3.11,0,0.6425,7.404,18.7,3.2736,6,400,17.1,396.9,19.31,20.1
0.66912,3.0,7.52,0,0.6397,6.243,100.0,8.4773,4,187,18.6,396.9,14.16,18.4
1.71393,1.7,0.46,0,0.5203,7.0,48.7,6.803,3,222,21.1,370.56,13.19,36.5
0.74329,2.0,0.97,0,0.5746,7.092,66.1,3.1545,1,604,21.3,396.9,7.26,36.2
0.00632,35.3,5.8,1,0.7574,6.52,94.9,7.8184,3,351,21.4,387.26,19.98,26.3
1.39866,0.4,0.46,0,0.4262,8.78,12.0,3.0122,1,605,20.5,388.46,19.67,25.9
0.00632,1.4,19.6,0,0.5036,7.22,88.0,8.9776,6,321,21.6,396.9,8.85,24.7
2.0417,26.6,5.38,0,0.7203,8.581,89.2,4.6972,7,584,21.7,384.39,25.26,14.1
0.00632,41.3,17.7,0,0.7962,6.576,66.6,5.5033,2,202,16.5,396.9,14.95,10.8
0.67333,25.5,17.86,1,0.5216,6.429,98.8,9.5344,7,633,20.1,396.9,11.7,7.4
1.99332,0.9,0.46,0,0.8633,6.397,77.7,6.8528,8,279,21.9,375.34,19.63,25.7
