age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
60,105704,6.3,10,0.4,4,10,9,11,33430,45426,2,9,7,8,2,1,4,1,4,4,10,Female,East Maryburgh,Store
64,48731,4.1,1,1.4,6,4,9,18,43968,55959,7,2,3,9,2,7,7,8,9,7,10,Female,Bettyville,Online
71,190538,5.4,3,4.1,1,7,45,13,131484,542,9,6,7,8,8,6,6,5,9,1,8,Male,Brewershire,Online
63,49806,8.4,9,3.0,4,10,49,4,60902,61215,8,6,2,2,10,5,2,6,3,6,10,Female,New Tanya,Online
58,122145,2.6,4,4.6,5,4,6,16,83866,133706,8,4,5,9,5,3,8,3,3,3,4,Male,Melissafort,Store
25,119289,6.1,9,2.7,7,4,18,15,95108,122395,4,0,4,2,1,10,8,2,9,4,8,Female,Port Amandaborough,Hybrid
27,95709,5.9,8,0.2,3,1,34,19,95870,73171,9,9,1,9,4,3,6,8,10,10,8,Female,Gloverport,Online
29,94604,5.6,12,3.2,6,1,43,16,9756,116134,1,4,2,4,6,8,1,4,1,8,5,Male,Lake Dustin,Online
71,15005,6.2,5,1.9,3,3,18,17,135567,542,8,8,7,3,5,6,3,8,6,2,1,Male,East Wendyhaven,Online
55,196729,6.9,8,1.4,1,9,4,12,51653,95288,8,4,5,10,8,9,1,3,4,10,6,Female,East Katrinaborough,Online
51,231607,4.7,10,3.5,10,2,34,18,109892,27574,9,8,5,2,2,3,5,1,1,3,9,Other,Charlesmouth,Hybrid
45,227882,4.8,4,1.2,7,9,24,4,131642,25991,1,8,2,2,7,3,2,9,6,7,8,Female,Port Barbarashire,Store
30,205026,4.9,7,1.8,2,7,40,3,81373,65464,7,6,7,4,6,8,7,2,1,3,10,Male,Shannonborough,Hybrid
33,170260,2.3,1,1.6,10,9,46,7,75028,112916,2,2,4,7,3,10,4,4,1,4,7,Male,Youngfurt,Online
53,66252,4.4,13,1.7,4,8,28,3,33465,8245,5,9,5,10,10,8,4,3,5,5,3,Other,South Mark,Online
60,140493,5.7,14,0.0,10,9,9,14,76034,141461,4,0,1,9,2,2,8,8,9,5,3,Male,South Rebekahtown,Store
50,218418,8.7,9,0.0,1,5,8,2,62878,61632,10,3,2,4,1,2,10,8,1,3,3,Female,Port Kara,Hybrid
71,233927,11.5,9,4.5,2,10,45,18,80436,128568,1,3,2,3,5,9,7,9,3,1,6,Male,Duncanmouth,Online
28,66393,4.6,5,2.0,5,10,10,0,15922,94050,2,5,6,7,10,5,10,8,1,1,7,Female,Jerryville,Online
64,82831,7.5,5,2.2,8,7,10,2,82441,9445,10,1,3,7,5,2,5,5,10,1,10,Male,West Christopher,Online
56,151942,10.1,10,0.3,1,3,34,17,70745,47428,3,0,2,4,1,8,9,5,6,10,8,Female,New Allen,Hybrid
56,77657,5.8,13,2.2,3,5,43,6,112286,115369,9,6,7,2,2,8,1,6,3,7,8,Male,Jasminemouth,Store
31,97438,8.5,11,2.5,4,7,26,19,95344,58452,6,0,4,7,4,8,9,10,8,10,7,Male,Port Michaelberg,Online
70,15005,4.0,13,2.8,3,6,19,4,111503,27404,1,7,7,9,5,3,1,5,7,7,10,Male,Michaelburgh,Store
31,227453,7.0,11,2.7,2,6,20,11,135156,115953,3,9,7,7,4,3,10,2,6,8,7,Male,Sanchezfurt,Hybrid
49,119138,2.1,3,2.7,10,3,13,0,83158,31962,3,3,7,4,8,6,1,1,4,7,2,Female,Nathanton,Hybrid
72,68437,9.3,12,4.0,7,3,26,18,129473,98830,3,8,4,1,6,9,8,5,9,7,9,Male,Autumnfort,Store
50,47029,4.6,8,0.1,9,9,18,4,40140,149972,1,3,2,2,5,7,7,4,2,5,5,Female,Daniellestad,Online
69,248295,8.0,4,2.7,1,2,46,19,86090,74291,4,2,6,7,2,7,4,7,9,5,2,Male,Lake Patricktown,Online
33,131486,6.8,10,1.2,2,6,49,18,143178,83583,3,0,6,7,3,4,1,7,3,4,3,Female,Liuland,Store
69,230833,3.4,6,2.8,7,8,41,13,82495,12025,4,8,4,6,3,10,6,8,6,2,10,Other,South Davidbury,Store
45,218528,3.7,5,2.7,3,4,6,0,82186,114251,3,4,1,7,1,9,4,2,5,3,9,Other,West Marco,Online
18,127986,4.8,2,0.5,4,1,28,8,523,89497,6,9,4,4,1,9,4,6,2,5,10,Male,Ramirezville,Online
71,41403,9.0,12,2.4,4,9,2,3,124425,115385,9,7,5,3,7,10,3,5,5,7,6,Other,Port Matthewberg,Store
21,70919,8.5,5,4.0,1,1,19,16,87161,99825,4,7,2,5,9,5,1,1,5,7,7,Male,Duartehaven,Store
51,41967,7.4,10,1.7,9,9,25,2,107237,11137,8,6,4,7,10,1,6,4,5,7,4,Other,West Andrewmouth,Online
65,103814,5.8,4,3.4,2,9,25,16,31819,31286,9,2,1,2,4,9,6,6,2,5,5,Other,Jonburgh,Store
70,76338,9.8,5,1.7,6,10,33,1,114856,17127,7,9,4,1,1,9,2,7,1,2,5,Female,Danielfurt,Hybrid
78,201071,5.3,9,0.1,8,3,36,8,89992,60323,1,0,2,8,10,9,8,4,4,2,8,Male,West Moniqueland,Store
42,201762,7.0,14,0.9,9,4,33,0,107983,91032,2,4,3,1,8,5,7,6,7,5,1,Other,North Ericview,Hybrid
72,65462,5.7,12,6.0,1,3,42,4,114753,137127,9,6,3,1,7,1,5,4,4,9,6,Male,South Benjaminview,Store
18,21170,10.5,6,2.6,3,8,7,18,44583,135804,3,2,6,8,6,5,4,10,1,1,6,Female,Jamesshire,Store
37,15005,4.7,1,3.4,10,9,18,14,68075,57771,1,6,6,10,1,6,3,4,8,5,8,Male,Suttonville,Hybrid
55,151726,4.0,4,1.7,1,2,39,8,57413,80176,8,0,1,9,2,2,5,7,7,8,2,Male,Lake Joseph,Hybrid
50,119370,4.7,3,2.0,10,9,37,6,28004,114191,5,6,2,8,3,3,9,8,8,5,7,Male,Russellfort,Online
61,59973,9.5,14,1.6,6,5,2,12,80161,102051,9,6,3,4,4,8,9,10,3,1,7,Female,East Wayne,Store
52,200239,6.7,1,2.7,10,6,1,12,14513,102067,5,3,2,7,2,10,6,2,3,5,9,Other,Alyssamouth,Store
39,151565,3.8,12,3.8,10,4,26,10,33345,13377,3,8,1,10,5,1,8,1,1,7,7,Male,Lake Jorge,Hybrid
51,148951,3.4,5,0.8,9,10,45,5,81117,113849,5,2,4,10,6,10,9,1,4,4,8,Male,Solomonhaven,Hybrid
47,45040,9.6,14,2.3,4,6,45,10,6500,90179,1,4,3,6,6,4,9,2,4,8,7,Male,Parkertown,Store
23,190821,6.9,6,6.0,1,6,23,3,20979,26406,1,6,6,8,5,8,5,9,3,5,4,Male,West Dianaport,Online
61,40356,5.3,11,3.5,6,4,26,14,97427,74987,3,6,7,9,1,2,3,4,10,6,8,Female,Rivastown,Online
50,114313,8.0,6,2.9,10,9,13,11,68069,108121,1,7,5,7,6,3,7,1,5,8,1,Male,Jonesport,Store
50,105821,7.3,3,4.5,9,4,48,17,10562,88199,9,7,4,3,5,4,6,7,1,6,1,Male,Sydneyview,Online
43,127751,4.4,5,3.3,5,4,42,9,61514,149972,6,0,1,2,9,4,7,5,7,5,1,Other,New Elizabethmouth,Store
66,77896,6.7,11,2.0,5,1,43,9,6609,121713,6,9,6,1,9,6,2,2,7,9,4,Other,Hoton,Hybrid
66,155887,5.2,13,5.8,5,10,25,4,32866,18377,3,1,1,7,7,8,8,1,10,1,8,Female,Lindseychester,Hybrid
38,232249,4.8,1,3.4,8,1,13,15,67835,127513,3,1,4,4,3,9,5,4,9,7,1,Female,West Troyville,Hybrid
23,209980,7.4,7,2.0,10,9,44,13,6433,71173,10,1,4,1,6,8,6,1,3,9,2,Other,West Kellyport,Online
39,110339,4.8,3,4.8,10,7,45,17,22422,5240,3,4,1,4,7,3,7,10,10,3,5,Female,Rogerton,Hybrid
18,82861,6.9,3,3.7,10,7,0,17,58195,23623,3,2,5,7,3,3,4,7,3,3,5,Female,Lake Mark,Online
