Student_ID,Age,Gender,Education_Level,City,AI_Tool_Used,Daily_Usage_Hours,Purpose,Impact_on_Grades,Satisfaction_Level
50,20,Female,School,East Joshua,Gemini,5.3,Research,No Change,Low
95,23,Female,School,Carlosfurt,Copilot,1.2,Coding,Improved,Low
-45,19,Male,College,North Joditown,Copilot,5.3,Learning,Improved,High
39,21,Female,College,East Patrick,Gemini,2.5,Learning,No Change,High
-13,24,Male,College,Marcustown,Copilot,6.0,Writing,Improved,Low
17,17,Female,School,North Thomas,Copilot,3.5,Learning,Improved,Medium
48,25,Male,School,West Rachelmouth,ChatGPT,1.3,Research,Slight Decline,Medium
89,20,Female,School,Kennethtown,Gemini,3.3,Learning,Improved,High
34,19,Female,University,Beckerbury,Gemini,3.2,Writing,No Change,Medium
238,22,Male,University,Kanemouth,ChatGPT,6.0,Research,No Change,Medium
48,17,Female,School,Medinastad,ChatGPT,4.9,Research,No Change,Medium
49,25,Female,University,Grantfort,Gemini,4.9,Learning,Improved,Medium
99,20,Female,School,Griffinhaven,ChatGPT,4.9,Writing,Improved,Medium
11,15,Male,University,Davidmouth,ChatGPT,5.7,Research,Slight Decline,Medium
227,15,Male,College,Colleenbury,Copilot,4.6,Learning,No Change,High
69,18,Female,School,New Elizabethside,Copilot,1.6,Writing,No Change,High
148,24,Male,School,Josephport,Copilot,3.3,Writing,Improved,Low
85,23,Male,University,Port Ian,ChatGPT,1.7,Writing,Improved,High
6,19,Male,University,Lake Lorraine,Copilot,3.6,Writing,No Change,Low
12,20,Female,School,Colemouth,ChatGPT,2.9,Research,Slight Decline,High
94,25,Male,College,Susanstad,Copilot,5.8,Research,Slight Decline,High
86,18,Female,College,Sweeneyland,Gemini,1.6,Homework,Slight Decline,Medium
72,15,Male,College,Williamsmouth,ChatGPT,5.6,Coding,Improved,Medium
166,24,Female,School,Port Aliciahaven,Grammarly,3.0,Research,No Change,High
-13,22,Male,College,Joseborough,ChatGPT,3.9,Homework,Improved,Low
119,16,Female,College,Shirleyburgh,ChatGPT,1.5,Coding,No Change,High
200,22,Male,School,West Kevinton,Copilot,0.8,Homework,No Change,Low
196,22,Female,School,Port Elizabethfurt,ChatGPT,3.8,Coding,Slight Decline,Low
-39,15,Male,University,West Austinburgh,Gemini,4.7,Learning,Slight Decline,High
-15,24,Female,School,Port Devin,Gemini,5.9,Homework,No Change,High
106,17,Male,College,Butlerfurt,Grammarly,4.0,Research,Slight Decline,Low
173,18,Male,School,Ramosport,Gemini,0.9,Coding,No Change,High
86,24,Male,College,South Tarachester,Grammarly,0.9,Research,Improved,High
-31,21,Female,University,Navarroville,Grammarly,5.6,Writing,Improved,Low
-39,24,Female,College,South Debraville,ChatGPT,4.7,Learning,Improved,Low
-28,18,Female,University,Lake Sara,Gemini,1.3,Writing,Improved,High
80,15,Male,University,Whiteburgh,Gemini,4.6,Coding,Slight Decline,High
-5,23,Female,University,North Michael,Gemini,4.7,Coding,Slight Decline,High
0,19,Male,College,Stanleyburgh,Gemini,5.8,Learning,Slight Decline,High
-23,17,Male,College,Port Kylefort,ChatGPT,2.0,Coding,Slight Decline,Low
22,20,Male,College,Taylorfort,ChatGPT,6.0,Coding,Slight Decline,High
92,23,Female,College,Paulbury,Copilot,2.4,Homework,Slight Decline,Low
-15,16,Male,College,Fitzgeraldburgh,ChatGPT,0.6,Learning,Improved,Low
40,19,Male,School,Amandaton,Gemini,4.9,Writing,No Change,Low
-4,16,Male,University,Debrahaven,Gemini,3.7,Writing,No Change,Medium
36,18,Female,University,Lake Sharon,Gemini,1.0,Writing,Slight Decline,Low
151,22,Female,School,New Louis,ChatGPT,4.1,Research,Improved,Medium
126,24,Male,University,Jamesport,ChatGPT,4.5,Learning,No Change,High
191,20,Male,College,Adrianaberg,Copilot,1.7,Writing,Improved,Medium
152,17,Female,University,Lake Mistyberg,Notion AI,5.3,Coding,Slight Decline,Low
-60,19,Male,College,West Cathyview,Gemini,3.3,Writing,Slight Decline,Medium
190,22,Female,College,Zacharyborough,ChatGPT,0.5,Writing,Improved,High
-53,15,Male,University,Frankborough,ChatGPT,1.8,Writing,Slight Decline,Low
160,19,Male,College,Wardhaven,ChatGPT,6.0,Research,No Change,High
41,21,Female,University,Rhondahaven,ChatGPT,6.0,Writing,Slight Decline,Medium
6,23,Male,College,West Elizabeth,Grammarly,3.2,Coding,No Change,Low
98,22,Male,College,East Ericstad,ChatGPT,0.8,Writing,No Change,Medium
156,20,Female,University,Lake Stephanie,Notion AI,3.4,Research,Slight Decline,Low
-60,18,Male,College,Port Benjaminstad,ChatGPT,1.1,Coding,Slight Decline,High
109,18,Male,School,Brookshaven,Gemini,4.3,Learning,Slight Decline,Low
80,23,Female,School,Debbieport,Grammarly,0.5,Learning,Slight Decline,Low
26,19,Male,School,Lake Andrewchester,Grammarly,5.4,Coding,Improved,High
-16,23,Female,College,Lake Michael,Grammarly,0.9,Coding,Improved,High
157,18,Female,School,Port Kristina,Notion AI,3.6,Learning,Slight Decline,Medium
57,20,Male,School,North Shannonside,ChatGPT,5.4,Writing,Improved,Medium
172,16,Female,College,Lake Alan,Grammarly,1.7,Learning,Slight Decline,High
-35,22,Male,College,Martinezbury,Gemini,2.7,Writing,Slight Decline,High
91,23,Female,School,Lake Scottville,Gemini,0.5,Writing,Improved,High
-32,23,Female,University,Bennettbury,Copilot,1.6,Writing,Slight Decline,High
-27,24,Male,University,West Jessica,ChatGPT,2.0,Learning,Improved,Low
103,19,Male,University,Vancehaven,ChatGPT,4.7,Writing,No Change,High
8,15,Male,College,West Christychester,Copilot,1.8,Research,No Change,Low
-49,21,Female,School,South Sarah,ChatGPT,0.5,Writing,Slight Decline,High
140,21,Male,University,Keithfurt,Copilot,1.3,Writing,No Change,Low
-2,18,Male,College,Brittanystad,Copilot,2.1,Writing,Improved,High
-39,18,Male,University,Micheleport,Copilot,0.5,Writing,No Change,Low
-23,18,Female,University,East Zachary,ChatGPT,5.5,Learning,Slight Decline,High
