Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
21,No,Travel_Frequently,1285,Research & Development,24,4,Medical,1,13859660,4,Male,62,3,3,Manager,1,Single,3689,17904,3,Y,No,11,4,2,80,0,19,3,3,4,6,10,2
32,Yes,Travel_Frequently,1423,Sales,3,1,Life Sciences,1,10827474,4,Female,86,3,3,Sales Executive,3,Single,3339,10742,8,Y,No,17,3,4,80,0,27,3,2,2,0,1,3
27,No,Travel_Rarely,1130,Research & Development,26,4,Medical,1,1622532,4,Male,66,3,2,Sales Executive,2,Married,19999,26999,9,Y,Yes,15,3,1,80,0,12,3,1,10,9,2,0
18,No,Travel_Rarely,1267,Research & Development,29,3,Medical,1,3071196,2,Male,42,3,1,Healthcare Representative,2,Married,7297,11699,6,Y,No,13,3,3,80,1,14,2,3,0,9,0,1
21,No,Travel_Frequently,1009,Research & Development,3,3,Other,1,13477013,3,Female,100,2,1,Sales Executive,3,Married,18217,20061,1,Y,No,11,3,1,80,1,12,2,3,2,1,0,7
37,No,Travel_Rarely,1426,Research & Development,14,1,Medical,1,5500864,2,Male,67,4,2,Healthcare Representative,4,Married,7234,17468,5,Y,Yes,12,3,4,80,3,29,3,3,4,5,3,5
50,No,Travel_Rarely,1499,Sales,4,3,Medical,1,8739423,3,Male,40,2,3,Research Scientist,4,Divorced,8299,13361,5,Y,Yes,22,3,1,80,1,27,2,2,3,6,4,4
18,No,Travel_Rarely,1480,Research & Development,4,4,Marketing,1,13474416,1,Male,100,3,3,Manufacturing Director,3,Divorced,1370,13835,1,Y,No,15,3,3,80,1,6,5,3,4,18,1,1
25,No,Travel_Rarely,1499,Sales,4,3,Medical,1,5601941,3,Male,100,3,2,Manager,2,Married,5710,18005,3,Y,No,13,3,3,80,0,21,3,1,7,9,1,2
43,No,Travel_Rarely,859,Research & Development,8,3,Medical,1,11208626,2,Male,50,2,5,Research Scientist,1,Single,13265,6513,3,Y,No,14,3,2,80,0,12,6,3,28,5,2,9
33,Yes,Travel_Rarely,748,Research & Development,4,1,Life Sciences,1,14618130,2,Male,75,2,1,Healthcare Representative,4,Single,7837,8370,6,Y,Yes,12,3,3,80,1,10,6,3,16,4,1,3
20,No,Non-Travel,1410,Research & Development,13,4,Life Sciences,1,9367605,1,Male,61,1,2,Healthcare Representative,3,Married,7017,26999,7,Y,No,13,3,3,80,1,31,3,3,0,13,1,2
18,Yes,Travel_Rarely,1499,Research & Development,16,2,Medical,1,8484551,3,Male,100,3,2,Manufacturing Director,4,Divorced,6293,17369,5,Y,Yes,17,3,4,80,1,20,2,3,4,5,4,5
22,No,Travel_Rarely,1199,Sales,10,1,Medical,1,430584,3,Male,81,2,1,Research Scientist,4,Married,3766,16369,7,Y,Yes,13,3,2,80,0,30,3,2,2,6,1,1
37,No,Travel_Frequently,1499,Research & Development,16,4,Medical,1,7083096,4,Male,41,3,1,Healthcare Representative,4,Married,15066,24948,3,Y,Yes,15,3,1,80,2,12,4,3,5,6,2,4
20,No,Travel_Rarely,1316,Research & Development,26,5,Technical Degree,1,9750392,3,Male,96,3,3,Laboratory Technician,3,Divorced,19999,14900,5,Y,Yes,14,3,1,80,2,13,3,3,2,3,1,6
48,Yes,Travel_Rarely,1492,Research & Development,11,4,Medical,1,2482635,2,Male,91,1,2,Manufacturing Director,1,Married,19999,25030,5,Y,No,11,4,3,80,0,11,3,3,0,6,1,10
18,Yes,Travel_Rarely,1171,Human Resources,2,4,Life Sciences,1,221424,3,Male,73,3,1,Sales Representative,2,Married,6344,21389,1,Y,Yes,11,3,2,80,0,24,5,3,0,2,0,2
18,No,Travel_Frequently,1499,Research & Development,29,4,Medical,1,14833524,3,Female,77,3,2,Human Resources,2,Divorced,4307,26999,1,Y,No,16,3,2,80,0,28,2,3,8,8,2,5
26,Yes,Travel_Frequently,1227,Research & Development,29,2,Technical Degree,1,6129504,3,Female,47,4,1,Manager,1,Married,4709,2687,3,Y,No,17,3,2,80,1,12,6,2,16,7,7,3
22,No,Travel_Rarely,1112,Research & Development,22,1,Medical,1,8767128,1,Female,58,3,1,Laboratory Technician,2,Single,4067,26999,1,Y,No,12,3,1,80,0,24,6,2,6,16,6,16
28,No,Travel_Rarely,1383,Sales,1,4,Medical,1,6750555,2,Female,52,3,3,Healthcare Representative,2,Divorced,3288,14635,1,Y,Yes,16,3,2,80,1,28,3,2,2,2,0,2
25,No,Travel_Frequently,1406,Sales,4,4,Technical Degree,1,12448620,4,Female,62,3,1,Healthcare Representative,1,Single,5413,21507,1,Y,No,17,3,2,80,1,25,2,3,4,5,9,4
18,No,Travel_Rarely,1499,Sales,22,4,Other,1,11099529,4,Male,54,3,2,Healthcare Representative,2,Single,7973,11034,4,Y,No,11,4,4,80,1,13,0,3,25,5,1,6
33,No,Travel_Rarely,1471,Sales,4,4,Life Sciences,1,1354782,3,Female,60,3,2,Sales Representative,3,Divorced,6401,17171,6,Y,Yes,15,3,1,80,1,11,3,2,1,2,6,8
18,No,Travel_Rarely,1499,Research & Development,4,3,Life Sciences,1,2583537,1,Male,74,3,5,Sales Executive,3,Married,5916,4192,4,Y,No,12,3,1,80,1,13,3,2,8,6,0,2
43,No,Travel_Rarely,1499,Sales,4,1,Marketing,1,7731120,4,Male,84,3,2,Research Scientist,3,Divorced,11500,5807,3,Y,Yes,12,3,2,80,1,10,0,4,10,2,3,1
37,No,Travel_Rarely,1483,Research & Development,3,2,Medical,1,6994235,4,Male,63,3,2,Laboratory Technician,4,Single,18568,23733,4,Y,No,16,3,1,80,1,12,3,2,3,9,0,2
21,No,Travel_Rarely,1173,Research & Development,3,3,Medical,1,6238402,3,Female,80,2,2,Research Scientist,1,Married,5455,26999,6,Y,No,14,3,4,80,2,12,3,3,6,1,0,5
28,No,Travel_Rarely,1499,Research & Development,25,3,Life Sciences,1,9024545,4,Male,52,3,1,Research Scientist,1,Single,7873,17381,3,Y,Yes,14,3,3,80,0,11,3,2,6,1,6,7
25,No,Travel_Rarely,1213,Research & Development,4,1,Other,1,10839086,3,Male,93,3,2,Manufacturing Director,3,Single,6729,3472,2,Y,No,15,3,4,80,0,40,3,2,6,6,2,1
18,No,Travel_Rarely,1499,Research & Development,23,2,Technical Degree,1,7377454,3,Female,69,3,2,Research Scientist,3,Single,8850,12794,1,Y,No,13,3,4,80,0,40,3,3,35,6,3,5
33,No,Travel_Frequently,1499,Research & Development,4,2,Life Sciences,1,12337497,4,Male,88,3,3,Research Scientist,3,Single,6756,13470,1,Y,Yes,14,3,3,80,3,5,3,2,4,1,1,1
37,No,Non-Travel,1499,Research & Development,4,2,Medical,1,14052257,3,Female,80,3,2,Sales Executive,3,Single,12699,25378,8,Y,No,17,3,3,80,1,11,2,4,0,3,1,14
22,No,Travel_Rarely,405,Sales,2,4,Technical Degree,1,6345601,2,Male,88,3,1,Sales Executive,2,Married,6833,10887,6,Y,No,12,3,3,80,0,8,3,3,0,4,6,1
44,No,Travel_Rarely,830,Research & Development,20,4,Life Sciences,1,4820647,3,Female,46,3,2,Laboratory Technician,1,Married,4563,14926,1,Y,No,11,3,1,80,0,11,3,3,12,6,0,5
18,No,Travel_Rarely,1499,Sales,7,2,Medical,1,14145901,3,Female,80,3,2,Sales Executive,4,Married,5761,10208,4,Y,Yes,11,3,4,80,0,14,2,2,3,10,1,7
24,No,Travel_Rarely,1151,Research & Development,28,4,Other,1,1223336,1,Female,78,3,1,Manufacturing Director,4,Married,8542,12654,1,Y,No,15,3,2,80,0,12,3,4,6,4,1,2
38,No,Travel_Rarely,919,Research & Development,13,4,Marketing,1,792667,2,Female,60,3,5,Research Scientist,4,Married,7716,15043,4,Y,No,13,3,4,80,1,12,0,4,1,12,1,3
22,Yes,Travel_Rarely,322,Research & Development,5,4,Technical Degree,1,12718269,3,Male,46,3,2,Research Director,2,Single,6741,24900,1,Y,No,13,3,1,80,1,6,2,4,7,6,1,5
20,No,Travel_Rarely,1160,Research & Development,3,3,Life Sciences,1,7219119,1,Female,96,3,1,Laboratory Technician,4,Single,9482,9919,1,Y,No,16,3,4,80,0,9,3,3,1,3,7,0
19,No,Travel_Frequently,1042,Sales,2,2,Life Sciences,1,8497493,3,Male,62,2,5,Laboratory Technician,2,Single,11635,24044,1,Y,No,19,4,3,80,0,10,6,3,6,1,0,2
26,No,Travel_Rarely,1250,Research & Development,4,3,Medical,1,13663224,2,Male,61,2,2,Human Resources,2,Single,14120,2531,3,Y,No,12,3,1,80,1,12,2,2,2,9,0,2
36,No,Travel_Frequently,1275,Research & Development,24,3,Medical,1,1984852,4,Female,100,3,1,Sales Representative,1,Divorced,3950,17921,3,Y,No,13,3,1,80,1,27,2,3,6,18,2,5
28,No,Travel_Rarely,1182,Research & Development,15,1,Medical,1,8239243,2,Female,85,2,2,Manager,4,Married,7745,25108,2,Y,Yes,12,3,1,80,1,14,2,3,5,2,2,4
18,No,Travel_Rarely,464,Research & Development,1,4,Technical Degree,1,12601192,3,Female,84,3,2,Laboratory Technician,2,Married,8660,16858,9,Y,Yes,12,3,3,80,1,12,2,2,7,5,6,3
