age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
30,self-employed,divorced,secondary,yes,306,yes,yes,unknown,15,jun,557,7,250,1,failure,no
38,housemaid,single,unknown,no,521,yes,no,telephone,20,jan,1291,14,146,7,unknown,yes
51,housemaid,divorced,unknown,yes,4897,yes,no,cellular,22,oct,496,1,286,10,unknown,no
54,blue-collar,married,secondary,yes,1079,yes,yes,telephone,7,jul,548,13,-1,1,failure,no
30,management,divorced,secondary,no,1677,yes,no,unknown,30,sep,648,4,185,4,success,no
28,housemaid,divorced,unknown,no,3977,yes,yes,telephone,25,jul,273,4,103,6,failure,no
21,technician,single,unknown,yes,3831,yes,yes,telephone,15,jun,574,2,-1,2,unknown,no
73,unemployed,single,tertiary,no,2552,yes,no,unknown,1,jan,96,4,193,1,failure,no
82,student,single,unknown,no,395,no,yes,cellular,5,mar,870,1,-1,0,other,yes
50,unknown,married,secondary,no,49,no,no,unknown,26,aug,210,2,543,4,unknown,yes
92,blue-collar,married,primary,yes,15949,yes,no,unknown,17,jan,140,14,340,2,unknown,yes
45,management,divorced,unknown,yes,3248,no,no,telephone,19,jun,204,3,129,5,failure,no
39,services,single,primary,no,4285,no,no,cellular,28,aug,993,1,-1,2,unknown,yes
35,student,divorced,secondary,yes,140,yes,yes,unknown,16,feb,540,4,105,10,failure,yes
54,admin.,married,tertiary,no,16355,no,no,unknown,15,oct,384,2,430,0,other,no
48,housemaid,married,unknown,yes,10416,yes,yes,unknown,2,apr,775,7,220,15,unknown,yes
52,retired,married,primary,no,3125,no,no,cellular,12,dec,583,1,71,0,failure,yes
49,entrepreneur,divorced,tertiary,yes,2961,no,yes,cellular,26,oct,229,2,1,4,success,yes
33,entrepreneur,married,secondary,no,18250,no,yes,cellular,11,dec,1208,1,-1,0,unknown,yes
42,management,married,secondary,no,2281,yes,no,cellular,10,jun,1531,4,110,5,unknown,no
76,admin.,divorced,primary,no,1314,no,yes,unknown,3,may,833,6,231,1,unknown,yes
54,technician,divorced,tertiary,no,-179,yes,no,telephone,7,jul,1359,10,163,2,other,yes
23,services,divorced,tertiary,no,6321,no,yes,cellular,15,jun,37,2,-1,4,unknown,yes
50,management,single,tertiary,yes,605,yes,yes,cellular,7,dec,714,2,166,4,failure,yes
30,technician,divorced,unknown,no,1319,yes,no,telephone,4,nov,755,25,182,1,success,no
44,management,married,tertiary,yes,9301,no,no,unknown,3,aug,322,8,188,9,unknown,no
50,services,divorced,secondary,yes,1549,no,no,telephone,27,mar,418,4,286,2,failure,yes
36,entrepreneur,single,unknown,no,243,yes,yes,cellular,21,may,877,9,1,4,unknown,no
53,housemaid,single,primary,yes,1455,no,yes,telephone,25,nov,2447,15,191,3,failure,no
38,admin.,married,unknown,yes,2628,yes,yes,cellular,17,oct,1218,5,97,1,other,no
54,unemployed,married,secondary,no,751,no,no,cellular,30,may,664,9,272,1,success,no
38,unemployed,divorced,tertiary,no,222,no,no,cellular,15,may,203,12,-1,1,unknown,yes
33,blue-collar,married,unknown,no,37,no,no,cellular,3,may,52,2,172,3,failure,yes
55,self-employed,married,secondary,no,5937,no,yes,unknown,11,nov,470,3,130,14,unknown,no
28,admin.,divorced,tertiary,no,8833,no,no,cellular,21,jun,109,3,56,1,unknown,yes
34,entrepreneur,married,tertiary,no,3866,no,no,unknown,28,apr,31,12,183,9,success,yes
70,student,married,primary,yes,305,yes,yes,cellular,20,aug,118,3,84,3,unknown,yes
35,unknown,divorced,primary,no,3298,yes,no,telephone,20,jul,430,5,-1,0,unknown,no
45,admin.,divorced,primary,no,786,no,no,unknown,4,feb,1474,2,86,3,success,no
41,self-employed,married,primary,no,1185,no,no,unknown,15,aug,1906,8,332,11,unknown,yes
41,services,single,secondary,no,6497,yes,yes,unknown,6,jan,267,4,257,0,other,yes
33,services,single,tertiary,no,5725,no,no,cellular,11,oct,285,10,162,0,unknown,yes
62,entrepreneur,married,primary,no,3161,yes,yes,unknown,31,nov,362,10,0,8,other,yes
33,blue-collar,divorced,secondary,yes,2383,yes,no,cellular,21,dec,2142,5,-1,12,success,no
57,entrepreneur,divorced,unknown,no,283,yes,no,telephone,11,sep,1337,10,32,3,success,yes
25,services,single,primary,no,-41,yes,no,cellular,27,jan,1760,2,-1,4,unknown,yes
43,self-employed,married,tertiary,no,351,yes,yes,unknown,26,oct,94,1,309,1,failure,yes
58,self-employed,married,secondary,yes,457,yes,no,cellular,13,nov,1122,3,-1,3,success,no
41,technician,married,primary,yes,-1655,yes,no,unknown,28,aug,163,11,-1,12,unknown,yes
58,housemaid,married,tertiary,no,1276,yes,no,unknown,10,may,581,2,5,4,other,yes
38,unemployed,single,unknown,yes,3929,no,no,telephone,17,feb,428,3,82,1,unknown,yes
31,unemployed,single,primary,no,7544,no,no,unknown,1,apr,657,5,165,1,success,no
50,technician,divorced,secondary,no,1674,no,yes,cellular,18,apr,523,3,220,5,failure,no
52,management,divorced,unknown,yes,8981,no,no,cellular,9,dec,347,1,30,9,other,yes
72,retired,divorced,primary,no,185,yes,no,unknown,16,nov,70,2,57,1,success,yes
43,services,divorced,unknown,yes,4578,no,yes,cellular,17,jul,164,1,360,5,other,no
30,technician,married,primary,no,1117,yes,no,unknown,11,nov,130,1,143,5,other,yes
30,management,single,tertiary,no,-149,yes,no,telephone,20,dec,631,4,49,2,success,no
36,management,married,primary,yes,146,no,no,telephone,12,jul,938,22,563,3,success,yes
22,self-employed,single,secondary,no,190,yes,no,unknown,6,nov,149,4,-1,15,unknown,no
30,retired,single,secondary,no,2246,yes,yes,unknown,3,mar,388,4,-1,0,unknown,yes
37,retired,divorced,secondary,yes,114,yes,no,unknown,10,oct,833,1,231,3,success,no
37,admin.,married,secondary,yes,13648,no,yes,cellular,28,dec,1395,9,165,3,success,yes
27,housemaid,single,primary,yes,1831,yes,no,cellular,17,jun,130,2,71,1,success,yes
31,retired,divorced,secondary,no,387,no,no,unknown,12,aug,1113,1,-1,4,unknown,no
89,services,married,secondary,yes,3625,yes,no,unknown,15,jun,240,9,98,5,success,no
45,management,single,unknown,yes,351,no,yes,telephone,15,aug,718,3,122,1,failure,yes
47,services,single,tertiary,yes,-89,yes,yes,telephone,22,jun,891,2,94,0,other,yes
66,retired,married,unknown,no,2234,no,yes,telephone,25,dec,203,4,66,0,unknown,yes
39,unemployed,divorced,unknown,yes,-142,no,no,telephone,17,apr,1050,12,-1,2,success,yes
56,entrepreneur,married,primary,no,242,no,no,cellular,19,apr,534,13,104,4,success,yes
54,retired,single,secondary,yes,8669,no,no,telephone,4,jun,146,9,92,13,other,yes
39,housemaid,single,unknown,yes,447,yes,yes,unknown,19,may,526,6,104,3,success,yes
45,blue-collar,single,tertiary,no,-170,no,yes,telephone,12,jun,202,2,420,0,unknown,no
38,student,single,tertiary,yes,204,no,yes,cellular,18,may,235,6,-1,3,unknown,no
41,management,married,secondary,no,5181,yes,no,telephone,14,oct,1042,2,437,6,failure,yes
45,retired,divorced,tertiary,yes,3632,no,no,cellular,1,apr,1360,3,73,2,failure,yes
51,entrepreneur,divorced,secondary,no,3650,yes,no,cellular,23,nov,726,6,91,0,other,no
72,management,married,primary,no,3631,no,no,unknown,9,may,1573,4,256,2,unknown,no
35,self-employed,single,secondary,no,6709,yes,yes,unknown,22,feb,552,3,30,6,failure,no
64,student,married,primary,no,2121,no,yes,cellular,6,nov,288,9,0,1,unknown,no
35,blue-collar,married,secondary,yes,1141,no,yes,unknown,21,aug,1015,6,126,1,failure,yes
39,technician,divorced,primary,no,-619,yes,yes,telephone,8,apr,319,3,200,5,unknown,no
26,admin.,married,tertiary,no,842,yes,no,cellular,22,jun,227,12,-1,3,other,yes
41,management,divorced,primary,no,90,yes,yes,telephone,10,aug,1306,5,-1,4,success,no
40,entrepreneur,married,tertiary,no,4542,yes,yes,cellular,17,mar,409,2,129,0,other,yes
38,blue-collar,single,secondary,no,14454,yes,yes,unknown,20,nov,166,6,-1,8,failure,no
62,management,divorced,tertiary,yes,10098,no,yes,cellular,22,may,663,19,397,2,unknown,yes
22,services,married,tertiary,no,1645,yes,no,telephone,18,jul,1474,8,343,1,failure,no
40,entrepreneur,married,unknown,yes,356,no,yes,cellular,23,feb,1731,4,138,0,unknown,yes
47,services,married,primary,no,3706,yes,no,unknown,23,jun,224,3,315,1,failure,no
22,services,married,primary,no,2214,no,no,unknown,10,sep,250,2,0,4,other,yes
25,admin.,married,primary,no,641,no,yes,telephone,28,jul,314,15,-1,4,success,yes
32,technician,divorced,secondary,no,399,no,no,unknown,24,jan,253,1,96,4,unknown,no
34,retired,married,tertiary,yes,187,no,yes,unknown,25,jan,480,8,233,1,success,yes
39,admin.,divorced,unknown,no,5328,no,yes,unknown,18,jun,135,7,160,1,unknown,no
58,management,divorced,unknown,no,9375,yes,yes,telephone,9,aug,229,10,-1,3,success,yes
42,entrepreneur,single,unknown,yes,-1,no,no,telephone,22,may,553,3,-1,1,unknown,yes
22,management,divorced,primary,yes,592,no,no,cellular,28,nov,751,4,75,3,success,yes
53,technician,single,tertiary,yes,-247,yes,no,telephone,5,may,342,4,6,6,other,yes
33,self-employed,single,unknown,yes,17119,yes,no,cellular,28,jul,1208,3,-1,0,unknown,yes
32,services,single,secondary,no,5014,no,no,telephone,6,jun,1037,5,622,6,success,yes
37,housemaid,divorced,secondary,no,2219,yes,yes,cellular,16,feb,191,11,503,0,unknown,no
45,retired,single,secondary,yes,200,no,no,cellular,24,nov,262,4,83,7,success,no
36,unknown,divorced,secondary,no,1615,no,no,cellular,26,sep,877,4,147,0,failure,no
22,unemployed,divorced,unknown,yes,154,yes,no,cellular,12,may,393,5,3,4,unknown,no
37,technician,single,tertiary,yes,176,yes,yes,unknown,7,nov,2052,2,-1,1,unknown,no
31,self-employed,divorced,secondary,no,2168,no,no,cellular,22,jul,151,2,-1,2,other,no
31,self-employed,single,primary,yes,7096,no,yes,telephone,3,nov,310,5,-1,0,unknown,yes
52,technician,single,secondary,no,1078,no,no,cellular,9,mar,111,2,160,11,failure,no
33,student,married,secondary,no,3560,yes,no,cellular,15,jul,1242,4,-1,3,unknown,yes
60,unknown,single,unknown,yes,13501,yes,no,unknown,21,aug,959,14,-1,7,failure,no
64,admin.,single,secondary,no,-1038,no,yes,telephone,23,mar,710,2,1,6,unknown,no
60,self-employed,divorced,secondary,yes,173,yes,yes,telephone,1,aug,1507,2,103,1,other,no
40,admin.,single,secondary,yes,4062,yes,no,unknown,29,apr,1788,3,411,0,success,no
37,housemaid,single,unknown,yes,209,no,yes,telephone,12,jun,550,4,146,2,unknown,no
39,entrepreneur,single,unknown,yes,14330,no,no,unknown,27,nov,341,7,99,7,success,yes
42,entrepreneur,divorced,tertiary,no,1513,no,no,telephone,15,jan,1922,4,323,2,success,yes
60,unemployed,divorced,tertiary,yes,6453,yes,no,unknown,27,jul,117,9,-1,9,unknown,yes
48,services,single,secondary,yes,1385,yes,no,telephone,5,dec,756,4,250,11,failure,yes
33,admin.,divorced,secondary,no,-44,yes,yes,unknown,3,apr,922,29,159,15,unknown,yes
45,admin.,married,unknown,yes,3139,yes,yes,cellular,21,dec,180,12,2,8,other,yes
33,unknown,single,secondary,no,123,no,yes,cellular,20,may,582,4,257,2,success,yes
49,housemaid,married,tertiary,yes,25669,yes,no,cellular,12,jun,144,10,126,3,failure,no
50,housemaid,single,primary,no,14,no,no,cellular,8,jun,148,1,-1,0,unknown,yes
24,retired,single,primary,no,70,yes,yes,unknown,22,jun,157,2,520,1,unknown,no
83,services,divorced,secondary,no,216,no,no,telephone,16,may,299,2,7,3,failure,no
29,unknown,divorced,secondary,no,392,yes,yes,telephone,10,nov,310,14,575,0,failure,yes
58,unemployed,married,secondary,no,1840,yes,no,cellular,19,jan,386,3,-1,0,unknown,yes
52,housemaid,divorced,unknown,yes,-191,yes,no,unknown,10,dec,844,6,187,2,unknown,no
47,blue-collar,single,primary,yes,343,yes,yes,cellular,19,oct,475,3,-1,4,success,yes
37,blue-collar,married,primary,yes,3094,no,no,unknown,10,dec,556,4,507,3,other,yes
45,self-employed,divorced,secondary,no,36313,no,no,telephone,27,sep,482,7,-1,2,unknown,yes
24,retired,divorced,secondary,yes,19155,no,no,cellular,11,aug,990,7,71,1,unknown,no
77,technician,single,secondary,yes,6963,yes,no,unknown,13,nov,131,5,19,2,unknown,yes
45,blue-collar,single,unknown,no,587,yes,no,cellular,23,sep,324,1,192,3,success,yes
34,entrepreneur,divorced,secondary,no,3091,yes,yes,unknown,20,jul,1581,15,84,1,failure,no
32,student,single,primary,no,-1728,yes,no,cellular,27,aug,128,4,92,4,success,yes
31,retired,single,primary,no,14028,no,no,unknown,13,sep,611,2,107,1,failure,no
25,admin.,divorced,primary,no,2204,no,yes,cellular,4,jul,323,1,363,1,failure,no
52,technician,married,tertiary,no,2129,yes,yes,telephone,3,jun,148,6,156,4,other,no
47,technician,married,unknown,no,3564,no,yes,cellular,17,jun,32,6,111,2,other,yes
57,management,married,tertiary,no,5721,no,no,cellular,27,may,206,16,176,0,unknown,no
31,housemaid,divorced,primary,no,1180,yes,yes,telephone,16,mar,1218,8,86,11,unknown,no
27,unknown,married,unknown,no,1578,no,yes,unknown,13,nov,186,1,-1,4,failure,no
43,blue-collar,single,tertiary,no,1371,yes,yes,cellular,17,oct,43,2,157,1,success,no
24,entrepreneur,single,primary,no,2993,yes,no,cellular,15,jun,702,3,186,3,success,no
28,entrepreneur,married,tertiary,yes,4467,yes,yes,telephone,17,mar,1061,4,328,1,other,yes
55,entrepreneur,divorced,tertiary,no,139,no,no,unknown,21,dec,165,3,7,3,unknown,no
69,retired,married,secondary,no,2755,yes,no,telephone,13,jul,447,5,100,0,unknown,yes
54,student,divorced,tertiary,no,9203,no,yes,cellular,29,jul,1252,2,550,3,failure,yes
38,technician,married,tertiary,no,6709,no,yes,telephone,23,sep,139,5,-1,3,other,no
52,blue-collar,divorced,tertiary,yes,8899,no,yes,cellular,12,aug,1019,2,-1,5,other,yes
42,management,single,tertiary,yes,377,yes,no,cellular,20,may,1999,4,70,3,success,no
62,entrepreneur,divorced,unknown,yes,2309,yes,no,telephone,20,aug,1234,3,281,3,unknown,yes
76,housemaid,married,primary,yes,4126,yes,yes,unknown,14,nov,147,1,88,0,failure,no
53,technician,single,tertiary,no,262,no,yes,cellular,17,jan,241,2,-1,2,other,yes
29,services,married,unknown,yes,428,yes,no,cellular,25,apr,894,3,156,3,other,no
44,self-employed,married,tertiary,yes,-249,no,yes,telephone,27,may,2084,4,56,1,failure,yes
36,blue-collar,single,unknown,no,-2,yes,no,unknown,12,sep,1090,17,66,4,failure,yes
25,unemployed,married,tertiary,no,5628,yes,yes,telephone,19,nov,481,9,768,15,other,no
49,retired,married,primary,no,7413,yes,no,cellular,19,jun,161,1,167,3,unknown,yes
47,management,single,secondary,yes,-456,yes,yes,cellular,28,oct,517,3,159,10,unknown,no
25,retired,single,primary,no,366,no,yes,cellular,6,nov,1292,5,84,0,success,yes
42,unknown,single,primary,no,839,yes,no,cellular,19,oct,569,14,48,1,success,yes
50,student,single,tertiary,no,1832,no,no,cellular,3,sep,286,1,11,2,failure,yes
52,housemaid,divorced,tertiary,no,5265,yes,no,cellular,1,jun,431,3,16,1,success,yes
56,retired,single,tertiary,no,3554,no,yes,telephone,14,feb,78,3,515,7,other,yes
35,unemployed,married,primary,yes,1013,yes,yes,cellular,8,jan,1580,1,92,3,success,no
28,unemployed,married,tertiary,yes,3107,no,no,cellular,8,jul,369,2,71,0,other,yes
53,admin.,single,secondary,no,1478,yes,no,telephone,7,oct,965,4,-1,9,unknown,no
35,blue-collar,divorced,unknown,no,5757,no,no,cellular,5,jan,191,4,-1,13,unknown,yes
57,admin.,single,secondary,no,3407,yes,no,cellular,16,jun,1700,3,163,4,unknown,yes
30,blue-collar,married,unknown,no,1991,no,no,unknown,13,feb,755,5,76,2,unknown,yes
53,technician,married,secondary,no,7105,yes,yes,telephone,27,mar,224,2,73,1,failure,no
21,technician,single,tertiary,no,1358,yes,no,cellular,9,jun,567,4,136,3,failure,no
58,management,married,primary,yes,2217,no,no,unknown,14,may,477,9,146,3,failure,no
43,services,single,secondary,yes,2760,yes,no,unknown,12,jun,272,1,275,1,other,yes
35,self-employed,married,secondary,yes,1309,yes,no,cellular,9,jun,615,10,147,3,success,yes
56,management,single,unknown,no,173,yes,yes,telephone,10,nov,540,2,78,7,unknown,yes
31,unemployed,single,tertiary,no,2066,yes,no,cellular,19,aug,513,2,-1,3,failure,yes
37,blue-collar,married,primary,yes,2479,yes,yes,telephone,22,sep,47,3,114,2,unknown,yes
45,services,single,primary,no,963,no,no,cellular,22,jan,253,4,457,3,unknown,yes
39,retired,divorced,tertiary,no,100,no,yes,unknown,23,sep,600,11,-1,1,success,yes
