crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
1.57038,1.5,0.46,0,0.5034,5.911,98.6,8.4454,24,369,20.0,378.88,15.64,17.7
1.05044,0.7,17.73,0,0.385,5.545,100.0,2.4544,5,363,12.6,379.03,22.19,50.0
2.29609,1.9,17.96,0,0.385,5.464,100.0,3.139,1,482,17.7,396.9,14.95,16.9
0.98923,1.7,18.38,0,0.3967,5.807,95.8,3.7259,5,208,16.2,376.85,13.11,15.3
31.80225,2.6,13.27,1,0.4659,5.686,84.6,4.4907,7,480,16.6,396.9,11.95,31.4
0.00632,4.3,4.8,0,0.5881,6.277,98.3,5.1868,2,226,19.0,273.8,10.61,46.9
1.07958,1.2,0.46,0,0.4396,4.993,29.7,11.6626,4,355,12.6,395.11,10.4,22.3
0.00632,100.0,0.8,1,0.385,6.485,98.8,9.588,7,283,18.5,386.97,25.99,18.8
2.00911,1.4,14.57,0,0.4011,6.597,87.2,10.3879,3,250,15.8,95.2,23.6,50.0
1.47371,2.9,18.78,0,0.3932,5.896,100.0,2.0474,3,256,15.5,396.9,9.33,38.7
1.03468,4.1,18.34,0,0.6807,6.338,100.0,11.4761,4,365,12.6,384.16,13.86,50.0
0.00632,2.9,0.46,0,0.4927,5.428,100.0,6.838,7,351,13.6,309.23,14.81,18.3
1.21509,2.3,0.46,0,0.3883,5.538,89.0,8.8402,4,310,19.9,382.51,21.35,32.8
0.04128,0.0,15.04,0,0.5142,6.319,100.0,5.673,24,266,19.6,387.3,8.01,11.2
0.00632,3.3,16.75,0,0.385,6.736,100.0,5.6779,8,313,17.2,381.28,12.56,20.9
0.00632,0.8,15.34,0,0.3892,5.154,100.0,3.6298,5,335,16.5,396.9,2.46,36.6
8.13169,0.8,17.55,0,0.3914,5.411,100.0,10.9326,6,283,16.4,380.17,18.25,20.9
0.82365,36.9,0.46,0,0.3935,6.025,41.0,3.3538,5,453,12.6,345.91,11.06,50.0
18.84113,0.0,15.06,0,0.5892,6.482,80.8,5.2068,5,457,18.6,396.9,11.96,50.0
0.99364,0.4,16.47,0,0.4621,5.68,52.1,2.8037,4,330,17.5,391.62,12.03,50.0
0.00632,3.1,16.85,0,0.4081,5.887,97.2,6.5869,4,400,19.3,378.04,13.22,28.1
1.48112,0.1,18.19,0,0.6028,6.026,86.2,6.8361,1,478,14.9,0.32,24.52,35.9
0.4132,2.9,11.43,0,0.3947,5.729,84.8,4.5628,7,406,17.6,396.9,11.6,40.4
0.98808,3.3,7.01,0,0.5097,5.623,46.8,3.8899,24,711,12.6,301.85,23.99,26.5
1.11264,1.7,16.18,0,0.385,6.592,97.0,3.8152,2,378,18.4,74.04,11.54,26.4
2.17042,3.5,16.41,0,0.3925,5.608,86.4,1.5208,3,316,20.2,391.97,9.52,43.9
1.19648,1.7,18.99,0,0.4373,5.48,95.3,7.7088,6,345,18.7,384.29,9.92,24.8
0.00632,1.0,0.46,1,0.69,5.352,97.5,4.8458,5,367,16.9,395.98,14.09,46.8
1.44106,4.4,8.34,0,0.5381,5.915,54.6,4.4061,5,349,16.0,382.07,9.06,24.3
1.31926,4.2,16.62,1,0.385,6.179,70.5,2.4512,5,293,20.6,387.48,22.48,41.6
6.1307,3.6,0.91,0,0.4528,5.649,100.0,3.038,5,289,16.2,396.46,11.31,37.1
1.61931,2.4,0.46,0,0.4298,5.976,47.1,9.9149,5,491,15.6,321.05,13.26,23.8
1.07939,4.1,8.33,0,0.3902,7.934,100.0,6.131,4,399,19.1,396.64,14.57,26.7
1.22712,1.1,15.62,1,0.6629,5.325,60.9,7.8806,4,395,17.2,392.92,6.27,25.6
8.72274,1.8,10.72,0,0.638,5.397,18.7,10.1996,4,401,13.0,298.48,37.97,50.0
1.59155,28.9,8.64,0,0.385,6.784,65.4,9.378,2,353,15.5,390.53,25.04,20.3
0.41983,1.9,0.46,0,0.6319,5.67,100.0,5.1655,5,216,16.6,388.16,18.83,32.7
0.77171,3.0,0.46,0,0.4434,5.192,96.1,3.5572,4,388,15.8,396.9,12.99,41.8
1.07439,3.0,14.61,0,0.4193,5.192,25.3,7.6729,6,629,17.2,396.9,13.37,24.8
0.91439,2.9,2.48,0,0.5363,5.627,100.0,2.647,3,270,18.7,396.9,16.69,27.6
0.71519,4.2,1.59,0,0.5412,5.3,100.0,3.723,4,290,12.6,396.9,11.78,18.4
0.00632,1.2,17.26,0,0.633,5.934,100.0,5.0218,4,361,12.6,376.94,11.28,50.0
2.04808,3.2,3.3,1,0.4591,5.947,62.6,4.3252,4,439,16.1,396.9,11.49,23.8
17.8676,4.9,18.42,0,0.385,6.732,100.0,7.6423,5,422,16.6,376.0,5.89,32.5
0.74065,0.0,3.73,1,0.6575,6.026,25.8,11.2803,1,417,13.1,364.36,12.4,29.8
0.69104,0.0,0.46,0,0.385,6.122,91.3,8.6105,2,347,12.6,396.9,27.99,27.3
2.14873,2.7,18.95,0,0.385,5.802,75.8,4.836,2,387,19.4,376.27,11.01,42.8
0.62308,4.3,18.27,1,0.385,5.996,82.3,6.6528,24,324,16.3,344.37,12.06,25.3
0.00632,0.0,2.98,0,0.4203,6.502,99.8,2.3163,24,368,15.8,395.7,19.76,21.2
0.85092,1.1,16.93,0,0.385,6.903,92.0,8.7546,4,711,19.2,89.89,20.84,25.7
2.2383,3.4,7.05,0,0.385,6.225,2.9,11.1634,5,205,14.9,386.66,10.5,27.9
1.22629,3.6,26.21,0,0.6063,5.827,84.1,7.0393,3,642,17.6,387.98,25.1,40.6
0.00632,2.6,3.25,1,0.7703,5.407,96.7,4.1997,24,398,16.3,298.97,11.9,22.4
1.52221,2.8,0.49,0,0.385,5.396,100.0,6.8436,3,382,17.0,319.79,12.41,50.0
1.87661,2.0,9.76,0,0.4208,5.84,47.6,9.7539,3,671,12.6,396.9,8.33,21.7
0.88312,100.0,15.39,1,0.4618,5.223,28.6,4.9739,2,685,12.6,308.52,1.97,26.0
2.36319,2.3,0.46,0,0.385,5.276,90.8,4.616,24,272,12.6,375.38,11.26,24.0
0.65527,1.0,2.98,0,0.6438,6.805,88.0,4.6839,24,405,15.0,396.9,16.07,45.3
9.84719,0.3,13.65,0,0.385,5.159,100.0,4.4366,24,339,12.9,348.23,9.62,28.1
2.08615,3.6,0.96,0,0.385,5.209,79.2,3.8235,6,365,16.2,299.15,8.66,28.1
1.33727,0.0,13.38,0,0.385,6.414,98.8,4.9564,6,251,12.6,367.95,7.78,38.3
1.83643,4.5,15.77,1,0.385,5.982,70.0,1.2132,1,356,19.5,396.9,23.6,25.4
1.06892,3.3,4.52,0,0.5095,5.243,100.0,3.2523,5,426,19.5,282.13,13.12,50.0
0.81701,0.0,9.51,0,0.4881,5.066,85.1,3.2591,3,478,20.2,326.76,26.28,36.9
13.74749,3.5,0.46,0,0.385,5.919,100.0,3.6404,6,350,18.5,392.89,5.87,23.6
1.70916,2.6,0.46,0,0.385,6.582,89.2,5.1923,4,312,19.7,346.75,4.06,32.9
