match_no,date,stage,venue,batting_team,bowling_team,innings,over,striker,bowler,runs_of_bat,extras,wide,legbyes,byes,noballs,wicket_type,player_dismissed,fielder
1,"Mar 29, 2026",League stage,"Eden Gardens, Kolkata",CSK,LSG,2,7.5,Heinrich Klaasen,Brijesh Sharma,0,0,0,1,0,0,caught,,
6,"Mar 28, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC,LSG,1,0.1,Sameer Rizvi,Anshul Kamboj,0,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Wankhede Stadium, Mumbai",SRH,RR,1,11.6,Rajat Patidar,Varun Chakaravarthy,0,0,0,0,0,0,,,
2,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",SRH,GT,2,11.3,Travis Head,Kartik Tyagi,1,0,1,0,0,0,,,Rahul
2,"Mar 28, 2026",League stage,"Wankhede Stadium, Mumbai",GT,DC,2,13.6,Glenn Phillips,Krunal Pandya,0,0,0,0,0,0,caught,,
2,"Mar 29, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",PBKS,LSG,1,6.8,Mukul Choudhary,Mohammed Siraj,0,0,0,0,0,0,,,
2,"Mar 28, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,PBKS,2,1.3,Sunil Narine,Kartik Tyagi,0,0,0,0,0,0,,,
4,"Mar 28, 2026",League stage,"Eden Gardens, Kolkata",RR,LSG,2,0.9,Sameer Rizvi,AM Ghazanfar,3,0,0,0,0,0,,,
1,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,MI,2,2.9,Prabhsimran Singh,Jaydev Unadkat,0,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",SRH,CSK,1,0.1,Salil Arora,Jacob Duffy,2,0,0,0,0,0,,Shivang Kumar,
6,"Mar 31, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",SRH,SRH,2,9.5,Priyansh Arya,Natarajan,0,0,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,GT,2,0.1,Devdutt Padikkal,David Payne,1,0,0,0,0,0,caught,,
2,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",GT,RCB,2,3.4,Aiden Markram,Mohammed Shami,0,0,0,0,0,0,,,
4,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",CSK,RR,2,0.1,Devdutt Padikkal,Anrich Nortje,0,0,0,0,0,0,,,
1,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,KKR,1,7.5,Sameer Rizvi,Anrich Nortje,1,0,1,0,0,0,,,
4,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,SRH,2,11.3,Sameer Rizvi,Mukesh Kumar,0,0,0,0,0,0,,,
6,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,RR,1,0.1,Pathum Nissanka,Jacob Duffy,0,0,0,0,0,0,,,
5,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,RR,1,0.1,Phil Salt,Anrich Nortje,6,0,0,0,0,0,,Mitchell Marsh,
3,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",PBKS,RCB,2,0.1,Marco Jansen,Matt Henry,0,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,KKR,1,0.1,Rohit Sharma,Khaleel Ahmed,0,0,0,0,0,0,caught,,Marco Jansen
2,"Mar 28, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",RCB,KKR,1,15.2,Rinku Singh,Brijesh Sharma,0,0,0,1,0,0,,,
5,"Mar 30, 2026",League stage,"Wankhede Stadium, Mumbai",DC,RR,2,0.5,Heinrich Klaasen,Aiden Markram,6,1,0,0,0,0,,,
4,"Apr 01, 2026",League stage,"Wankhede Stadium, Mumbai",PBKS,SRH,1,4.0,Ryan Rickelton,Abhinandan Singh,0,0,0,0,0,0,,,
6,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,MI,2,11.9,Cameron Green,Varun Chakaravarthy,4,0,0,0,0,0,,,
2,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",PBKS,CSK,2,0.1,Devdutt Padikkal,AM Ghazanfar,0,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,GT,1,6.3,Jos Buttler,Xavier Bartlett,0,0,0,0,0,0,,Shreyas Iyer,
2,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",RCB,KKR,2,13.4,Glenn Phillips,David Payne,6,0,0,0,0,0,,,
2,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",MI,RCB,2,0.1,Aniket Verma,Mukesh Kumar,4,1,0,0,0,0,,,
4,"Mar 29, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,SRH,2,8.7,Travis Head,Vaibhav Arora,0,0,1,0,0,0,caught,,
4,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",LSG,MI,2,2.3,Rohit Sharma,Eshan Malinga,0,0,1,0,0,0,,,
6,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,PBKS,2,0.1,Kartik Sharma,Harshal Patel,1,1,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",DC,KKR,2,14.0,Finn Allen,Vaibhav Arora,0,4,1,0,0,0,,,Harsh Dubey
2,"Apr 01, 2026",League stage,"Eden Gardens, Kolkata",PBKS,RR,1,11.0,Pathum Nissanka,Brijesh Sharma,0,0,0,1,0,0,,,
6,"Mar 28, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC,SRH,1,9.4,Yashasvi Jaiswal,Vaibhav Arora,0,1,0,0,0,0,,,
3,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",LSG,GT,1,4.3,Shahrukh Khan,Vaibhav Arora,0,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",RCB,PBKS,2,1.1,Rinku Singh,Vaibhav Arora,1,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",RCB,SRH,2,4.1,Prabhsimran Singh,Kartik Tyagi,1,0,0,1,0,0,,,
3,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,DC,2,1.5,Jamie Overton,Romario Shepherd,1,5,0,0,0,0,,,
3,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",GT,PBKS,1,0.4,Matt Henry,Nandre Burger,2,0,0,0,0,0,,,
2,"Mar 28, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",LSG,DC,1,13.1,Prabhsimran Singh,Ashok Sharma,0,0,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",SRH,MI,2,0.1,Ayush Badoni,Sandeep Sharma,0,0,0,0,0,0,caught,,
3,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",SRH,SRH,1,11.5,Virat Kohli,Jofra Archer,0,4,0,0,0,0,caught,,
3,"Mar 28, 2026",League stage,"Wankhede Stadium, Mumbai",RR,SRH,2,12.7,Rishabh Pant,Mohsin Khan,6,0,0,0,0,0,,,
3,"Apr 01, 2026",League stage,"Wankhede Stadium, Mumbai",LSG,RCB,1,0.1,Rajat Patidar,Jaydev Unadkat,0,0,0,0,0,0,caught,,Anukul Roy
1,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,CSK,2,12.7,Tristan Stubbs,Anshul Kamboj,0,0,0,0,0,0,,,
6,"Mar 28, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",RCB,KKR,1,12.0,Abdul Samad,Prince Yadav,0,0,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",MI,MI,2,10.9,Sarfaraz Khan,Shivang Kumar,1,2,0,0,0,0,,,
1,"Mar 30, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",PBKS,RR,2,11.2,Rohit Sharma,Aiden Markram,0,0,0,0,0,0,caught,,
4,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",LSG,LSG,2,14.7,Shreyas Iyer,Prasidh Krishna,0,0,0,0,0,0,,,
6,"Mar 31, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,KKR,1,12.4,Vaibhav Sooryavanshi,Natarajan,1,0,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,PBKS,1,0.1,Tristan Stubbs,Marco Jansen,1,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,RR,2,1.8,Rinku Singh,Hardik Pandya,0,0,0,1,0,0,,,
4,"Mar 30, 2026",League stage,"Wankhede Stadium, Mumbai",SRH,CSK,2,3.7,Noor Ahmad,Mohammed Shami,0,4,0,0,0,0,caught,,
1,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,RCB,1,13.1,Angkrish Raghuvanshi,Romario Shepherd,0,0,0,0,0,0,,,
1,"Mar 30, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,KKR,2,7.1,Sanju Samson,Matt Henry,4,0,0,0,0,0,,,
3,"Mar 31, 2026",League stage,"Wankhede Stadium, Mumbai",MI,RCB,2,12.1,Aniket Verma,Khaleel Ahmed,1,0,0,0,0,0,,,
4,"Apr 02, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",DC,GT,1,1.8,Nitish Reddy,Blessing Muzarabani,1,0,0,0,0,0,,,
2,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",MI,KKR,2,0.4,Shreyas Iyer,Romario Shepherd,0,0,0,0,0,0,,,
4,"Mar 29, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,SRH,2,14.4,Aiden Markram,Ashok Sharma,4,0,0,0,0,0,,,
6,"Mar 29, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,GT,1,11.9,Tilak Varma,Vaibhav Arora,4,1,0,0,1,0,caught,,
5,"Mar 29, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",LSG,MI,2,12.9,Angkrish Raghuvanshi,Jacob Duffy,0,0,0,0,0,0,,,
4,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RCB,LSG,1,0.1,Tristan Stubbs,Jaydev Unadkat,4,4,0,0,0,0,,,
5,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,PBKS,1,1.9,Rohit Sharma,Anukul Roy,0,0,0,0,0,0,,,
5,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KKR,MI,1,0.1,Rahul Tewatia,Khaleel Ahmed,0,0,1,0,0,0,,Ajinkya Rahane,
2,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RCB,GT,2,16.0,Prabhsimran Singh,Jaydev Unadkat,0,0,0,0,0,0,,,
6,"Mar 28, 2026",League stage,"Wankhede Stadium, Mumbai",CSK,PBKS,1,0.8,Angkrish Raghuvanshi,Shahbaz Ahmed,0,0,0,0,0,0,,,
2,"Mar 31, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RCB,CSK,2,0.1,Nitish Reddy,Jaydev Unadkat,1,0,0,0,0,0,,,
3,"Mar 28, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",PBKS,SRH,2,3.1,Heinrich Klaasen,Prasidh Krishna,2,0,0,0,0,0,caught,,
1,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",RCB,RR,2,0.1,Phil Salt,Kartik Tyagi,4,0,0,0,0,0,,,
3,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",PBKS,RR,2,0.1,Nitish Rana,Kartik Tyagi,4,0,0,0,0,0,,,
4,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",LSG,SRH,1,11.8,Rishabh Pant,Eshan Malinga,6,0,0,0,0,0,caught,Tilak Varma,
3,"Mar 30, 2026",League stage,"Eden Gardens, Kolkata",LSG,LSG,1,9.3,Sunil Narine,Marco Jansen,1,0,0,0,0,1,,,
3,"Apr 01, 2026",League stage,"Wankhede Stadium, Mumbai",RCB,GT,2,0.1,Devdutt Padikkal,AM Ghazanfar,0,0,0,0,0,0,,,
2,"Mar 28, 2026",League stage,"Eden Gardens, Kolkata",LSG,KKR,2,0.1,Cooper Connolly,Anrich Nortje,0,0,0,0,0,0,,,
5,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,PBKS,1,10.8,Angkrish Raghuvanshi,Mukesh Kumar,1,0,0,0,0,0,caught,,
2,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,KKR,2,4.0,Jamie Overton,Mukesh Kumar,0,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,KKR,2,7.5,Yashasvi Jaiswal,Mohammed Shami,4,0,0,0,0,0,,,
6,"Apr 01, 2026",League stage,"Wankhede Stadium, Mumbai",RCB,SRH,2,8.0,Ishan Kishan,Vipraj Nigam,0,0,0,0,0,0,,,
6,"Apr 01, 2026",League stage,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",CSK,SRH,1,0.1,Shreyas Iyer,Jasprit Bumrah,0,0,0,0,0,0,caught,,
2,"Apr 01, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,PBKS,1,2.0,Sameer Rizvi,Jaydev Unadkat,6,0,0,0,0,0,,,
4,"Mar 28, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",PBKS,GT,1,0.1,Finn Allen,Prasidh Krishna,0,1,0,0,0,0,,,
3,"Mar 31, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",CSK,RR,2,12.1,Hardik Pandya,Abhinandan Singh,0,0,0,0,0,0,caught,,
3,"Mar 31, 2026",League stage,"Eden Gardens, Kolkata",RCB,PBKS,1,0.1,Virat Kohli,Vaibhav Arora,0,0,0,0,0,0,,,
2,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",CSK,GT,1,3.9,Shashank Singh,Vaibhav Arora,0,0,0,0,0,0,caught,,
5,"Mar 29, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",KKR,RCB,1,18.4,Devdutt Padikkal,Washington Sundar,1,1,0,0,0,0,,,
1,"Apr 02, 2026",League stage,"Wankhede Stadium, Mumbai",KKR,KKR,1,9.4,Marcus Stoinis,Prasidh Krishna,1,0,0,0,0,0,,,
4,"Mar 31, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",CSK,GT,1,0.1,Nehal Wadhera,Sandeep Sharma,1,1,0,0,0,0,,,
1,"Apr 01, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",SRH,GT,2,6.5,Angkrish Raghuvanshi,Mohammed Shami,1,0,0,0,0,0,,,
4,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",KKR,SRH,1,3.0,Ramandeep Singh,Matthew Short,0,0,1,0,0,0,caught,Salil Arora,
2,"Mar 30, 2026",League stage,"Barsapara Cricket Stadium, Guwahati",KKR,SRH,2,11.6,Sanju Samson,Jofra Archer,1,0,0,0,0,0,caught,,
1,"Mar 31, 2026",League stage,"Wankhede Stadium, Mumbai",RCB,PBKS,1,0.1,Tristan Stubbs,Romario Shepherd,0,0,0,0,0,0,,,
4,"Mar 30, 2026",League stage,"M.Chinnaswamy Stadium, Bengaluru",KKR,KKR,1,0.1,Matt Henry,David Payne,4,0,0,0,0,0,,,
4,"Mar 30, 2026",League stage,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, New Chandigarh",MI,KKR,2,11.7,Shubman Gill,Kartik Tyagi,0,0,0,0,0,0,,,
