Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
22,No,Travel_Frequently,102,Research & Development,3,2,Medical,1,13859660,2,Male,87,4,3,Manager,1,Single,2257,22001,3,Y,No,12,4,2,80,0,0,2,3,18,6,15,2
43,Yes,Travel_Rarely,1499,Sales,3,3,Life Sciences,1,10827474,4,Female,85,3,1,Sales Executive,3,Single,3421,8303,8,Y,No,14,3,4,80,0,13,3,3,30,0,1,7
24,No,Travel_Rarely,540,Research & Development,1,3,Marketing,1,1622532,4,Male,99,3,2,Sales Executive,2,Married,2760,16893,9,Y,No,21,3,4,80,0,0,3,1,12,7,15,0
27,No,Travel_Rarely,1499,Research & Development,12,3,Medical,1,3071196,2,Male,50,2,1,Sales Executive,2,Divorced,3937,2808,6,Y,No,13,3,3,80,1,0,2,3,1,8,0,7
45,No,Travel_Frequently,1009,Research & Development,2,4,Other,1,13477013,2,Female,100,2,1,Sales Executive,3,Married,8656,2094,1,Y,No,11,3,1,80,1,6,2,3,8,0,0,6
43,No,Travel_Rarely,1499,Research & Development,14,1,Medical,1,5500864,2,Male,97,4,2,Manufacturing Director,4,Married,7205,9639,5,Y,No,16,3,4,80,3,0,3,3,7,0,5,4
46,No,Travel_Rarely,1324,Research & Development,4,3,Medical,1,8739423,3,Male,57,2,3,Laboratory Technician,4,Single,4044,5355,5,Y,No,22,3,1,80,1,10,2,3,8,7,5,1
50,No,Travel_Rarely,501,Research & Development,10,4,Marketing,1,13474416,1,Male,89,4,1,Healthcare Representative,3,Divorced,3785,17211,1,Y,No,21,3,3,80,0,7,2,3,7,10,1,0
50,No,Travel_Rarely,1258,Sales,10,3,Medical,1,5601941,3,Female,66,3,2,Research Scientist,2,Married,3724,6304,0,Y,No,12,3,3,80,0,8,2,1,13,6,0,8
41,No,Travel_Rarely,1281,Research & Development,15,3,Medical,1,11208626,2,Male,85,2,5,Research Scientist,2,Single,3402,2094,3,Y,No,20,3,2,80,0,10,6,3,8,5,1,11
39,Yes,Travel_Rarely,809,Research & Development,4,2,Life Sciences,1,14618130,2,Male,90,3,1,Research Scientist,4,Married,4713,3206,6,Y,Yes,21,3,3,80,1,0,6,3,5,2,1,3
25,No,Non-Travel,1044,Research & Development,11,3,Life Sciences,1,9367605,1,Male,93,1,2,Healthcare Representative,3,Married,5191,21986,3,Y,No,15,3,3,80,1,19,2,3,7,2,2,2
21,Yes,Travel_Rarely,1200,Research & Development,11,2,Medical,1,8484551,3,Female,100,3,2,Manufacturing Director,4,Divorced,8520,12468,5,Y,No,12,4,4,80,1,5,3,3,8,8,8,6
49,No,Travel_Rarely,1321,Sales,15,3,Medical,1,430584,1,Male,40,2,1,Manager,1,Married,2199,8125,7,Y,Yes,13,3,2,80,0,19,2,2,9,0,1,1
43,No,Travel_Frequently,496,Research & Development,22,3,Marketing,1,7083096,4,Female,82,4,1,Healthcare Representative,3,Married,10476,9545,3,Y,Yes,18,3,1,80,2,0,6,3,5,3,0,5
18,No,Travel_Rarely,440,Research & Development,25,5,Technical Degree,1,9750392,3,Male,100,3,5,Laboratory Technician,2,Divorced,3755,18954,6,Y,Yes,19,3,4,80,2,6,3,3,8,2,1,7
36,No,Travel_Rarely,211,Research & Development,6,4,Medical,1,2482635,2,Male,61,1,2,Manufacturing Director,4,Married,16316,12669,5,Y,No,16,4,1,80,2,7,3,3,7,6,1,9
19,Yes,Travel_Rarely,217,Human Resources,5,4,Life Sciences,1,221424,3,Male,76,3,1,Sales Representative,2,Married,1822,11173,1,Y,Yes,13,4,4,80,1,4,5,3,6,2,0,0
18,No,Travel_Frequently,1257,Research & Development,29,4,Medical,1,14833524,4,Female,73,3,2,Laboratory Technician,2,Divorced,3930,2094,1,Y,No,15,3,3,80,0,0,2,3,10,6,1,3
43,Yes,Travel_Frequently,1444,Research & Development,27,2,Technical Degree,1,6129504,4,Female,94,4,1,Manager,1,Married,3264,2094,3,Y,No,15,3,4,80,1,0,6,3,8,7,15,6
43,No,Travel_Rarely,1165,Research & Development,10,1,Medical,1,8767128,1,Female,46,3,3,Laboratory Technician,4,Single,3010,13800,1,Y,No,22,3,4,80,0,10,6,2,6,7,7,0
42,No,Travel_Rarely,498,Research & Development,29,4,Medical,1,6750555,2,Female,66,3,3,Manufacturing Director,2,Divorced,3731,12903,4,Y,Yes,12,3,3,80,1,5,3,2,4,2,0,2
38,No,Travel_Frequently,1258,Sales,3,4,Technical Degree,1,12448620,4,Male,81,3,1,Sales Executive,1,Single,2607,9940,3,Y,No,14,3,2,80,1,0,2,3,6,3,8,7
47,No,Travel_Rarely,963,Research & Development,18,4,Technical Degree,1,11099529,4,Male,82,3,2,Healthcare Representative,1,Single,4920,10332,4,Y,No,13,4,4,80,0,7,0,3,37,3,1,2
44,No,Travel_Rarely,895,Sales,5,2,Life Sciences,1,1354782,3,Female,44,3,2,Sales Representative,4,Divorced,2228,11888,6,Y,Yes,22,3,1,80,1,7,3,3,8,0,0,10
26,No,Travel_Rarely,953,Research & Development,4,3,Life Sciences,1,2583537,1,Female,97,3,5,Sales Executive,3,Married,2261,6152,2,Y,No,15,3,1,80,1,2,0,2,10,3,0,2
39,No,Non-Travel,527,Sales,4,1,Marketing,1,7731120,4,Male,86,3,1,Laboratory Technician,2,Divorced,9756,2094,3,Y,Yes,12,3,2,80,1,0,0,3,12,2,0,0
43,No,Travel_Rarely,227,Research & Development,6,2,Life Sciences,1,6994235,1,Male,50,3,2,Sales Executive,4,Single,11086,20706,2,Y,No,18,3,1,80,1,8,3,3,4,0,0,8
26,No,Travel_Rarely,1499,Research & Development,3,3,Life Sciences,1,6238402,3,Female,48,2,2,Research Scientist,1,Married,6438,22222,6,Y,No,17,3,4,80,2,0,2,3,6,0,1,6
22,No,Travel_Rarely,136,Research & Development,13,3,Life Sciences,1,9024545,4,Male,53,4,1,Research Scientist,1,Single,3486,2094,3,Y,Yes,13,3,3,80,0,0,3,2,2,0,6,7
43,No,Travel_Rarely,366,Research & Development,15,1,Other,1,10839086,3,Male,55,3,2,Manufacturing Director,3,Single,6059,2586,2,Y,No,18,3,4,80,0,8,2,2,5,2,3,0
27,No,Travel_Rarely,1192,Research & Development,27,3,Technical Degree,1,7377454,2,Female,100,2,2,Research Scientist,3,Single,4158,4839,1,Y,No,16,3,4,80,0,0,2,3,2,3,0,9
18,No,Travel_Frequently,1499,Sales,4,2,Medical,1,12337497,4,Male,100,3,3,Research Scientist,3,Single,3211,6375,1,Y,Yes,15,3,3,80,1,1,3,3,7,0,1,1
32,No,Non-Travel,323,Research & Development,4,2,Medical,1,14052257,4,Female,98,3,2,Sales Executive,2,Single,2108,6847,8,Y,No,18,3,3,80,1,2,2,4,3,2,1,12
33,No,Travel_Rarely,336,Sales,4,3,Life Sciences,1,6345601,2,Male,78,3,1,Sales Executive,2,Married,2726,4302,9,Y,No,12,4,4,80,0,0,3,3,8,0,8,0
52,No,Travel_Rarely,684,Sales,24,3,Life Sciences,1,4820647,3,Male,73,3,2,Laboratory Technician,2,Married,4177,2094,1,Y,No,13,3,1,80,0,7,5,3,10,1,0,3
28,No,Travel_Rarely,510,Sales,3,2,Medical,1,14145901,3,Female,100,3,2,Laboratory Technician,4,Married,3792,2094,6,Y,Yes,12,3,4,80,2,1,2,3,8,7,1,8
34,No,Travel_Rarely,427,Research & Development,10,4,Life Sciences,1,1223336,1,Female,67,3,1,Manufacturing Director,4,Married,2712,9839,7,Y,No,13,3,2,80,0,11,2,3,6,5,6,0
