crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
23.87372,2.8,17.21,1,0.6044,6.554,23.3,5.6899,24,441,12.6,365.12,10.59,18.7
61.27409,35.0,17.88,0,0.4917,6.01,100.0,4.3166,3,676,19.1,396.9,1.78,24.1
84.59893,89.2,1.49,0,0.5266,4.698,36.0,1.1296,24,362,14.4,339.35,12.36,20.4
54.1097,39.1,19.23,1,0.6526,5.549,64.8,5.8597,7,688,16.6,396.9,25.25,21.1
17.65184,0.0,0.46,0,0.5207,6.213,70.4,1.9053,1,446,19.8,390.15,10.9,36.2
18.7636,83.0,10.39,0,0.7561,6.196,93.9,1.2729,24,361,16.8,189.48,2.54,17.5
11.73207,16.6,0.46,0,0.5075,7.154,90.9,3.3079,2,677,14.6,307.93,2.06,9.2
1.40108,0.7,17.24,1,0.5087,5.833,88.4,4.2128,1,357,19.3,294.66,2.6,5.0
63.90729,0.1,16.38,0,0.4334,6.044,96.4,6.7734,1,587,16.8,379.76,2.75,16.0
56.6668,1.7,19.23,1,0.6893,5.893,100.0,5.1108,24,222,17.1,339.76,8.21,21.8
88.9762,40.3,17.94,1,0.4517,5.835,81.5,3.812,6,442,19.0,394.11,24.22,22.6
1.21774,1.1,0.46,0,0.7509,7.45,59.6,2.9192,5,412,16.4,251.41,9.1,19.5
0.90929,33.0,18.9,0,0.5942,4.93,73.9,1.9418,6,342,17.2,357.72,6.37,19.8
0.13284,25.9,16.1,1,0.5049,5.341,17.6,6.6732,24,187,16.8,283.37,3.8,15.8
0.74654,73.2,3.59,1,0.3974,7.833,100.0,9.1362,24,410,13.7,373.0,7.51,23.9
23.8487,89.1,16.87,1,0.5246,6.446,67.3,7.2354,1,368,14.3,0.32,2.65,7.8
15.76944,0.0,3.04,0,0.7632,7.25,82.4,2.8477,6,213,16.7,320.38,21.8,22.6
9.40756,18.7,20.57,0,0.7179,5.023,100.0,10.3724,2,301,20.0,26.7,15.41,10.2
9.68399,0.0,21.63,1,0.871,4.882,39.4,4.7914,5,205,17.6,396.9,18.64,11.8
1.03726,26.8,6.59,0,0.6794,8.706,77.1,5.1981,24,377,17.3,141.58,22.51,27.0
0.00632,0.0,18.09,0,0.5508,4.081,54.9,7.7008,24,698,14.9,377.22,5.56,18.1
11.89072,27.5,7.5,0,0.5039,6.443,99.4,3.562,7,624,13.7,380.01,6.48,8.7
11.90034,8.3,12.44,1,0.4856,7.032,68.0,1.4504,5,440,16.1,271.24,10.35,41.4
21.28851,0.0,14.72,1,0.5269,6.296,78.3,1.3905,6,424,19.3,228.05,16.78,22.6
0.71466,44.1,18.75,1,0.6694,3.561,69.6,3.8382,6,449,19.2,22.78,11.13,14.8
23.6995,37.0,17.56,1,0.5607,6.625,98.7,1.4496,1,354,12.6,395.36,9.38,28.4
0.00632,0.0,19.23,0,0.4779,4.607,100.0,8.5707,7,641,16.5,385.56,5.96,19.1
10.56048,29.2,17.91,1,0.6548,5.841,84.1,1.9804,1,481,13.5,326.67,14.86,12.9
10.75764,17.1,17.38,1,0.6124,7.096,99.0,3.1411,4,426,19.7,270.7,8.77,32.5
17.65841,100.0,14.06,1,0.4052,5.824,31.3,6.3663,7,710,14.2,374.11,13.31,5.0
1.12633,2.2,17.53,1,0.4435,6.551,30.3,2.6569,2,410,13.2,244.54,7.04,16.5
0.00632,2.1,1.65,1,0.6747,6.091,67.0,5.755,24,212,14.4,352.08,10.59,15.9
18.06624,11.2,17.49,0,0.6027,6.14,52.3,4.6051,4,234,19.2,334.77,9.47,24.1
6.56072,22.8,18.46,1,0.4482,5.653,91.0,8.6878,2,355,19.5,171.42,2.84,5.0
13.10185,0.0,6.42,1,0.6347,5.596,33.0,7.8235,24,426,19.3,274.96,3.33,15.5
14.16276,0.0,7.29,0,0.6435,6.261,32.6,9.3437,3,645,16.0,393.61,1.73,10.9
17.77552,0.0,9.6,0,0.6852,4.789,94.2,2.9585,5,349,12.6,394.54,16.78,12.9
7.64796,31.8,8.04,1,0.385,5.968,61.9,1.1643,2,367,12.6,291.72,14.77,12.0
1.90214,70.7,16.76,1,0.6428,5.989,100.0,7.6561,5,660,14.6,387.61,7.61,10.1
0.63648,19.7,24.14,1,0.5935,5.453,27.7,4.1272,2,297,17.8,396.9,11.68,18.4
22.10375,2.0,2.17,0,0.6106,4.971,84.6,5.2385,24,375,20.8,396.9,20.08,15.3
6.96887,12.9,3.44,0,0.871,6.929,92.2,7.7097,24,392,13.3,294.25,7.22,22.4
0.00632,2.0,9.57,1,0.502,6.679,100.0,3.0536,7,393,12.6,391.82,15.29,24.7
29.83376,60.1,10.27,1,0.5053,6.54,87.0,8.2866,24,272,19.1,343.72,5.41,16.6
34.96793,24.8,0.46,1,0.871,6.842,100.0,1.8399,24,479,14.9,380.44,20.74,29.6
