age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
59,77115,5.9,8,0.0,4,1,19,11,102883,77655,10,0,5,9,7,2,7,8,2,8,8,Male,East Maryburgh,Store
62,227753,6.5,12,1.7,1,2,25,19,144496,55680,2,4,1,9,3,3,6,1,1,5,2,Male,Bettyville,Store
69,82486,4.3,5,2.4,6,7,0,7,74654,97322,7,8,7,10,3,8,9,7,10,9,10,Male,Brewershire,Store
72,165107,4.4,8,1.2,2,9,2,16,54548,45886,10,9,4,6,6,10,10,3,1,10,1,Female,New Tanya,Store
57,84498,9.4,12,2.2,5,9,36,1,34736,542,8,6,2,9,6,8,8,9,5,4,7,Female,Melissafort,Store
60,63263,6.3,10,0.4,7,5,16,11,30286,23152,8,1,5,1,1,4,10,5,10,9,7,Female,Port Amandaborough,Store
71,35145,6.5,4,2.9,7,2,1,11,114075,80366,9,3,3,4,1,9,3,6,4,5,1,Female,Gloverport,Store
33,114313,9.3,12,4.0,6,2,27,11,100054,51284,7,6,2,4,8,10,5,7,1,4,6,Male,Lake Dustin,Store
77,68635,9.5,8,0.0,6,3,15,16,124376,80023,4,4,3,6,5,7,3,9,9,3,6,Female,East Wendyhaven,Store
47,104101,6.6,12,1.3,10,1,33,8,69729,93558,2,3,4,8,3,3,1,1,1,8,1,Female,East Katrinaborough,Online
53,108387,7.9,13,2.6,9,5,12,12,87460,147030,3,2,3,7,4,5,4,6,2,7,5,Other,Charlesmouth,Store
23,216223,9.9,9,6.0,7,3,32,1,95930,56252,4,3,4,10,5,5,2,3,5,10,10,Other,Port Barbarashire,Store
53,202543,6.0,4,3.8,10,1,40,3,109651,21772,9,1,2,4,3,6,5,4,5,7,7,Female,Shannonborough,Store
26,224232,8.6,12,3.2,8,5,21,1,73027,90104,9,5,4,5,6,3,1,1,6,9,3,Male,Youngfurt,Store
