Date,Price
1956-11,51.146
1911-01,364.72
1955-10,576.521
1833-01,17.06
1980-12,1318.581
1865-01,20.303
1882-09,460.622
2016-01,45.742
2000-11,38.437
1941-03,279.107
1943-04,28.752
2005-06,458.105
1979-12,479.411
1972-08,20.913
1962-05,51.389
1964-10,33.086
1876-05,277.548
1921-05,32.892
1900-06,49.748
1839-06,19.062
1985-03,24.504
1929-11,1254.914
1977-08,2258.792
1926-01,25.596
1847-08,21.349
1838-01,29.647
1860-11,314.433
1845-07,32.21
1878-11,37.555
1901-12,58.191
1958-01,21.731
1869-03,19.557
1939-07,17.06
1952-05,24.146
1932-06,17.06
1974-08,24.571
1882-04,31.792
1922-02,17.06
1888-12,30.787
1940-04,17.06
1998-01,30.778
1911-01,590.058
1897-10,19.72
1913-04,17.06
1962-02,48.331
2024-08,372.724
2015-11,449.461
1930-01,364.171
1990-06,4404.616
1934-12,17.06
1933-02,17.06
1898-04,1463.754
1868-11,19.019
1874-07,52.845
1890-02,31.814
1939-05,17.06
1833-01,427.398
1877-11,45.706
1861-06,485.618
1941-12,18.669
1930-12,2888.481
1933-02,18.405
1983-05,28.642
1904-08,34.471
1833-01,207.226
1834-04,17.06
1940-07,363.946
2006-05,17.06
1878-04,208.021
1941-04,32.576
1853-10,17.06
1923-04,25.76
1841-08,47.611
1982-05,299.326
1988-08,1414.147
1833-01,372.206
1863-07,197.198
1833-01,557.488
1870-02,31.511
2023-10,363.034
1934-04,17.06
1949-05,2231.19
1972-05,36.036
1850-05,478.833
1871-09,49.435
1904-11,46.955
1932-06,20.872
1986-03,339.617
1842-07,3390.874
1869-02,27.227
1929-08,17.06
1968-04,47.537
1993-05,27.42
1997-07,17.06
1887-09,17.06
1909-10,288.247
1975-06,279.942
1886-08,1373.227
1927-02,23.931
1987-11,48.042
1949-03,27.228
1856-12,227.86
1998-08,24.292
1971-08,50.76
1916-11,313.052
1942-12,41.868
1839-10,17.06
1850-09,17.06
1834-02,331.07
1869-01,17.332
1885-04,31.737
1839-10,254.597
1917-09,1808.679
1929-12,455.572
1934-01,43.372
1956-03,1397.252
1870-05,40.214
1978-10,32.168
1907-06,34.372
2018-08,1654.604
2026-02,36.766
1858-09,42.42
1940-04,225.282
1922-12,332.741
1881-08,37.218
1981-09,33.762
1866-01,274.874
1959-11,34.587
1913-03,377.355
1888-02,17.06
1981-01,17.06
2003-07,17.06
1983-08,349.397
1954-11,17.06
1995-06,17.06
1965-03,17.06
2008-09,167.16
1867-01,359.627
1859-11,950.432
1888-12,35.818
1963-11,222.598
1965-03,23.157
2024-11,3073.72
1876-09,2435.522
1843-08,17.06
2011-07,21.448
1973-11,1771.872
1838-12,148.669
1988-09,51.664
2017-12,53.269
1976-03,44.125
1967-01,176.576
1906-02,21.819
1865-10,19.01
2023-07,5019.97
1877-07,599.894
1833-01,17.06
1936-02,27.534
2006-01,40.435
2026-02,49.125
1992-04,17.06
1951-02,349.674
1841-12,17.06
1910-02,39.619
2026-02,26.56
1912-04,17.06
2007-05,3730.207
1844-09,18.066
1986-08,17.06
1953-11,219.734
1952-10,2076.715
1881-03,17.06
1954-01,286.76
1872-12,935.704
1833-12,27.157
1979-03,592.331
2024-03,334.98
1983-12,407.173
1845-06,17.06
1924-07,23.008
1932-10,17.06
1981-02,25.226
1918-07,361.743
1947-11,17.06
1921-03,22.735
1998-01,17.929
1972-04,34.127
1858-04,2542.936
1945-02,251.105
1964-06,25.967
1972-06,1391.377
1909-07,25.741
1952-08,38.413
1932-06,18.354
1982-02,36.261
1974-04,58.978
1987-07,21.495
1951-05,43.84
2026-02,30.961
1954-07,17.06
1850-12,61.395
1935-12,312.387
1836-07,17.883
1992-02,26.857
1833-01,17.06
1898-03,3431.7
1870-09,533.433
1843-09,3043.92
1899-08,503.566
1916-07,17.06
1910-05,43.136
