Date,Price
1912-12,17.06
2000-10,1299.785
1892-05,172.004
1905-11,31.445
1944-03,279.503
1950-05,47.122
1833-07,218.985
1863-11,70.437
1993-04,466.967
1953-10,17.06
1980-04,32.628
1833-01,75.721
2019-12,226.624
1843-04,17.06
1957-02,42.931
2015-12,17.06
1938-10,17.06
1993-09,17.06
1940-11,17.06
1833-01,247.407
1904-01,52.592
2001-06,182.876
1951-12,139.249
1910-04,56.185
1993-12,17.06
1988-03,40.54
1921-07,371.249
1990-11,17.06
1833-01,39.168
2017-04,28.405
2026-02,48.286
1890-11,17.06
1865-05,17.06
1986-07,48.124
2002-08,17.06
1996-02,17.06
1955-07,373.489
1981-06,17.06
1876-07,17.06
1951-08,47.189
2008-08,17.06
1969-05,1552.485
1932-08,60.742
1924-12,49.052
1948-04,17.06
1995-09,539.353
2026-02,562.132
1947-08,304.253
1960-05,17.06
1890-04,44.16
1863-04,58.994
1955-03,24.015
1833-01,17.06
1899-08,17.06
1896-01,17.06
1912-04,154.625
1974-03,43.395
1977-02,59.155
1881-09,183.555
1920-01,836.573
1929-03,868.194
2010-11,62.611
1902-10,17.06
1912-12,17.06
1965-02,17.06
1900-08,17.06
1930-12,557.528
1985-01,39.451
1852-11,156.029
1962-11,379.203
1854-08,123.575
1959-07,17.06
1833-01,17.06
1967-04,17.06
1968-03,1251.089
1856-07,287.831
2026-02,374.517
1845-10,129.405
1866-01,51.766
1995-02,137.482
1945-01,37.309
1943-11,253.449
1983-03,17.06
2003-01,170.464
1833-01,17.06
1833-01,17.06
1979-05,17.06
1983-07,140.134
1920-11,854.952
1833-01,413.666
2006-04,17.06
1914-05,17.06
2018-10,17.06
1975-03,22.193
1833-01,30.863
1907-01,157.637
1936-10,237.177
1927-05,43.993
2018-04,120.879
1895-08,203.297
1985-07,17.06
1882-05,205.983
2020-10,58.022
1977-10,33.121
1986-07,178.732
1917-08,1277.67
1833-01,17.06
1873-06,510.945
1921-07,364.955
2024-01,17.06
1899-04,53.012
1987-12,31.344
1942-10,17.529
1998-04,122.618
1862-11,34.267
1933-10,2484.001
1924-07,17.06
1916-06,17.06
1877-04,41.939
2009-05,1300.635
1833-01,17.06
1835-05,405.289
1984-01,136.611
1841-11,131.527
2010-11,274.478
1928-09,57.637
1983-08,178.034
2020-07,17.06
1934-08,47.737
1848-04,36.801
1959-01,206.705
2021-06,364.217
1890-07,383.017
