job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
Data Analyst,MNC,Retail,UK,Hybrid,Senior,14,Bachelor,1,0,1,0,0,96668,3,2024,Medium,9
AI Engineer,Enterprise,Education,UK,Onsite,Entry,13,Master,0,1,1,1,0,120001,12,2022,High,8
Data Engineer,Enterprise,Healthcare,India,Onsite,Mid,8,PhD,1,0,0,1,1,118342,9,2021,High,8
Data Scientist,Medium,Healthcare,Germany,Hybrid,Senior,11,Master,1,1,1,1,1,99146,8,2023,High,3
Data Analyst,MNC,Healthcare,India,Onsite,Mid,14,Master,0,0,0,0,0,105651,6,2022,Low,2
Data Scientist,Medium,Healthcare,Australia,Remote,Entry,7,Master,0,1,0,0,1,52787,1,2023,High,3
Data Analyst,Startup,Technology,USA,Remote,Entry,13,PhD,1,1,1,1,0,85759,7,2022,Medium,4
AI Engineer,MNC,Finance,Canada,Onsite,Senior,14,Master,0,1,0,1,0,121956,6,2022,Low,5
Data Scientist,MNC,Education,UK,Onsite,Entry,9,Bachelor,1,0,0,0,0,61177,7,2025,High,8
Data Analyst,Medium,Healthcare,USA,Remote,Senior,2,PhD,0,1,1,0,1,127834,12,2020,Medium,3
Machine Learning Engineer,Enterprise,Technology,Canada,Onsite,Senior,7,Bachelor,0,1,0,1,1,162711,8,2025,Low,6
Machine Learning Engineer,Startup,Finance,UK,Remote,Senior,11,Master,1,0,1,0,0,51377,7,2020,Medium,2
Business Analyst,Startup,Retail,Australia,Onsite,Entry,10,Bachelor,0,1,1,0,0,108927,12,2024,High,9
Machine Learning Engineer,Medium,Healthcare,Australia,Onsite,Mid,9,Bachelor,1,1,0,0,0,105574,2,2020,Medium,4
AI Engineer,Startup,Technology,Canada,Hybrid,Senior,12,Master,1,1,1,1,1,163821,11,2026,Low,9
Data Engineer,MNC,E-commerce,Singapore,Hybrid,Senior,7,PhD,0,1,0,1,1,112665,10,2024,Medium,2
Business Analyst,Startup,Healthcare,Canada,Remote,Entry,5,PhD,0,1,0,1,0,103119,11,2021,High,1
AI Engineer,Enterprise,E-commerce,UK,Onsite,Senior,12,Bachelor,1,1,0,1,1,110077,2,2020,High,7
Business Analyst,Enterprise,Education,Australia,Onsite,Mid,3,Master,0,1,0,0,1,74428,2,2026,Low,4
Data Analyst,Medium,E-commerce,Canada,Onsite,Entry,12,Master,0,1,1,0,1,109860,10,2024,Medium,5
Data Scientist,Medium,Technology,Singapore,Hybrid,Entry,7,Bachelor,1,0,1,0,0,135569,6,2025,Low,4
Data Engineer,Startup,Retail,Australia,Onsite,Mid,14,PhD,0,1,0,1,1,156781,8,2021,High,5
Business Analyst,Enterprise,Education,UK,Onsite,Mid,0,Master,1,0,0,1,0,112306,2,2021,High,1
Data Analyst,Startup,Technology,Singapore,Hybrid,Senior,11,Bachelor,1,1,1,1,0,161055,8,2023,Medium,4
Data Engineer,Medium,Healthcare,Singapore,Remote,Mid,1,Master,0,0,0,1,1,78664,6,2025,High,7
Data Engineer,MNC,Retail,Germany,Remote,Senior,14,Bachelor,1,1,1,0,1,102090,8,2022,High,7
AI Engineer,Enterprise,Retail,India,Hybrid,Entry,7,Bachelor,0,1,0,0,1,83943,3,2023,High,8
Machine Learning Engineer,Startup,Finance,India,Onsite,Mid,9,Bachelor,1,1,0,0,1,47740,1,2026,Medium,5
Data Engineer,Startup,Technology,USA,Hybrid,Entry,5,PhD,1,1,0,0,1,64466,8,2021,High,4
Data Engineer,Startup,Technology,Germany,Onsite,Mid,14,Bachelor,1,0,1,0,0,140544,6,2022,Low,7
Data Analyst,MNC,Technology,UK,Onsite,Mid,1,Bachelor,0,0,0,1,1,102516,1,2025,High,7
Machine Learning Engineer,MNC,E-commerce,Canada,Hybrid,Mid,2,Bachelor,0,0,0,0,1,121703,10,2025,Medium,8
Data Analyst,Medium,Technology,Canada,Onsite,Senior,11,Master,0,1,1,1,1,81321,12,2026,High,8
Data Scientist,Medium,Retail,India,Onsite,Mid,1,Bachelor,1,1,0,1,1,115438,1,2024,Low,5
Data Engineer,MNC,Healthcare,Australia,Remote,Mid,14,PhD,0,0,1,0,1,68986,3,2026,High,7
Data Analyst,Startup,Technology,USA,Remote,Mid,7,Bachelor,0,1,0,1,1,82628,9,2023,Low,4
Data Analyst,Medium,Healthcare,Germany,Hybrid,Mid,6,PhD,0,0,1,1,1,77791,9,2023,Low,8
Machine Learning Engineer,Medium,Retail,USA,Onsite,Entry,9,Bachelor,1,0,1,1,0,132692,6,2022,Medium,7
Machine Learning Engineer,Enterprise,Technology,Singapore,Onsite,Mid,11,Bachelor,1,0,1,0,0,163479,12,2025,Low,9
AI Engineer,MNC,Healthcare,UK,Remote,Senior,14,PhD,0,0,1,0,1,76500,3,2026,High,4
Business Analyst,Enterprise,Education,Singapore,Remote,Entry,3,PhD,1,1,1,1,1,139997,9,2022,High,1
