age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
46,226254,7.5,10,0.5,4,1,18,5,36354,36640,10,3,7,8,8,1,2,1,9,8,10,Female,East Maryburgh,Store
68,200907,4.3,3,5.5,7,4,5,18,48527,22910,1,2,3,9,10,7,7,8,9,7,10,Female,Bettyville,Online
63,170550,5.6,3,5.3,1,7,48,10,130057,39251,9,6,7,9,8,6,6,5,9,1,8,Male,Brewershire,Online
72,23547,6.9,12,3.5,4,7,34,15,130776,71409,9,2,6,2,10,5,2,6,3,6,10,Other,New Tanya,Online
23,15005,2.1,4,3.6,5,3,0,18,106411,128882,7,4,5,6,5,10,5,3,3,3,4,Male,Melissafort,Store
47,97022,3.2,12,3.0,7,4,3,15,105843,125562,4,0,4,2,1,10,6,2,9,4,8,Female,Port Amandaborough,Hybrid
44,61739,5.8,8,0.0,3,1,35,19,119728,85650,9,9,1,9,3,3,6,8,10,10,8,Female,Gloverport,Online
48,77899,7.5,12,1.8,6,1,36,14,21260,75148,1,4,2,4,6,8,1,4,1,8,5,Male,Lake Dustin,Online
77,15005,6.3,8,2.0,3,3,41,19,128403,105237,6,8,7,3,5,6,3,8,6,2,1,Male,East Wendyhaven,Online
51,176444,8.3,8,2.2,1,9,0,11,72945,84314,8,4,5,2,8,9,1,3,4,10,6,Female,East Katrinaborough,Online
42,245808,5.0,10,2.6,10,2,42,17,56493,27908,3,8,5,2,2,3,5,1,1,6,9,Other,Charlesmouth,Online
59,220989,4.5,12,3.0,7,9,12,6,73701,32039,1,6,2,2,7,3,2,9,6,7,8,Female,Port Barbarashire,Store
51,170465,6.2,7,2.9,2,7,38,3,94595,65180,7,6,7,4,6,5,7,2,5,10,10,Other,Shannonborough,Online
42,183256,3.6,2,1.4,10,9,49,0,103442,47060,2,2,4,7,5,10,4,4,1,4,7,Male,Youngfurt,Online
57,113693,6.2,13,2.9,4,8,27,7,48219,26269,5,9,5,6,1,8,4,3,5,5,3,Other,South Mark,Online
57,194872,6.5,14,0.0,10,9,22,15,69686,145766,4,0,1,9,2,2,8,8,9,1,3,Male,South Rebekahtown,Store
60,214084,10.3,12,0.4,3,5,46,7,94285,143240,8,3,2,4,1,2,10,8,1,3,9,Female,Port Kara,Hybrid
68,236423,4.5,9,3.2,2,10,28,17,61396,140906,1,3,2,9,5,9,10,9,3,1,6,Male,Duncanmouth,Online
35,33750,5.5,5,1.7,5,7,26,1,75680,84140,9,5,6,7,10,7,10,8,9,1,9,Female,Jerryville,Online
55,94790,1.9,7,1.3,8,7,45,1,82688,47172,10,7,1,7,5,2,3,5,10,1,10,Female,West Christopher,Online
36,163740,4.3,8,0.7,8,3,25,17,88220,19926,3,0,2,4,1,8,9,5,6,10,8,Female,New Allen,Hybrid
50,131912,7.8,14,3.2,3,5,1,8,102357,113951,3,6,7,2,1,8,1,6,3,6,8,Male,Jasminemouth,Store
37,106232,6.5,11,1.8,4,7,24,19,119129,149972,6,3,4,7,4,8,9,10,8,10,3,Male,Port Michaelberg,Online
33,109497,4.7,3,1.5,3,6,49,11,110972,40103,1,7,7,9,5,7,6,1,7,6,10,Male,Michaelburgh,Store
29,246678,7.3,11,2.3,2,6,16,13,104718,54294,3,4,7,7,4,3,10,2,6,8,7,Male,Sanchezfurt,Hybrid
46,117788,8.4,5,2.9,10,3,10,17,91682,4492,3,3,3,4,8,6,6,1,4,7,2,Female,Nathanton,Online
78,130899,9.1,12,3.8,7,3,25,7,134506,104326,3,8,4,1,5,9,8,6,8,6,9,Male,Autumnfort,Store
36,71013,2.7,8,0.2,8,9,14,1,45664,60592,8,2,1,2,5,1,7,4,3,5,1,Female,Daniellestad,Online
46,212611,4.3,3,2.4,1,2,41,19,68705,125499,5,5,6,7,2,7,4,7,9,5,2,Male,Lake Patricktown,Online
43,168058,5.3,10,2.0,1,10,42,17,141420,90947,3,0,7,7,3,4,10,7,1,4,3,Female,Liuland,Store
64,243212,2.1,7,0.5,7,8,26,1,127097,3341,4,8,4,6,4,6,6,10,6,2,10,Other,South Davidbury,Store
38,200215,5.3,7,2.8,3,4,4,4,58333,105660,3,1,1,7,1,9,7,2,1,3,8,Other,West Marco,Online
50,98503,6.3,12,1.6,4,1,27,11,6877,110342,6,9,2,5,1,9,4,6,10,3,10,Male,Ramirezville,Store
48,45100,1.0,14,3.5,4,9,0,8,122362,65002,10,7,5,3,7,10,3,5,5,7,6,Other,Port Matthewberg,Store
18,47036,7.3,7,3.9,1,9,4,17,107158,142761,4,2,3,5,2,5,1,1,9,7,7,Male,Duartehaven,Store
51,48464,8.5,10,2.5,9,3,10,2,109471,16563,8,6,4,10,10,1,6,3,9,7,4,Other,West Andrewmouth,Hybrid
78,105707,5.9,7,3.0,2,2,33,18,128439,136289,9,6,1,2,4,9,6,6,2,2,5,Male,Jonburgh,Store
56,51107,3.8,6,0.0,6,10,28,2,142710,31295,1,2,4,1,1,9,2,3,1,2,7,Female,Danielfurt,Hybrid
73,161086,4.7,12,0.0,8,2,26,11,128277,36964,1,9,2,8,10,9,8,4,4,2,8,Male,West Moniqueland,Online
55,216427,5.6,14,0.3,8,2,26,18,136848,108257,2,4,3,1,8,5,3,6,7,5,1,Other,North Ericview,Online
78,46946,6.6,12,4.4,1,3,37,2,93361,107516,8,6,4,2,3,1,8,4,4,9,3,Male,South Benjaminview,Store
21,37982,10.8,7,2.4,3,8,36,19,65637,111123,3,1,6,8,5,5,4,1,7,1,6,Female,Jamesshire,Store
52,183788,3.5,2,3.0,10,9,4,18,68498,34034,1,0,6,10,1,6,3,4,3,8,8,Male,Suttonville,Online
66,193946,1.8,6,1.2,1,2,42,10,139072,106248,8,6,2,9,2,2,5,7,7,4,6,Other,Lake Joseph,Hybrid
74,58371,5.4,4,2.1,6,9,24,11,87540,114385,5,6,3,8,2,3,9,8,8,7,8,Male,Russellfort,Online
64,137467,7.2,8,2.3,6,5,3,12,84114,76221,9,6,3,4,4,8,9,3,3,1,3,Female,East Wayne,Store
54,229843,5.0,2,3.1,4,6,0,12,523,75934,5,3,2,7,1,10,6,2,3,5,9,Female,Alyssamouth,Store
50,15005,4.3,12,4.0,10,4,26,8,75652,15263,3,7,1,8,5,1,8,7,1,7,7,Other,Lake Jorge,Hybrid
28,161058,3.8,8,1.0,9,10,40,6,133237,97426,5,2,4,10,1,10,9,1,4,4,8,Male,Solomonhaven,Online
49,32664,5.2,10,4.2,4,3,29,11,2260,58992,1,4,3,6,6,4,9,2,4,8,7,Male,Parkertown,Store
28,213757,5.7,5,3.5,8,10,4,7,88369,23943,5,3,6,1,5,4,2,9,7,5,4,Other,West Dianaport,Online
65,75746,2.2,11,2.6,2,4,33,15,118898,45777,8,6,7,9,1,2,3,4,10,6,10,Female,Rivastown,Online
49,114644,7.7,7,2.8,6,9,20,18,94776,58943,1,7,5,7,6,3,7,1,5,8,1,Male,Jonesport,Store
45,119899,6.7,4,1.8,4,6,32,18,12211,130303,9,7,4,3,5,5,6,7,1,6,1,Male,Sydneyview,Online
55,119415,4.9,2,2.4,10,4,27,11,58482,125619,6,7,1,2,1,4,7,5,6,5,1,Female,New Elizabethmouth,Store
54,111806,5.5,11,0.5,5,1,37,13,131769,120146,6,9,6,1,9,6,2,2,7,9,4,Other,Hoton,Hybrid
56,167703,7.1,12,3.3,5,10,19,5,139144,134658,3,6,1,7,7,8,6,1,10,1,8,Female,Lindseychester,Hybrid
33,215551,4.1,2,3.6,8,1,6,11,45827,45469,3,6,4,4,4,9,6,2,9,7,1,Male,West Troyville,Hybrid
18,227276,6.6,7,1.9,10,10,41,16,6860,90754,10,1,4,6,6,8,6,1,3,8,2,Other,West Kellyport,Online
36,112103,2.4,4,0.0,2,7,41,16,81009,130387,4,6,1,4,9,1,3,7,10,3,5,Other,Rogerton,Hybrid
26,143670,6.1,4,3.7,5,2,13,16,52674,9105,5,2,5,7,5,3,4,7,4,3,1,Female,Lake Mark,Online
78,100525,2.9,12,1.8,5,9,49,7,116015,75904,6,1,3,7,2,3,7,6,3,6,3,Other,Taylortown,Store
20,196810,3.2,7,4.2,3,1,48,5,64083,28013,4,4,5,4,5,5,9,7,5,1,10,Male,Amandamouth,Store
36,235459,6.4,10,5.0,9,1,39,2,138484,104667,8,8,7,9,5,3,8,1,4,4,4,Other,Douglasport,Store
41,126245,7.4,10,1.9,3,10,46,15,134439,96007,4,7,4,10,7,8,4,9,1,1,10,Female,Staceyport,Online
62,140113,4.0,6,2.8,2,5,22,4,119187,542,8,6,1,8,4,8,2,8,9,9,8,Female,West Seanview,Store
35,141772,5.3,7,1.4,9,2,9,7,149996,103235,4,2,1,6,6,2,3,2,4,7,6,Female,West Danny,Online
20,139588,5.3,14,0.9,6,4,43,5,58409,64038,4,2,1,3,10,6,5,6,1,2,3,Other,Codyfort,Online
44,249989,5.4,10,0.3,1,4,43,14,49739,25477,9,0,2,2,1,5,7,10,1,5,1,Male,Ryanmouth,Store
79,161349,11.2,9,4.0,4,5,44,11,24834,84088,7,9,7,5,2,9,8,6,1,5,5,Other,Lake Eric,Store
66,176868,6.0,9,0.2,8,10,17,1,56960,95364,9,6,1,3,2,7,7,2,10,4,3,Male,North Jamesmouth,Online
69,37676,3.2,12,2.4,3,10,19,2,76603,103222,2,1,6,2,7,8,1,5,7,4,5,Male,Diamondberg,Hybrid
65,17851,5.7,9,2.3,2,10,44,0,111862,21066,3,7,6,5,10,10,7,6,9,8,5,Other,Danielshire,Hybrid
40,70090,9.8,5,1.7,3,7,2,15,95730,19949,2,4,7,7,4,2,10,5,3,8,4,Female,Tanyaburgh,Online
56,32906,5.9,2,1.7,8,7,37,2,86416,14223,5,5,2,2,1,8,9,4,8,4,1,Female,South Alexisview,Store
68,167994,6.8,11,4.7,2,6,8,0,106531,81235,3,3,5,6,4,10,3,10,8,2,10,Male,North Michael,Online
74,46309,5.9,10,2.7,1,6,34,2,145779,88614,2,8,2,1,7,8,3,6,2,4,6,Female,North Nancy,Store
72,125946,5.8,2,2.2,9,4,8,9,127256,45625,9,9,6,8,8,5,4,8,6,8,3,Other,Port Travisview,Hybrid
51,143959,8.4,5,6.0,2,8,27,5,111291,140709,3,3,1,1,8,1,4,5,8,9,3,Male,Woodborough,Hybrid
67,148143,5.5,10,0.8,8,4,39,0,121745,15325,2,8,6,7,10,1,10,6,5,4,8,Other,Lake Brianside,Store
41,67168,4.8,11,2.5,10,5,44,4,102603,82863,9,7,4,2,8,10,1,6,8,2,10,Female,Hollandborough,Online
23,23601,2.3,1,0.0,7,7,39,3,136926,542,9,0,2,4,10,3,4,7,9,6,8,Female,Riveraland,Hybrid
79,199940,8.0,2,1.8,1,10,35,6,81594,542,6,0,6,5,1,9,8,10,7,8,8,Other,Maxwellmouth,Hybrid
38,35967,6.6,12,0.8,8,10,29,6,146883,98521,8,8,2,1,4,6,5,7,9,6,7,Female,New Andrew,Online
38,197497,7.9,2,1.6,2,6,31,5,23802,128471,4,8,2,9,7,5,7,10,4,2,3,Male,North Joseph,Hybrid
42,110967,5.4,5,2.7,3,9,23,11,83668,96226,4,4,2,6,8,6,8,8,3,6,4,Male,West Kathleenhaven,Online
42,200460,7.1,7,1.9,10,6,10,15,104117,104929,1,3,3,3,2,10,2,10,6,10,8,Female,New Johnshire,Online
45,66710,1.8,7,2.2,9,8,4,14,101839,121374,6,8,5,10,10,1,1,6,7,4,9,Male,South Barbara,Store
40,15005,5.4,1,4.4,3,10,31,7,143777,10617,2,2,6,7,9,1,2,6,6,2,1,Male,Jenniferton,Online
65,200032,7.5,11,3.4,7,2,18,0,100887,122439,9,7,4,9,10,4,1,8,9,5,6,Other,Lopezfort,Store
79,152374,3.2,11,1.0,6,6,38,0,42762,127914,7,4,3,8,10,8,3,5,2,5,2,Female,North Heatherburgh,Hybrid
38,113433,6.4,6,3.8,4,6,29,16,32886,10372,8,2,1,2,5,5,5,6,5,10,6,Other,Raymondton,Hybrid
30,229806,3.9,6,1.5,4,9,11,3,98618,62289,2,7,4,4,10,3,5,8,5,8,4,Other,New Jasmine,Store
35,153331,3.4,1,0.5,3,10,45,1,138308,119362,6,4,6,5,9,2,9,7,2,9,7,Female,Millerfort,Online
35,213646,7.9,8,2.5,3,4,27,18,73443,89396,1,9,3,6,9,2,6,2,8,7,10,Other,Lindamouth,Store
52,16307,5.0,14,2.3,4,6,24,18,121400,10897,6,2,6,1,8,9,9,5,7,8,2,Other,Craigbury,Online
62,76112,7.2,8,3.2,3,5,35,5,145039,27220,1,1,2,3,4,8,10,8,7,9,8,Male,Sarahtown,Store
37,235151,1.5,2,1.0,1,1,11,2,26047,77196,10,9,6,1,4,3,10,5,6,7,10,Male,North Brianfort,Online
52,131703,4.3,12,4.0,2,9,49,4,145830,87956,9,6,4,10,10,4,10,1,7,2,3,Male,Isaacland,Online
74,101180,5.7,4,1.3,4,3,16,19,139284,89327,2,0,5,2,7,6,10,10,6,3,9,Male,West Crystal,Store
30,203074,6.5,3,1.3,2,8,27,5,143539,110531,3,1,6,5,1,6,5,2,8,9,7,Other,Amyville,Hybrid
18,111455,7.5,8,2.5,10,7,9,12,82654,134764,2,2,6,5,2,8,7,3,9,5,9,Male,Joelberg,Store
48,237009,5.0,2,1.4,10,1,2,1,13926,16288,5,1,4,6,7,2,10,9,2,3,10,Female,West Taylorport,Hybrid
79,215586,7.3,12,2.5,5,8,24,14,21283,3601,4,4,3,4,1,5,3,5,7,3,4,Male,Brianland,Hybrid
38,225388,4.7,7,3.5,6,4,26,16,149996,58222,1,5,2,6,8,1,3,7,3,8,9,Other,Leview,Online
35,70262,6.9,10,2.7,1,6,42,6,120305,114648,9,9,4,6,6,8,10,3,8,2,8,Other,North Richard,Hybrid
49,22591,2.3,6,2.6,6,7,18,0,80395,149972,10,2,7,7,6,5,6,10,5,3,4,Female,Port Scottchester,Hybrid
20,159676,5.7,8,2.6,2,4,17,4,105730,16880,10,0,6,2,2,4,4,4,1,8,6,Male,Lake Charles,Hybrid
76,151003,6.4,11,3.4,3,2,38,1,27963,77222,3,9,2,5,7,1,7,2,9,7,3,Male,Port Kaylachester,Store
50,47729,10.4,2,3.0,1,8,29,5,106493,128636,9,7,5,5,7,4,2,10,5,5,7,Male,Clementsside,Store
30,15005,3.1,8,3.4,5,1,16,11,69433,38182,4,5,2,8,8,6,5,9,5,3,7,Male,South Christine,Store
49,227651,8.2,7,5.4,7,7,35,4,83024,20613,5,3,7,4,9,9,5,4,1,9,2,Other,East Heidi,Store
62,132922,7.7,9,0.5,3,4,6,15,131228,104897,3,1,6,10,6,1,3,2,7,3,5,Male,North Rhondaview,Hybrid
41,127492,6.9,4,4.8,7,6,12,8,64509,103051,2,4,7,7,3,4,8,3,1,7,8,Male,Ortizstad,Store
42,160216,9.7,6,1.8,6,5,35,3,72455,34811,1,2,7,7,4,8,6,10,10,5,7,Male,Port Jefferyfurt,Store
79,139131,7.6,11,2.3,3,10,39,9,1679,61971,2,1,1,9,8,4,1,5,9,3,10,Female,Joannaview,Hybrid
28,228200,1.0,6,2.9,4,2,20,17,81542,77835,3,1,4,2,2,1,1,10,10,7,2,Male,South Kylieside,Online
43,68165,6.1,2,3.0,6,2,0,10,134060,67774,2,5,7,1,7,3,10,5,8,1,2,Other,West Donaldfort,Online
57,100404,4.9,8,1.3,8,8,36,3,130885,119646,4,3,5,8,3,6,6,8,2,4,10,Other,South Ericaview,Store
72,224792,3.0,8,2.7,7,3,17,17,40798,127971,4,0,5,1,3,5,10,3,8,5,8,Female,West Robertberg,Store
46,93997,5.4,9,3.0,8,10,35,19,119876,83541,1,3,2,7,10,8,7,1,3,8,3,Male,Marksborough,Store
27,36507,2.7,3,2.7,4,3,7,17,7343,90498,2,5,3,4,5,5,6,5,6,1,10,Other,West Troy,Store
23,129389,5.8,1,2.6,5,9,21,15,123500,79709,4,9,5,1,1,5,10,4,9,10,10,Other,Jenniferfurt,Store
34,158765,3.3,7,2.8,4,7,43,9,94990,64832,2,4,6,5,3,8,5,10,1,6,5,Male,South Travisbury,Hybrid
33,210212,3.3,5,0.0,5,6,20,11,87600,71122,3,4,6,9,7,7,1,3,3,6,3,Female,North Jeffreybury,Hybrid
19,228926,9.8,10,2.3,10,3,46,1,141595,28627,3,8,2,6,10,4,7,5,7,9,2,Female,New Brentside,Store
56,95153,1.9,10,4.6,7,7,29,16,107577,85386,10,4,5,6,3,5,6,2,3,7,5,Male,Morsefort,Hybrid
26,125019,9.2,1,2.4,6,7,6,12,149996,149972,8,6,7,6,4,1,5,8,1,5,8,Male,North Matthewfort,Store
60,106533,10.1,7,3.2,2,10,18,12,90653,32782,5,8,7,4,1,6,8,1,6,5,5,Other,South Jordan,Store
78,47828,5.7,11,4.1,4,5,35,10,113710,35346,3,9,4,6,3,9,2,4,9,4,10,Other,Judystad,Online
75,108496,5.1,7,2.7,4,7,12,19,97256,542,4,8,3,1,2,2,6,6,4,3,6,Female,Elizabethbury,Store
21,237013,3.0,7,2.3,9,8,17,18,109409,93012,6,2,6,1,10,4,5,1,7,5,8,Female,East Danielport,Store
20,97047,2.6,11,0.3,4,4,26,18,20049,36447,5,3,3,8,2,6,5,5,4,6,6,Other,Tammyhaven,Store
30,130793,4.0,3,5.2,2,9,41,2,133927,79370,4,3,3,2,1,6,5,7,7,8,4,Other,Lake Mary,Store
39,66428,6.7,9,2.4,4,6,6,13,89304,13156,2,5,3,3,4,9,5,2,10,7,9,Other,Hansenville,Store
32,96078,4.5,8,1.1,3,2,27,16,16658,542,1,9,3,8,6,3,3,4,2,9,9,Male,Lake Samantha,Store
49,44644,7.2,10,3.4,2,3,41,15,105009,100527,4,2,4,5,2,9,4,6,5,10,4,Male,Henrymouth,Hybrid
34,83766,4.1,5,3.5,8,5,12,8,50833,137726,3,7,2,5,3,1,3,8,1,8,8,Female,Smithview,Store
18,21396,6.3,9,3.2,3,7,24,8,54469,106066,6,3,3,6,5,4,4,5,2,7,1,Other,South Joe,Online
22,245709,5.3,2,3.3,6,10,32,2,101423,112822,9,6,6,3,9,2,6,10,2,7,1,Female,West Janet,Store
45,86296,5.7,11,3.6,9,8,24,16,88510,13193,6,6,1,3,7,9,2,1,9,5,5,Male,South Ashleyside,Online
19,54545,11.7,7,2.8,7,5,35,15,134136,96637,2,1,4,2,5,2,3,1,9,9,6,Male,Lake Lisaberg,Store
48,167389,9.4,4,1.8,1,7,18,11,27917,5155,5,6,3,7,4,2,2,6,7,3,9,Male,Port Alexander,Store
26,199077,7.9,8,0.7,5,9,43,11,104730,59488,1,9,4,4,5,8,6,4,6,6,6,Other,Garciafurt,Online
40,193949,5.5,7,2.5,6,6,34,7,80088,90441,5,1,3,9,1,5,1,2,1,5,9,Female,Williamsside,Hybrid
76,129063,1.8,2,3.9,2,4,49,18,120920,96568,5,7,2,8,3,6,5,5,1,8,7,Male,New Austinfurt,Store
49,188079,6.3,8,3.1,9,9,37,18,92105,49581,4,9,4,10,8,6,7,9,2,2,4,Male,Jocelynberg,Online
21,123432,2.8,10,3.0,2,7,3,8,54214,53201,8,6,7,2,4,7,3,8,6,6,6,Other,Ramirezside,Store
57,25094,2.8,12,5.6,8,1,0,19,137968,22780,8,8,2,10,8,8,2,1,6,3,1,Female,South Tiffany,Online
52,118212,7.7,3,3.7,1,10,35,15,40565,78355,4,0,5,1,1,6,4,8,6,1,4,Male,Brucemouth,Online
72,39347,5.9,3,1.2,4,7,33,18,138009,59311,4,6,1,9,9,1,6,9,3,7,6,Female,Lake Timothy,Store
35,59444,6.3,7,1.3,2,4,11,19,135514,45229,9,6,6,1,3,1,9,3,10,2,6,Other,Lake Kevinside,Hybrid
31,161016,6.3,2,1.5,7,1,22,12,76135,71337,10,2,3,5,4,2,10,9,8,6,10,Female,Jessicastad,Online
39,70903,2.6,3,2.5,6,7,22,17,88195,127155,4,7,6,8,3,9,2,7,4,9,1,Other,Lake Matthew,Hybrid
34,170956,5.6,7,2.6,3,7,0,6,117232,131122,2,0,3,3,10,6,7,6,2,7,1,Other,Davidfurt,Store
44,121654,8.2,9,1.0,8,3,31,7,6120,149640,2,8,5,2,5,6,3,5,4,9,2,Female,Lake Ashley,Online
73,193812,3.0,2,0.0,1,7,31,9,59588,105181,6,1,4,4,5,8,6,1,8,10,4,Other,Mitchelltown,Store
28,236863,3.9,12,5.0,9,7,48,4,45950,542,5,7,5,6,6,8,7,8,5,2,3,Other,Lake Michaeltown,Online
48,158409,5.8,14,0.0,2,2,41,5,37911,96659,5,1,6,6,6,8,10,9,1,1,7,Male,Lake Christinehaven,Online
23,47694,5.6,5,3.9,2,8,48,14,84374,36136,1,7,6,3,4,4,10,8,7,2,10,Male,Carolineshire,Online
20,178271,5.8,3,1.9,10,4,31,5,35800,90277,8,8,7,9,9,8,4,1,7,10,4,Male,Higginsport,Hybrid
26,15005,2.0,2,2.4,1,5,32,10,127948,117845,6,7,3,2,7,6,5,9,9,10,2,Male,Kevintown,Store
40,138997,7.2,6,2.8,5,2,36,19,96820,95070,1,3,6,5,8,10,1,9,4,2,6,Male,New Breannatown,Online
46,172045,7.6,5,4.4,9,7,19,2,127090,100328,1,5,1,1,2,1,2,1,1,1,8,Male,Lake Travis,Store
70,109410,4.3,11,2.0,1,9,0,13,29102,123235,8,0,3,3,3,2,8,2,2,6,8,Other,West Rebeccaland,Hybrid
48,112540,6.7,12,3.5,5,3,49,2,523,108004,5,4,7,1,10,5,6,9,1,5,7,Other,Vanessafurt,Hybrid
21,86512,1.9,11,1.0,6,7,22,18,86442,89751,8,9,1,7,10,3,7,4,4,4,8,Male,Richardborough,Store
32,115186,8.5,6,2.5,7,2,13,3,124354,5861,10,4,1,3,7,6,10,5,5,8,1,Female,Stephenstown,Store
79,132420,5.5,5,3.9,1,4,24,5,143784,123915,4,8,5,3,3,1,6,5,5,6,5,Other,Jenniferchester,Store
37,240098,6.7,7,4.7,3,10,24,5,137841,30394,7,3,6,5,6,10,2,8,10,10,1,Female,Porterland,Online
65,36629,5.3,12,2.0,9,1,44,12,51961,102941,3,6,2,3,7,2,1,6,9,6,9,Other,West Lynnview,Online
45,101512,5.3,2,0.9,4,4,15,8,57068,23636,10,3,3,2,5,4,9,6,1,7,2,Male,Port Chadtown,Hybrid
