age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
23,self-employed,divorced,secondary,yes,591,yes,yes,unknown,21,jun,1156,7,81,6,failure,no
48,retired,single,unknown,yes,-321,yes,no,telephone,19,jan,828,5,170,8,unknown,yes
37,self-employed,divorced,secondary,yes,10327,no,no,cellular,16,jun,1186,1,272,9,unknown,no
61,housemaid,married,tertiary,yes,2200,yes,yes,cellular,17,jul,342,4,91,3,failure,no
54,management,divorced,tertiary,no,1303,yes,no,unknown,27,sep,1042,4,172,5,other,no
38,housemaid,divorced,unknown,no,3664,yes,no,telephone,16,jul,297,4,5,4,unknown,no
63,technician,single,unknown,yes,5694,no,no,cellular,14,oct,122,2,-1,0,failure,no
83,unemployed,married,tertiary,no,4181,yes,no,unknown,1,jan,26,4,160,1,failure,no
55,student,married,unknown,no,539,no,yes,cellular,3,mar,531,1,-1,0,success,yes
68,unknown,single,secondary,no,153,no,no,unknown,26,aug,449,1,-1,3,unknown,no
44,blue-collar,married,primary,yes,15478,yes,no,unknown,29,jan,189,3,196,2,unknown,no
67,management,divorced,tertiary,no,1926,no,no,telephone,13,jun,200,3,433,6,failure,no
40,services,married,primary,no,3408,no,yes,cellular,30,aug,1072,1,97,2,unknown,yes
34,student,divorced,unknown,yes,-192,yes,yes,unknown,25,feb,533,4,98,9,failure,yes
49,admin.,married,tertiary,no,36034,yes,no,unknown,27,oct,274,2,314,0,other,no
39,housemaid,divorced,unknown,yes,4906,yes,yes,telephone,28,apr,1193,8,66,6,success,yes
62,retired,single,secondary,no,7184,no,no,cellular,11,dec,463,1,68,4,failure,yes
46,entrepreneur,divorced,tertiary,no,1838,no,yes,unknown,15,oct,167,2,-1,4,success,yes
51,entrepreneur,married,tertiary,no,18153,no,no,telephone,4,dec,1356,1,72,0,unknown,yes
66,management,married,tertiary,no,812,yes,no,unknown,7,jun,940,4,73,8,success,no
81,management,divorced,primary,no,8487,no,yes,cellular,1,may,463,4,378,1,unknown,yes
70,technician,divorced,tertiary,no,-120,yes,no,telephone,11,jul,1398,4,179,2,success,yes
34,services,divorced,tertiary,no,1522,no,yes,cellular,10,aug,150,2,-1,5,unknown,yes
45,services,single,tertiary,yes,587,yes,yes,cellular,18,dec,175,2,155,5,failure,no
22,technician,divorced,unknown,no,654,yes,yes,telephone,26,dec,1212,8,98,1,success,no
54,self-employed,married,tertiary,yes,130,yes,no,unknown,7,sep,112,12,75,12,unknown,no
38,services,divorced,secondary,yes,4499,no,no,telephone,22,mar,371,1,128,2,failure,no
39,entrepreneur,single,tertiary,no,-77,no,yes,cellular,22,may,967,1,290,4,success,no
53,housemaid,single,primary,no,1029,no,no,unknown,31,nov,1510,5,252,3,failure,no
33,admin.,married,unknown,yes,478,yes,yes,cellular,15,oct,1587,6,106,9,other,no
65,unemployed,married,secondary,no,12454,no,no,cellular,30,may,1835,5,153,0,unknown,no
55,unemployed,divorced,tertiary,no,2155,no,no,cellular,29,may,515,4,-1,1,unknown,yes
20,blue-collar,married,unknown,no,729,no,no,cellular,31,may,176,2,352,3,failure,yes
50,self-employed,married,secondary,no,38,no,yes,unknown,14,nov,520,3,88,10,failure,no
35,admin.,divorced,tertiary,no,624,no,no,cellular,19,mar,142,12,385,1,unknown,yes
38,retired,divorced,tertiary,no,4902,no,no,unknown,14,jun,820,20,157,9,success,yes
44,student,married,primary,yes,-168,yes,yes,cellular,22,aug,61,3,83,2,unknown,yes
42,unknown,single,primary,no,2166,yes,no,telephone,17,jul,254,6,135,0,unknown,no
41,admin.,divorced,primary,no,831,no,no,unknown,11,feb,1602,3,95,3,success,no
64,self-employed,married,primary,no,2318,no,no,unknown,31,aug,1035,9,318,6,unknown,yes
57,services,divorced,tertiary,no,-499,yes,yes,unknown,8,jan,756,4,134,0,other,yes
28,services,married,tertiary,no,-774,no,no,cellular,11,oct,177,24,190,0,unknown,yes
66,entrepreneur,married,primary,no,2246,yes,no,unknown,31,nov,57,6,-1,5,other,yes
40,blue-collar,divorced,secondary,yes,6701,no,no,cellular,25,dec,739,25,0,0,success,no
38,self-employed,divorced,unknown,no,369,yes,no,telephone,10,sep,1082,13,271,3,success,yes
56,student,divorced,primary,no,499,yes,no,cellular,27,mar,1306,2,78,3,unknown,yes
60,self-employed,married,tertiary,no,-66,yes,no,cellular,26,jun,60,1,165,1,failure,yes
73,self-employed,single,primary,yes,671,yes,no,telephone,17,feb,567,3,-1,3,success,no
37,retired,married,primary,yes,10833,yes,yes,unknown,28,aug,180,4,77,5,unknown,yes
49,housemaid,divorced,tertiary,no,-677,yes,no,unknown,13,dec,194,2,854,4,other,no
41,unemployed,single,unknown,yes,783,no,no,telephone,10,apr,141,2,827,8,unknown,yes
43,unemployed,single,primary,no,919,no,no,unknown,5,apr,411,11,78,0,success,no
36,technician,divorced,secondary,yes,3703,no,yes,cellular,19,apr,554,5,-1,0,failure,no
58,management,divorced,unknown,yes,7098,no,no,cellular,12,dec,2342,1,-1,2,other,yes
60,self-employed,divorced,primary,no,1651,yes,yes,unknown,17,sep,340,2,60,1,success,yes
44,services,divorced,unknown,yes,6969,no,no,cellular,21,apr,31,1,280,5,success,no
49,technician,married,tertiary,no,9266,yes,no,unknown,16,mar,255,1,219,6,other,yes
24,management,single,tertiary,no,556,yes,no,cellular,17,dec,229,4,56,2,failure,no
26,management,married,primary,yes,-11,no,no,telephone,16,apr,55,17,518,3,success,yes
28,self-employed,single,secondary,no,2330,yes,no,unknown,3,apr,102,4,41,4,failure,no
41,retired,single,primary,no,1557,yes,yes,unknown,3,mar,383,4,-1,0,unknown,yes
39,retired,divorced,secondary,yes,-2616,yes,no,unknown,15,oct,786,1,-1,3,success,no
34,admin.,married,secondary,yes,4947,no,yes,cellular,26,dec,1026,3,39,3,success,yes
31,housemaid,single,primary,yes,-1523,yes,no,unknown,20,jun,105,3,83,1,success,yes
37,retired,divorced,secondary,no,89,no,no,unknown,13,aug,1934,1,783,4,success,no
34,services,married,secondary,yes,329,yes,no,unknown,30,jun,572,16,102,5,success,no
49,management,single,unknown,yes,1132,no,yes,telephone,7,aug,2023,3,5,11,other,yes
38,services,single,tertiary,yes,1559,yes,yes,telephone,18,jun,56,2,28,0,other,yes
46,retired,married,unknown,no,2431,no,yes,telephone,18,feb,74,4,112,0,success,yes
51,unemployed,divorced,unknown,yes,434,no,no,cellular,11,apr,468,1,-1,2,success,yes
32,technician,single,primary,no,544,no,no,unknown,26,apr,190,6,175,4,success,yes
77,retired,married,secondary,yes,11828,no,no,telephone,4,jun,142,1,79,13,other,yes
43,housemaid,single,primary,yes,-197,yes,no,telephone,20,sep,223,27,-1,3,success,yes
30,blue-collar,single,tertiary,no,242,no,yes,cellular,9,aug,266,30,768,0,other,no
48,student,divorced,tertiary,yes,-85,no,yes,cellular,13,may,347,7,-1,2,unknown,yes
60,management,married,secondary,no,3938,yes,no,telephone,28,oct,520,2,55,10,failure,yes
55,retired,divorced,primary,yes,394,no,no,cellular,7,apr,622,3,70,2,other,yes
49,entrepreneur,married,primary,yes,540,yes,no,cellular,3,nov,1101,6,95,0,failure,no
