Student_ID,Age,Gender,Education_Level,City,AI_Tool_Used,Daily_Usage_Hours,Purpose,Impact_on_Grades,Satisfaction_Level
62,25,Female,College,East Joshua,Gemini,3.0,Research,No Change,Low
69,25,Female,School,Carlosfurt,Copilot,5.3,Coding,Improved,Low
59,25,Male,College,North Joditown,Copilot,0.7,Learning,Improved,High
-15,23,Female,College,East Patrick,Gemini,4.8,Learning,No Change,High
-37,25,Male,University,Marcustown,Copilot,1.3,Writing,Improved,Low
-22,21,Male,School,North Thomas,Copilot,0.6,Coding,Improved,Medium
44,24,Female,School,West Rachelmouth,Gemini,1.1,Research,Slight Decline,Medium
-66,25,Male,School,Kennethtown,Gemini,5.4,Coding,Slight Decline,Low
63,24,Female,University,Beckerbury,Gemini,0.6,Writing,Slight Decline,Low
40,24,Male,University,Kanemouth,Gemini,3.0,Research,Slight Decline,Medium
-20,18,Female,School,Medinastad,ChatGPT,1.4,Research,No Change,Medium
23,23,Female,University,Grantfort,Grammarly,2.9,Learning,Improved,Medium
-5,23,Female,College,Griffinhaven,ChatGPT,1.7,Writing,Improved,Medium
-41,16,Male,University,Davidmouth,ChatGPT,3.5,Research,Slight Decline,Medium
-5,25,Female,College,Colleenbury,Copilot,6.0,Learning,No Change,High
-8,25,Female,School,New Elizabethside,Copilot,2.1,Writing,No Change,High
230,23,Male,School,Josephport,Copilot,2.7,Writing,Improved,Low
-55,17,Male,University,Port Ian,ChatGPT,1.8,Research,Improved,High
16,15,Male,University,Lake Lorraine,Copilot,1.2,Writing,No Change,Low
-26,22,Female,School,Colemouth,ChatGPT,3.2,Research,Slight Decline,High
-7,25,Male,College,Susanstad,Copilot,0.8,Research,Slight Decline,Medium
39,24,Male,College,Sweeneyland,Gemini,2.6,Learning,Slight Decline,Medium
62,25,Male,College,Williamsmouth,Gemini,4.2,Coding,Improved,Medium
57,23,Female,School,Port Aliciahaven,Grammarly,2.1,Research,No Change,High
-40,23,Female,School,Joseborough,Copilot,2.2,Homework,Improved,Low
-4,25,Male,College,Shirleyburgh,ChatGPT,1.8,Learning,No Change,High
206,25,Male,School,West Kevinton,Copilot,2.5,Homework,No Change,Low
191,21,Female,School,Port Elizabethfurt,ChatGPT,2.3,Writing,Slight Decline,Low
-45,16,Male,School,West Austinburgh,Gemini,5.0,Learning,Slight Decline,High
-11,23,Female,School,Port Devin,Gemini,5.6,Homework,No Change,High
-1,22,Male,College,Butlerfurt,Grammarly,5.6,Research,Slight Decline,Low
6,20,Female,College,Ramosport,Gemini,2.2,Coding,No Change,High
-36,21,Male,College,South Tarachester,Grammarly,5.3,Learning,Improved,High
-52,25,Female,University,Navarroville,Gemini,0.8,Learning,Improved,Low
116,23,Female,College,South Debraville,Gemini,4.7,Learning,Improved,Low
2,17,Male,University,Lake Sara,Gemini,1.2,Writing,Improved,High
66,22,Male,University,Whiteburgh,Gemini,0.5,Writing,Slight Decline,Low
27,23,Male,University,North Michael,Gemini,2.7,Coding,Slight Decline,High
18,19,Male,College,Stanleyburgh,Gemini,1.0,Learning,Slight Decline,High
-11,18,Male,College,Port Kylefort,ChatGPT,0.8,Coding,Improved,Low
30,22,Male,College,Taylorfort,ChatGPT,4.6,Coding,Improved,High
2,17,Female,College,Paulbury,ChatGPT,0.8,Homework,Slight Decline,Low
16,19,Male,College,Fitzgeraldburgh,ChatGPT,0.5,Learning,Improved,High
3,24,Male,School,Amandaton,Gemini,3.5,Writing,No Change,Low
90,17,Male,College,Debrahaven,Gemini,6.0,Writing,No Change,Medium
-42,25,Female,University,Lake Sharon,Gemini,1.4,Writing,Slight Decline,Low
48,25,Female,School,New Louis,ChatGPT,0.8,Research,No Change,Medium
96,25,Female,University,Jamesport,ChatGPT,5.5,Research,Improved,High
50,21,Male,College,Adrianaberg,Copilot,0.9,Writing,Slight Decline,High
-40,24,Female,College,Lake Mistyberg,Notion AI,3.6,Coding,Slight Decline,Low
103,25,Male,College,West Cathyview,Gemini,6.0,Writing,Slight Decline,Medium
141,17,Male,College,Zacharyborough,Notion AI,0.9,Writing,Improved,High
40,15,Male,College,Frankborough,Gemini,1.7,Writing,Slight Decline,Medium
29,25,Male,College,Wardhaven,ChatGPT,4.5,Learning,No Change,High
96,23,Male,University,Rhondahaven,ChatGPT,0.5,Writing,Slight Decline,Medium
3,23,Male,College,West Elizabeth,Grammarly,4.2,Coding,No Change,Low
-27,25,Male,College,East Ericstad,ChatGPT,1.7,Writing,No Change,Medium
140,24,Female,University,Lake Stephanie,Grammarly,4.9,Research,Slight Decline,Low
-21,16,Male,College,Port Benjaminstad,ChatGPT,1.2,Learning,Slight Decline,Medium
95,25,Male,College,Brookshaven,Gemini,3.2,Learning,Slight Decline,High
37,25,Female,School,Debbieport,Copilot,2.7,Writing,Slight Decline,Low
-43,25,Male,School,Lake Andrewchester,Grammarly,2.6,Coding,Improved,High
36,22,Male,College,Lake Michael,Copilot,0.9,Coding,Improved,High
-8,24,Male,University,Port Kristina,ChatGPT,1.9,Research,Improved,Medium
12,25,Female,College,North Shannonside,ChatGPT,0.5,Writing,Improved,Medium
30,17,Female,College,Lake Alan,Grammarly,0.5,Learning,Slight Decline,Medium
-16,25,Female,College,Martinezbury,Gemini,4.3,Writing,Slight Decline,High
96,25,Female,School,Lake Scottville,ChatGPT,2.0,Coding,Improved,High
24,19,Female,University,Bennettbury,Copilot,2.8,Writing,Slight Decline,High
-34,25,Male,University,West Jessica,ChatGPT,1.1,Homework,Improved,Medium
116,25,Male,University,Vancehaven,Gemini,1.7,Writing,No Change,High
26,22,Male,College,West Christychester,Copilot,0.6,Research,No Change,Low
-44,21,Female,College,South Sarah,ChatGPT,0.6,Writing,Slight Decline,High
172,24,Male,University,Keithfurt,Copilot,1.3,Research,No Change,Low
-22,20,Female,College,Brittanystad,Copilot,1.0,Writing,Improved,Medium
36,24,Male,University,Micheleport,Copilot,0.8,Writing,No Change,Low
93,25,Female,University,East Zachary,ChatGPT,6.0,Learning,Slight Decline,High
34,23,Male,School,Marshland,Grammarly,2.8,Coding,Improved,High
-46,25,Female,College,Carterton,Gemini,4.6,Research,Slight Decline,High
-33,25,Male,College,East Christopher,Gemini,2.0,Writing,Improved,High
-43,23,Male,University,Starkland,Copilot,0.5,Coding,Improved,Medium
