job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
AI Engineer,Startup,E-commerce,Canada,Onsite,Mid,10,PhD,1,0,1,0,1,106657,12,2020,High,1
Data Engineer,Startup,Education,USA,Hybrid,Mid,7,Bachelor,1,1,1,0,1,99261,1,2021,Low,7
Data Analyst,MNC,E-commerce,UK,Remote,Senior,12,Bachelor,1,0,0,0,1,109027,9,2022,High,4
Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Senior,3,Master,1,1,0,0,0,115825,10,2025,Medium,4
Machine Learning Engineer,Medium,Education,Canada,Onsite,Entry,14,Bachelor,1,0,1,0,0,115336,1,2024,Low,4
Machine Learning Engineer,Enterprise,Education,UK,Remote,Mid,11,PhD,1,1,1,1,0,93161,8,2026,Medium,9
Business Analyst,Medium,E-commerce,USA,Hybrid,Senior,11,PhD,1,1,0,0,0,70983,10,2020,Low,7
Data Scientist,Medium,E-commerce,India,Onsite,Senior,13,Master,1,0,0,0,1,124337,1,2025,High,7
Business Analyst,Startup,Healthcare,India,Onsite,Senior,7,Bachelor,0,1,1,1,1,45083,10,2024,High,1
Data Analyst,Enterprise,Education,India,Onsite,Senior,4,Bachelor,0,1,1,0,1,96596,1,2021,High,1
Data Engineer,Enterprise,Finance,Australia,Onsite,Senior,3,PhD,0,0,0,1,1,67398,1,2023,High,4
AI Engineer,MNC,Retail,USA,Onsite,Entry,2,Master,0,0,0,0,0,125806,6,2022,High,8
Machine Learning Engineer,Startup,Technology,India,Remote,Senior,12,PhD,0,1,1,1,1,107830,7,2026,Medium,7
Data Scientist,MNC,Healthcare,Germany,Remote,Mid,14,Bachelor,1,0,0,1,1,102316,6,2020,Low,6
AI Engineer,Startup,Technology,India,Hybrid,Entry,1,PhD,0,1,1,1,1,133121,1,2022,High,6
Data Analyst,Enterprise,Retail,Singapore,Remote,Mid,5,PhD,0,0,0,1,1,93101,12,2025,Low,2
Data Engineer,Startup,Education,Canada,Onsite,Mid,14,PhD,0,1,1,0,0,151027,3,2023,High,4
Data Analyst,Medium,Education,UK,Hybrid,Senior,12,PhD,0,0,0,1,0,200100,12,2020,High,2
Business Analyst,Enterprise,Technology,Canada,Hybrid,Entry,12,PhD,0,1,1,0,1,92225,11,2024,Low,1
Machine Learning Engineer,Startup,Retail,Australia,Remote,Senior,11,Master,0,1,1,1,1,49181,12,2020,High,5
Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Senior,1,Bachelor,1,0,0,0,1,155388,8,2022,Medium,7
Data Analyst,Startup,Technology,India,Remote,Entry,14,Bachelor,1,0,0,0,0,90423,3,2021,Medium,6
