job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
AI Engineer,Medium,E-commerce,Canada,Hybrid,Mid,12,PhD,1,0,1,0,0,131979,12,2020,High,1
Data Engineer,Startup,Finance,UK,Hybrid,Mid,4,PhD,1,1,1,0,0,117397,1,2021,High,7
Data Analyst,MNC,E-commerce,UK,Remote,Entry,11,Master,1,0,0,0,1,164995,9,2022,High,4
Data Analyst,MNC,Healthcare,Canada,Remote,Entry,2,Master,1,1,0,1,0,136179,4,2025,High,4
Machine Learning Engineer,Medium,Education,Canada,Hybrid,Entry,0,Master,1,0,1,0,0,78587,1,2024,High,4
Data Engineer,Enterprise,Education,Australia,Hybrid,Mid,12,PhD,1,1,1,1,0,101519,8,2026,Medium,9
Data Engineer,Startup,Education,USA,Hybrid,Entry,12,PhD,1,1,1,1,0,85777,2,2025,Low,5
Data Analyst,Medium,E-commerce,Canada,Onsite,Entry,7,Master,1,0,0,1,1,192204,1,2025,High,7
Data Engineer,Startup,Healthcare,India,Hybrid,Mid,7,Bachelor,0,1,1,1,1,204143,2,2023,High,3
Data Analyst,Enterprise,Healthcare,India,Onsite,Mid,6,Bachelor,1,1,1,0,1,119927,6,2021,High,1
Data Engineer,MNC,Finance,Australia,Onsite,Mid,4,Bachelor,0,0,0,1,0,109014,1,2023,High,4
AI Engineer,MNC,Retail,USA,Onsite,Mid,3,Master,0,1,0,1,0,144938,6,2023,High,1
AI Engineer,Startup,Finance,USA,Remote,Entry,8,PhD,0,0,1,1,0,129398,7,2026,Medium,7
Data Scientist,Enterprise,Healthcare,Singapore,Remote,Mid,12,Bachelor,1,1,1,1,0,155882,5,2020,High,6
AI Engineer,Enterprise,Technology,India,Hybrid,Entry,1,PhD,0,1,1,1,0,184834,7,2025,High,6
Data Scientist,Startup,Retail,Canada,Onsite,Mid,0,PhD,0,0,1,1,1,147020,1,2024,High,4
Data Engineer,Startup,Education,Canada,Hybrid,Entry,10,PhD,0,1,1,0,0,112677,3,2023,High,4
Data Analyst,Medium,Education,UK,Hybrid,Senior,7,PhD,1,0,0,1,0,204143,12,2020,High,4
Machine Learning Engineer,Enterprise,Education,Canada,Hybrid,Mid,12,PhD,0,1,1,0,0,167379,1,2024,High,1
Machine Learning Engineer,Startup,Finance,Australia,Onsite,Senior,8,Master,1,1,1,1,1,45083,1,2020,Low,5
Machine Learning Engineer,Enterprise,Finance,India,Hybrid,Senior,0,Bachelor,1,0,0,1,1,202138,1,2023,Medium,7
Data Analyst,Startup,Technology,UK,Remote,Entry,14,Bachelor,1,0,0,0,0,67699,1,2022,High,6
Business Analyst,Medium,Healthcare,Canada,Hybrid,Mid,5,Master,0,1,1,0,0,175630,12,2023,Low,6
Data Analyst,MNC,Healthcare,Australia,Hybrid,Mid,8,PhD,0,1,1,1,1,157757,8,2020,Low,9
Machine Learning Engineer,Enterprise,Finance,Australia,Onsite,Entry,4,Bachelor,0,1,1,1,1,135766,4,2021,High,5
Machine Learning Engineer,MNC,Healthcare,Germany,Onsite,Mid,11,Bachelor,1,0,0,1,0,204143,1,2022,Medium,1
Data Scientist,Enterprise,Retail,India,Remote,Entry,1,Bachelor,1,1,1,1,0,113241,4,2025,Low,9
Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,12,Master,0,0,0,0,0,155654,6,2025,High,1
Machine Learning Engineer,Medium,Retail,Canada,Hybrid,Entry,4,Bachelor,1,0,0,0,1,122632,3,2025,Low,4
Data Scientist,Startup,Retail,USA,Remote,Mid,8,Master,1,1,1,1,1,99767,2,2024,High,2
Data Engineer,Startup,Healthcare,Canada,Hybrid,Entry,9,Master,1,1,0,1,1,196894,9,2023,Medium,8
Machine Learning Engineer,Enterprise,Retail,India,Hybrid,Mid,2,Master,1,0,1,1,1,125453,7,2022,High,1
Machine Learning Engineer,Startup,Retail,Germany,Hybrid,Senior,12,Bachelor,1,1,1,1,0,193504,5,2025,High,5
Data Engineer,Enterprise,Healthcare,Canada,Remote,Mid,5,Bachelor,1,0,0,1,0,85291,3,2020,High,3
Business Analyst,MNC,Education,Australia,Remote,Mid,8,Bachelor,1,1,1,0,0,132115,4,2021,Low,4
Data Scientist,Enterprise,Finance,Canada,Remote,Mid,8,PhD,1,0,0,0,0,129145,6,2026,Low,9
Machine Learning Engineer,Startup,Education,Canada,Remote,Mid,2,Master,0,0,1,0,0,147179,11,2024,High,2
Machine Learning Engineer,Startup,Retail,Canada,Remote,Senior,8,Bachelor,0,1,1,1,0,164738,2,2026,High,3
Business Analyst,Medium,Technology,USA,Remote,Mid,13,Bachelor,0,0,1,1,0,95312,1,2020,Low,7
Machine Learning Engineer,MNC,Retail,Singapore,Remote,Mid,0,Bachelor,1,1,1,1,1,81531,3,2026,High,2
AI Engineer,Enterprise,Finance,USA,Remote,Mid,9,Bachelor,1,0,1,0,1,169966,2,2024,Medium,3
Business Analyst,Enterprise,Healthcare,Canada,Remote,Mid,0,Bachelor,0,0,1,0,0,127602,3,2026,High,8
Business Analyst,Medium,Retail,Canada,Onsite,Mid,12,PhD,1,0,0,1,0,127704,6,2021,High,1
Business Analyst,Enterprise,Retail,Singapore,Remote,Mid,13,Master,0,1,1,1,0,161804,4,2023,High,8
AI Engineer,MNC,Technology,Canada,Onsite,Mid,5,Bachelor,0,0,0,0,1,79857,7,2020,High,1
Data Engineer,Medium,Healthcare,UK,Hybrid,Mid,7,PhD,1,0,1,1,0,204143,12,2021,High,5
Data Scientist,Enterprise,Education,Canada,Remote,Senior,9,Master,1,1,0,0,0,83110,3,2021,High,1
AI Engineer,Enterprise,Technology,USA,Remote,Entry,10,Master,0,0,1,1,0,119077,10,2022,High,4
Data Analyst,Startup,Retail,USA,Remote,Entry,7,Bachelor,0,1,1,1,0,185834,1,2024,High,6
Data Engineer,MNC,Finance,Singapore,Onsite,Mid,8,PhD,1,0,1,1,1,134006,11,2021,High,7
AI Engineer,MNC,Education,USA,Onsite,Entry,0,Bachelor,1,1,0,1,1,134460,2,2026,High,7
Machine Learning Engineer,MNC,Retail,India,Remote,Entry,12,Bachelor,1,1,0,1,1,130276,1,2024,Medium,5
Data Analyst,Startup,Technology,USA,Remote,Mid,0,PhD,1,1,1,0,0,126630,6,2021,Low,4
AI Engineer,MNC,Retail,Singapore,Remote,Mid,7,Master,1,1,1,1,0,119488,8,2023,High,4
AI Engineer,Medium,Healthcare,Singapore,Remote,Senior,0,PhD,0,1,1,1,1,192560,11,2023,Low,3
Business Analyst,Medium,E-commerce,UK,Remote,Senior,13,PhD,0,1,1,0,1,127615,6,2020,Low,5
Data Scientist,Enterprise,Technology,Singapore,Onsite,Mid,6,Master,1,1,1,0,1,148016,8,2024,High,1
Machine Learning Engineer,MNC,Finance,UK,Onsite,Mid,2,Bachelor,1,1,1,0,0,160513,6,2026,Medium,6
Data Scientist,MNC,Healthcare,Canada,Remote,Senior,5,Bachelor,1,1,1,0,0,116657,1,2023,High,9
Data Engineer,MNC,Technology,Germany,Hybrid,Mid,2,PhD,1,1,0,1,0,196617,11,2026,Medium,1
AI Engineer,Startup,E-commerce,Germany,Hybrid,Mid,8,Master,0,0,0,0,0,136727,3,2022,High,4
Data Scientist,Startup,Healthcare,USA,Onsite,Entry,11,Bachelor,1,1,1,1,0,133647,6,2023,High,3
Data Analyst,Medium,Education,UK,Hybrid,Mid,12,PhD,0,1,0,1,1,119111,9,2023,Medium,4
Data Analyst,Enterprise,Healthcare,UK,Remote,Entry,8,PhD,1,1,1,0,0,87749,8,2026,Low,1
Machine Learning Engineer,Enterprise,Healthcare,Singapore,Remote,Entry,2,Master,1,1,1,0,0,121001,4,2023,High,7
AI Engineer,Enterprise,Technology,Canada,Hybrid,Mid,10,Master,1,0,0,1,0,155337,5,2022,High,4
Data Engineer,Enterprise,Healthcare,Australia,Remote,Senior,5,Bachelor,1,0,0,0,0,173851,3,2023,High,5
Data Scientist,Startup,Retail,Germany,Remote,Mid,2,PhD,0,0,1,0,1,104261,8,2023,High,6
AI Engineer,Enterprise,E-commerce,Canada,Remote,Senior,8,Master,1,0,1,0,1,189749,6,2023,High,6
Data Analyst,Startup,Technology,Singapore,Onsite,Mid,14,PhD,1,1,0,0,0,175036,8,2021,Medium,9
Data Scientist,Medium,Education,Singapore,Hybrid,Mid,4,Master,0,1,0,1,0,159284,11,2020,High,1
Business Analyst,MNC,Finance,India,Hybrid,Entry,7,Bachelor,0,1,0,1,0,188685,4,2022,Low,1
Business Analyst,Enterprise,Healthcare,Germany,Onsite,Entry,7,PhD,1,1,0,1,0,133364,1,2025,High,3
Data Analyst,Enterprise,Healthcare,Australia,Remote,Mid,11,Bachelor,1,0,0,1,0,201670,7,2023,High,2
Data Analyst,Medium,Healthcare,Canada,Hybrid,Mid,8,Master,1,1,1,0,0,114999,4,2022,High,6
Machine Learning Engineer,Medium,Education,India,Remote,Entry,1,Bachelor,0,0,1,1,0,203015,4,2020,High,6
Data Analyst,MNC,E-commerce,USA,Remote,Entry,0,PhD,1,1,0,1,0,66160,1,2020,High,7
Data Engineer,Startup,E-commerce,Singapore,Hybrid,Senior,4,Master,1,0,1,0,0,180437,4,2026,Medium,7
Data Engineer,Startup,Education,UK,Remote,Mid,4,Master,1,0,1,0,0,45083,7,2024,High,8
Machine Learning Engineer,Enterprise,Finance,Singapore,Remote,Mid,12,Bachelor,1,0,0,1,0,149210,2,2023,High,7
Machine Learning Engineer,Startup,Healthcare,Australia,Remote,Mid,0,Bachelor,1,0,0,1,1,57931,4,2023,High,7
Business Analyst,Startup,Education,USA,Remote,Entry,13,Master,1,1,0,1,1,86929,1,2024,Medium,8
Business Analyst,Enterprise,Healthcare,Canada,Remote,Entry,6,Master,0,1,1,1,1,191210,8,2022,Low,9
Business Analyst,Medium,Finance,Singapore,Remote,Entry,0,Master,1,1,0,1,1,94211,2,2024,High,7
Data Analyst,MNC,Healthcare,Canada,Hybrid,Mid,9,Bachelor,0,1,0,1,1,103857,6,2021,High,3
AI Engineer,Medium,Education,USA,Remote,Entry,2,Master,0,1,0,0,1,66939,1,2025,High,1
Machine Learning Engineer,Enterprise,Technology,Germany,Remote,Mid,10,PhD,1,0,1,0,0,130387,2,2024,High,3
AI Engineer,Medium,Retail,Germany,Onsite,Mid,2,Bachelor,1,0,0,1,0,202513,2,2022,High,7
Data Scientist,Enterprise,Healthcare,Canada,Hybrid,Entry,4,Bachelor,1,0,1,0,0,45083,3,2026,High,9
Machine Learning Engineer,Startup,Healthcare,Germany,Onsite,Entry,6,PhD,0,1,1,1,0,74429,1,2021,Low,5
AI Engineer,Enterprise,Retail,Singapore,Remote,Mid,9,Bachelor,1,1,0,0,0,129887,1,2021,High,8
Data Scientist,Enterprise,Education,Germany,Hybrid,Mid,1,Bachelor,1,1,1,1,0,118715,9,2024,High,5
Data Scientist,Medium,Technology,Canada,Remote,Mid,1,PhD,0,0,1,0,1,204143,4,2021,High,6
AI Engineer,Startup,Technology,Canada,Remote,Entry,14,Bachelor,1,1,0,1,0,189513,12,2024,Low,4
Data Engineer,Enterprise,Healthcare,Singapore,Onsite,Mid,7,PhD,1,0,0,0,0,130607,4,2025,Medium,3
Business Analyst,Startup,Technology,Singapore,Remote,Senior,3,PhD,1,1,1,1,1,86514,8,2023,Low,3
Data Scientist,MNC,Finance,Canada,Onsite,Senior,7,Master,0,0,0,0,1,115587,2,2021,High,7
AI Engineer,Startup,Finance,Australia,Remote,Senior,5,Master,1,0,1,0,0,135104,7,2025,High,3
Data Scientist,MNC,Technology,USA,Hybrid,Mid,0,Bachelor,1,0,1,0,1,109563,4,2024,High,3
Machine Learning Engineer,MNC,Technology,Australia,Remote,Entry,1,Bachelor,1,1,1,1,1,193754,11,2024,High,4
Machine Learning Engineer,Enterprise,E-commerce,UK,Remote,Mid,7,PhD,1,1,0,1,1,45083,6,2025,Medium,3
Data Analyst,Startup,Retail,Germany,Remote,Entry,13,Master,1,0,0,0,0,52429,3,2024,High,7
Data Analyst,Startup,Retail,Australia,Remote,Entry,3,Bachelor,0,1,0,1,1,119518,2,2026,High,4
Data Engineer,Enterprise,Technology,Canada,Onsite,Mid,11,Master,0,0,1,1,0,96533,2,2023,High,5
Machine Learning Engineer,Medium,Technology,Australia,Remote,Entry,0,Master,1,1,1,0,0,121644,2,2025,Medium,3
Data Engineer,Startup,E-commerce,India,Remote,Mid,9,Bachelor,0,0,0,0,0,129503,6,2026,Low,5
Data Analyst,MNC,Education,USA,Hybrid,Mid,1,PhD,0,0,0,0,0,190541,7,2021,High,6
Machine Learning Engineer,Startup,Education,Australia,Hybrid,Entry,14,Master,1,0,0,0,1,111613,1,2020,High,2
AI Engineer,Startup,E-commerce,USA,Hybrid,Senior,0,Master,1,0,0,1,0,87935,2,2021,High,1
Data Analyst,Enterprise,Healthcare,Singapore,Onsite,Entry,14,PhD,1,0,1,0,0,108579,1,2025,Low,5
Data Analyst,MNC,Healthcare,India,Remote,Mid,2,Bachelor,1,1,0,0,1,96401,5,2026,Low,3
Data Analyst,Medium,Finance,Canada,Remote,Mid,9,PhD,1,1,1,1,1,159108,1,2026,High,6
Data Analyst,MNC,Education,Germany,Remote,Mid,4,Bachelor,1,0,0,1,1,78774,6,2021,High,7
AI Engineer,Medium,E-commerce,UK,Remote,Senior,0,PhD,1,0,0,0,0,121162,1,2025,Low,9
Machine Learning Engineer,Startup,E-commerce,Canada,Onsite,Mid,8,Bachelor,1,0,0,1,0,111825,1,2025,High,6
Machine Learning Engineer,Enterprise,Retail,UK,Remote,Entry,12,Bachelor,0,0,1,1,0,90329,6,2022,High,1
Machine Learning Engineer,Medium,E-commerce,Australia,Hybrid,Entry,0,Bachelor,1,0,0,0,0,174220,6,2021,High,6
Data Analyst,Enterprise,Retail,Australia,Onsite,Mid,0,Bachelor,1,1,1,0,1,187169,7,2025,High,6
Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,14,Bachelor,0,0,1,1,1,157502,10,2022,High,4
Business Analyst,Enterprise,Finance,Canada,Remote,Mid,8,Bachelor,0,1,1,1,0,127039,4,2024,High,1
Data Analyst,Medium,Education,Singapore,Hybrid,Mid,4,PhD,0,0,1,0,0,184270,11,2021,High,6
Machine Learning Engineer,Enterprise,Education,Singapore,Remote,Mid,2,Bachelor,1,0,0,0,0,161255,3,2024,Low,4
Data Engineer,Enterprise,Education,UK,Onsite,Entry,9,PhD,0,0,1,0,0,151091,11,2025,Medium,6
Data Scientist,Medium,E-commerce,Canada,Onsite,Mid,4,Bachelor,1,0,0,1,0,197607,12,2026,Medium,2
Data Scientist,Startup,Retail,Australia,Hybrid,Mid,14,Bachelor,0,0,0,1,0,77233,6,2025,High,7
Business Analyst,Medium,E-commerce,USA,Remote,Entry,6,PhD,1,1,1,0,0,64665,3,2024,High,3
Machine Learning Engineer,Medium,E-commerce,India,Remote,Mid,13,PhD,1,0,0,1,1,100505,11,2022,High,5
Data Analyst,Enterprise,Finance,UK,Hybrid,Entry,10,Bachelor,1,0,1,1,0,117156,3,2024,High,8
Data Engineer,MNC,Education,Canada,Onsite,Entry,8,PhD,1,0,1,1,1,127183,6,2022,High,6
AI Engineer,Enterprise,Technology,Canada,Onsite,Mid,7,Bachelor,1,0,1,0,0,147857,1,2024,High,2
Data Engineer,Startup,Healthcare,Australia,Remote,Senior,10,Master,0,0,1,0,1,114021,9,2024,Low,7
Data Analyst,Enterprise,E-commerce,Germany,Remote,Entry,10,Bachelor,1,1,1,0,0,72221,2,2020,Medium,2
Data Engineer,Startup,Education,India,Onsite,Mid,3,Master,0,0,1,1,1,74641,2,2025,Low,1
Machine Learning Engineer,Medium,Healthcare,UK,Onsite,Mid,1,Master,1,1,0,1,0,204143,12,2023,High,3
Data Scientist,MNC,Education,India,Hybrid,Mid,0,Master,1,1,1,1,0,146735,3,2026,High,5
Data Engineer,Enterprise,E-commerce,UK,Remote,Mid,1,Bachelor,0,0,0,1,1,128556,8,2023,High,7
Data Scientist,Enterprise,Finance,Canada,Onsite,Mid,14,Bachelor,1,1,1,0,0,134054,11,2021,High,7
Data Engineer,Enterprise,Technology,UK,Remote,Senior,1,PhD,1,0,1,0,0,112048,3,2024,High,1
Data Analyst,MNC,Finance,USA,Hybrid,Entry,9,PhD,1,1,1,1,1,146097,12,2022,Low,4
Data Scientist,Enterprise,Healthcare,Canada,Remote,Entry,13,Master,1,1,1,1,0,155315,3,2023,Low,4
Data Analyst,Enterprise,E-commerce,India,Remote,Mid,9,Master,1,0,1,1,1,69601,4,2021,High,1
Data Analyst,MNC,E-commerce,USA,Hybrid,Entry,8,PhD,1,0,0,0,0,59673,9,2026,High,7
Machine Learning Engineer,MNC,E-commerce,Australia,Hybrid,Entry,11,Master,0,1,1,1,0,204143,1,2020,High,8
Data Analyst,MNC,Technology,UK,Remote,Mid,5,Master,0,0,0,1,0,122456,9,2024,High,1
Machine Learning Engineer,Enterprise,Education,UK,Remote,Mid,8,PhD,1,0,1,0,0,145654,3,2020,High,1
Data Engineer,MNC,Healthcare,Canada,Hybrid,Mid,1,Bachelor,1,1,1,0,1,146167,3,2023,High,5
Data Analyst,Enterprise,Healthcare,Canada,Remote,Entry,2,PhD,0,1,1,1,1,116029,9,2020,High,1
Business Analyst,Enterprise,Retail,Australia,Remote,Entry,14,PhD,0,1,1,1,0,45083,1,2026,High,3
Data Analyst,Enterprise,Education,Canada,Onsite,Mid,0,PhD,1,1,0,1,0,135285,1,2024,Medium,2
Data Scientist,Startup,Retail,UK,Remote,Mid,8,Master,0,1,1,1,0,111811,2,2023,Medium,1
Data Scientist,MNC,Retail,Singapore,Remote,Mid,5,PhD,0,0,0,1,0,58954,3,2023,Medium,6
Data Engineer,Enterprise,Healthcare,Germany,Remote,Senior,10,PhD,1,0,1,1,0,75698,8,2023,High,6
Data Engineer,Medium,Finance,Singapore,Hybrid,Mid,4,Bachelor,1,1,1,1,0,45339,12,2020,High,7
Data Engineer,MNC,Technology,UK,Hybrid,Mid,3,PhD,0,0,1,1,0,87212,5,2022,Medium,3
Data Analyst,Enterprise,Education,USA,Remote,Mid,13,Master,0,1,0,1,0,131699,11,2020,High,2
Data Analyst,Medium,Retail,India,Remote,Mid,14,Bachelor,1,0,0,0,1,121993,11,2026,High,5
Data Scientist,MNC,Technology,USA,Hybrid,Mid,4,PhD,1,1,0,0,1,74855,2,2026,Medium,2
AI Engineer,MNC,Retail,Germany,Hybrid,Senior,14,PhD,0,0,1,0,1,121194,1,2023,High,3
Data Engineer,Enterprise,Technology,India,Hybrid,Senior,7,Master,1,0,0,0,0,153047,8,2021,Medium,7
AI Engineer,Medium,Retail,Singapore,Hybrid,Mid,12,PhD,1,1,1,1,0,204143,1,2026,High,4
Machine Learning Engineer,Startup,Technology,USA,Onsite,Mid,2,Master,1,0,0,0,0,118910,1,2023,High,2
Business Analyst,Enterprise,Healthcare,India,Remote,Senior,13,Bachelor,1,1,0,1,1,171178,7,2020,High,6
Data Scientist,Startup,E-commerce,USA,Onsite,Mid,3,PhD,1,0,1,0,0,52347,4,2026,High,6
Data Engineer,MNC,Finance,India,Hybrid,Entry,8,Master,1,1,1,1,1,88906,2,2025,High,8
