crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,b,lstat,medv
1.70132,0.0,5.93,0,0.4979,5.037,87.0,9.1069,5,370,19.9,396.9,20.99,27.5
1.33779,0.0,15.47,0,0.3876,7.283,33.2,9.0806,5,250,12.8,396.9,25.03,11.7
1.74057,0.0,15.64,0,0.845,5.032,100.0,3.7005,1,385,16.0,391.51,20.95,28.4
6.07168,0.4,15.37,0,0.5397,5.337,100.0,4.5401,5,187,17.7,396.9,6.37,28.4
14.6141,0.0,21.14,1,0.3909,4.885,91.4,5.7814,24,340,17.3,396.9,23.49,22.7
1.53021,0.0,9.71,0,0.388,5.071,100.0,5.748,2,315,20.3,396.9,3.28,24.0
1.14674,1.1,1.02,0,0.4081,5.225,64.2,2.5455,4,591,13.6,396.9,19.36,25.3
19.11272,20.0,10.02,1,0.4664,5.746,67.4,9.1828,24,398,16.5,396.9,7.99,19.9
1.08972,0.0,16.54,0,0.4989,6.186,93.9,4.4617,3,421,14.9,396.9,13.1,41.3
1.72781,68.8,18.29,0,0.6402,5.538,99.6,2.4736,3,359,18.6,396.9,14.63,10.5
2.21342,0.0,18.99,0,0.5475,7.36,100.0,10.7008,4,225,17.6,396.9,13.38,50.0
1.41995,0.0,5.8,0,0.4116,7.622,100.0,5.3736,3,187,12.6,396.9,4.99,27.6
1.07451,0.3,0.46,0,0.6077,6.08,100.0,7.0743,4,599,18.7,396.9,22.16,44.3
33.40124,0.0,16.22,0,0.5623,5.541,92.6,3.0847,24,300,20.2,396.9,7.46,24.6
9.67259,0.0,15.27,0,0.551,5.67,100.0,4.7439,5,409,13.9,396.9,23.34,27.3
9.07303,0.0,16.67,0,0.5451,5.41,100.0,2.8885,5,234,16.5,396.9,16.18,11.5
12.31952,0.0,16.62,0,0.6422,5.077,100.0,7.5022,6,282,16.0,396.9,25.76,26.5
2.26031,6.9,0.46,0,0.51,5.98,58.5,2.8071,5,357,12.9,364.82,13.66,24.9
20.98899,42.4,15.82,0,0.5833,6.491,72.7,6.2904,5,426,19.6,396.9,7.09,50.0
5.13472,0.0,8.39,1,0.5846,5.37,42.1,3.7388,3,427,18.5,396.9,6.9,27.0
21.3364,0.0,14.94,0,0.4839,5.425,100.0,5.1807,4,594,19.5,396.9,23.77,26.0
1.99265,0.0,15.75,0,0.5801,6.681,100.0,2.51,1,398,16.3,278.63,20.19,25.2
0.43433,0.0,2.45,0,0.5741,4.549,100.0,6.1421,7,429,17.4,396.9,12.59,45.4
11.74195,0.0,0.46,0,0.4742,6.043,37.0,2.385,24,658,17.2,396.9,21.62,27.2
2.29015,0.0,15.79,0,0.5911,7.063,100.0,3.2869,2,703,16.8,396.9,16.25,22.5
2.08481,0.6,15.52,0,0.4955,5.322,64.1,2.9931,24,342,19.5,396.9,11.28,19.0
0.43059,2.0,15.79,0,0.5155,4.053,82.7,9.7236,2,448,20.0,386.53,6.77,23.0
2.16146,0.0,0.46,1,0.5736,6.295,57.1,6.6719,24,269,17.7,396.9,21.36,34.9
17.70318,0.0,1.87,0,0.6621,4.208,82.9,4.2755,5,641,17.9,396.9,7.73,26.3
2.33387,0.0,15.71,1,0.5782,6.385,79.8,3.0788,5,307,20.2,375.51,15.26,26.1
31.20288,0.0,15.78,0,0.715,5.111,93.3,3.7506,6,326,18.5,396.9,6.79,14.3
1.43856,0.0,0.46,0,0.7121,5.617,80.2,8.7194,5,366,18.6,396.9,7.83,25.2
0.64561,0.0,2.91,0,0.385,7.454,100.0,3.9307,4,204,19.2,396.9,21.3,22.5
9.66021,2.8,16.18,1,0.5027,5.679,80.2,8.6368,4,380,17.8,396.9,14.67,25.4
11.17489,0.0,18.02,1,0.5705,6.07,48.7,7.0389,3,187,12.6,359.67,27.1,15.0
2.40567,41.5,15.6,0,0.647,4.98,65.5,9.126,2,590,17.4,396.9,9.94,24.0
1.42013,1.4,0.46,0,0.6694,5.106,45.7,3.5966,5,227,16.7,396.9,13.98,25.7
1.69961,0.0,16.78,0,0.4706,5.476,99.9,2.1513,4,196,18.0,396.9,19.43,22.2
1.04565,0.0,16.82,0,0.5101,4.969,79.4,5.5012,6,679,17.2,396.9,14.67,21.4
0.57185,0.0,5.18,0,0.4225,4.907,100.0,2.2899,3,649,19.2,396.9,9.66,30.0
1.77121,0.0,16.58,0,0.6689,5.651,59.3,2.1248,4,378,12.8,396.9,13.53,20.0
11.84695,0.0,16.33,0,0.482,6.418,65.7,4.4013,4,640,13.7,395.89,21.23,25.5
1.97009,2.4,0.46,0,0.4302,5.85,85.3,4.4673,4,677,15.9,396.9,25.47,27.2
18.54384,0.0,15.71,0,0.6574,5.109,97.8,3.1216,5,326,17.0,396.9,19.56,22.7
20.36887,0.1,0.46,1,0.5698,5.699,66.2,3.7344,1,255,12.6,396.9,11.6,34.3
11.74554,0.0,0.46,0,0.5327,5.829,100.0,3.8326,2,338,12.6,396.9,20.38,25.7
1.98567,1.0,15.61,0,0.385,6.135,78.8,6.4151,2,383,19.7,396.9,13.48,31.4
0.27791,0.0,15.48,1,0.5731,6.483,62.8,3.1482,6,607,17.2,396.9,17.67,24.4
1.82111,0.0,16.08,0,0.871,5.192,97.5,3.3442,5,266,18.0,384.74,26.18,26.2
18.42964,0.6,16.97,1,0.4277,5.845,94.3,3.4988,4,595,19.7,396.9,18.41,25.6
2.17847,0.0,17.23,0,0.3923,5.871,81.4,8.9945,5,599,17.0,396.9,14.62,29.1
11.47909,0.0,18.97,0,0.4745,5.929,36.6,6.4355,3,450,16.8,396.9,22.55,50.0
1.18462,0.0,17.09,1,0.6493,5.837,92.1,6.0973,24,633,19.0,385.95,10.79,28.7
7.70327,1.1,3.63,0,0.4913,5.265,67.2,4.8037,3,303,16.6,382.39,5.74,50.0
1.45318,0.0,26.36,0,0.5856,5.606,23.3,8.0435,3,344,12.6,396.9,14.94,22.4
1.43832,17.2,19.05,0,0.5256,4.868,88.2,5.708,2,603,12.6,396.9,11.87,34.4
1.69608,0.0,3.47,0,0.5507,5.078,41.2,4.5821,24,398,12.6,396.9,22.71,47.8
1.68888,0.0,3.44,0,0.6793,5.632,100.0,5.9317,24,224,14.6,396.11,15.08,25.4
1.64329,0.0,15.65,0,0.4617,5.259,100.0,6.1242,24,361,12.6,396.9,27.21,39.3
8.62424,0.0,8.28,0,0.4128,4.529,100.0,1.6424,6,685,16.7,395.47,19.93,27.8
0.63577,0.1,6.23,0,0.5552,7.017,100.0,5.1995,24,363,15.8,396.9,14.26,50.0
9.79541,0.0,16.32,0,0.419,5.689,54.6,3.2326,1,584,18.9,396.9,27.15,46.1
1.02477,0.0,15.45,0,0.3867,6.665,100.0,2.4787,5,267,15.6,396.9,15.47,35.4
1.84707,0.0,19.5,0,0.4332,4.863,72.9,3.3182,3,413,20.3,396.9,21.89,50.0
13.80737,0.0,0.46,0,0.5382,6.545,100.0,1.6652,3,370,16.5,396.9,17.16,40.9
5.63189,0.0,0.46,0,0.4893,5.888,98.1,8.281,4,373,17.6,396.9,14.31,40.9
20.40349,0.0,16.33,0,0.5251,6.161,100.0,6.86,3,385,19.4,396.9,13.81,42.3
6.87421,0.0,2.1,0,0.4571,3.561,88.6,4.4188,1,602,17.3,396.9,8.49,27.2
13.85435,0.0,22.33,1,0.5334,5.431,100.0,4.9601,5,407,18.8,396.9,27.43,16.8
11.8643,0.0,18.5,0,0.45,5.354,42.6,6.2751,1,639,20.3,396.9,17.62,19.0
0.00632,2.3,0.46,0,0.4108,6.51,100.0,7.8658,24,382,14.6,392.45,16.3,27.6
3.86522,0.0,0.46,0,0.4933,5.851,82.5,2.4833,7,423,19.8,396.9,18.81,24.2
0.0351,0.0,11.98,0,0.5297,5.538,98.8,5.1192,4,377,18.5,396.9,26.02,25.1
1.8326,0.2,18.31,1,0.6148,4.481,100.0,4.3727,7,683,18.2,369.49,12.84,28.2
11.59344,0.0,0.46,0,0.6248,5.424,66.1,3.2234,8,661,13.0,396.9,14.8,20.1
1.48063,0.0,0.46,0,0.4497,5.665,100.0,10.5975,6,698,18.3,396.9,4.49,27.9
12.91617,0.0,16.45,0,0.5453,5.56,78.4,5.8221,1,349,12.6,376.85,24.15,23.6
1.64706,7.3,0.78,1,0.4788,4.625,100.0,3.5723,4,338,16.6,396.9,12.33,23.9
