age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
79,152730,9.0,10,3.0,4,1,13,9,18755,42805,10,9,1,7,2,1,4,1,4,5,10,Female,East Maryburgh,Store
65,57322,5.0,2,2.6,4,4,8,18,14374,16591,5,2,3,9,6,7,7,8,9,7,10,Male,Bettyville,Online
57,184817,10.1,14,3.4,1,6,45,6,59543,542,9,6,7,8,8,6,6,5,9,10,8,Male,Brewershire,Store
40,44315,8.7,9,2.5,4,3,31,7,127157,53455,8,4,2,2,10,5,2,6,3,6,10,Other,New Tanya,Online
33,167754,4.3,5,3.0,5,3,42,17,142017,137243,7,4,5,9,5,2,8,3,3,3,4,Female,Melissafort,Store
34,121139,1.7,14,3.5,7,4,11,15,53661,109134,4,0,4,2,1,10,1,2,9,4,8,Female,Port Amandaborough,Hybrid
24,38607,3.3,8,0.3,8,1,44,19,117937,78381,9,9,1,9,9,3,6,8,10,10,8,Female,Gloverport,Online
45,193495,7.4,12,3.1,8,1,45,15,10241,93441,10,4,7,4,6,8,1,4,1,8,5,Male,Lake Dustin,Store
69,182200,7.1,8,2.3,3,3,41,8,523,44377,8,8,7,7,5,6,3,8,6,2,1,Male,East Wendyhaven,Online
50,185234,8.0,8,2.6,1,9,6,14,93554,113560,6,4,5,3,8,9,1,3,4,10,6,Female,East Katrinaborough,Online
53,244382,10.0,10,3.0,7,2,17,12,80377,18330,9,8,5,2,2,5,8,1,1,6,9,Other,Charlesmouth,Hybrid
65,248095,8.2,11,2.7,7,9,11,2,134719,23495,1,6,2,2,7,3,9,9,6,7,8,Female,Port Barbarashire,Store
48,132937,3.9,5,1.6,2,7,42,8,111096,34666,7,6,6,4,7,5,7,4,5,3,10,Male,Shannonborough,Store
40,193866,5.4,1,2.0,10,9,48,3,63580,120040,2,2,4,7,8,10,4,4,9,4,2,Male,Youngfurt,Online
64,136773,4.0,14,2.4,2,8,18,4,9089,8723,5,9,2,4,10,8,4,3,5,5,3,Other,South Mark,Online
65,200358,7.3,13,0.7,6,9,33,12,10772,135403,4,0,1,9,2,2,8,8,9,9,3,Male,South Rebekahtown,Store
64,249989,9.9,12,0.7,3,5,1,5,92835,19654,10,3,2,4,1,2,10,9,1,3,3,Female,Port Kara,Hybrid
74,247125,10.4,9,3.6,2,10,32,17,34833,139612,1,3,2,9,5,5,2,9,3,6,6,Other,Duncanmouth,Online
