age,monthly_income,daily_internet_hours,smartphone_usage_years,social_media_hours,online_payment_trust_score,tech_savvy_score,monthly_online_orders,monthly_store_visits,avg_online_spend,avg_store_spend,discount_sensitivity,return_frequency,avg_delivery_days,delivery_fee_sensitivity,free_return_importance,product_availability_online,impulse_buying_score,need_touch_feel_score,brand_loyalty_score,environmental_awareness,time_pressure_level,gender,city_tier,shopping_preference
39,216306,4.3,4,2.4,9,7,48,13,58801,149972,9,1,1,3,10,4,7,1,4,3,7,Male,East Maryburgh,Store
27,170143,6.0,7,4.0,7,8,49,0,112130,72465,3,8,6,6,2,9,10,3,8,5,6,Other,Bettyville,Online
54,203196,4.6,1,1.5,7,1,49,5,138389,108393,9,2,2,6,6,8,1,6,10,8,3,Other,Brewershire,Online
28,33271,5.1,10,2.9,7,8,45,16,132021,19174,4,8,6,1,3,9,2,6,9,10,9,Female,New Tanya,Online
22,163370,4.2,1,5.4,6,1,48,17,70507,542,3,0,2,9,1,6,7,7,10,7,8,Male,Melissafort,Store
33,174962,9.4,7,3.1,7,1,28,9,69516,67236,9,4,2,7,2,4,2,7,9,5,6,Male,Port Amandaborough,Online
54,34129,4.8,7,3.5,9,3,14,10,18355,149972,7,0,5,5,5,6,2,1,1,7,8,Other,Gloverport,Online
73,151747,3.8,3,1.9,8,8,49,16,63533,52088,5,5,5,10,6,2,1,1,6,6,7,Female,Lake Dustin,Store
41,213131,5.5,5,2.0,4,9,49,1,67421,28580,10,7,7,1,1,4,6,10,1,1,8,Other,East Wendyhaven,Hybrid
37,164105,6.1,8,3.4,4,10,42,1,124828,14306,10,2,3,1,8,9,5,9,2,8,6,Female,East Katrinaborough,Online
44,211629,8.0,10,1.2,3,4,49,16,4409,131171,2,9,2,3,2,9,6,8,3,9,7,Other,Charlesmouth,Store
26,21977,5.9,1,2.9,5,1,48,2,143638,110497,1,7,1,3,2,1,2,7,8,9,9,Other,Port Barbarashire,Online
51,115845,6.8,14,0.5,6,5,1,5,8464,542,10,0,4,2,5,10,3,4,2,10,2,Female,Shannonborough,Store
38,86471,4.4,10,2.0,5,2,49,16,96497,130746,5,9,5,10,1,5,1,2,5,4,8,Female,Youngfurt,Online
28,71261,5.1,6,1.2,1,7,33,8,91399,143390,3,8,2,10,3,2,6,2,10,3,3,Male,South Mark,Store
52,239443,12.0,5,3.3,8,2,33,1,53467,14882,5,1,6,10,8,10,5,8,5,3,6,Male,South Rebekahtown,Online
21,135450,7.3,7,2.9,2,5,47,12,147542,51789,1,0,6,7,9,10,7,3,2,3,8,Male,Port Kara,Online
42,30581,6.9,5,2.8,3,7,18,15,129371,60036,5,5,1,1,7,9,5,4,10,7,5,Male,Duncanmouth,Store
18,48603,8.8,10,0.0,10,5,48,19,149846,6689,7,9,1,7,7,2,10,10,8,3,2,Male,Jerryville,Online
42,200355,6.6,5,2.4,6,10,46,4,35658,144771,8,9,4,3,1,9,1,7,1,9,7,Female,West Christopher,Store
72,208388,2.8,3,2.7,9,3,38,6,28790,85239,6,6,5,7,9,6,8,1,2,6,3,Male,New Allen,Store
54,109139,8.8,11,2.3,6,9,35,15,56827,78396,9,9,2,10,7,2,7,6,5,3,7,Female,Jasminemouth,Online
54,205613,5.5,7,3.1,2,7,36,2,104073,11744,2,1,2,8,3,4,9,8,4,10,6,Male,Port Michaelberg,Online
39,15005,2.8,1,6.0,5,5,25,5,54498,75669,9,6,5,6,10,7,2,4,8,3,8,Other,Michaelburgh,Online
44,162444,4.2,1,3.3,10,6,8,19,38010,109891,1,5,6,8,1,4,6,4,5,7,3,Other,Sanchezfurt,Store
18,166366,4.8,3,4.5,7,7,43,13,30014,26169,9,1,5,4,5,7,4,7,6,1,5,Female,Nathanton,Online
48,143158,5.2,1,5.2,6,9,33,10,41217,86772,10,6,2,8,1,10,10,9,10,1,5,Other,Autumnfort,Store
18,21855,7.6,5,2.2,6,4,49,10,108085,135144,2,4,2,8,2,1,8,1,4,10,5,Female,Daniellestad,Store
31,158536,5.3,5,1.9,6,8,22,1,103878,134527,7,4,2,6,6,6,6,6,5,8,3,Other,Lake Patricktown,Hybrid
18,55889,6.0,5,1.9,7,2,49,3,15202,52998,2,0,5,2,10,3,4,4,3,10,6,Other,Liuland,Online
23,54551,6.3,6,0.5,1,3,25,2,117288,12120,5,5,1,4,8,2,7,5,8,8,6,Other,South Davidbury,Store
18,156077,4.3,13,1.8,2,2,33,4,115033,19714,4,5,2,10,7,4,6,5,7,2,6,Other,West Marco,Store
37,76163,6.8,10,2.0,1,10,49,16,31344,28048,4,5,2,7,3,9,2,9,3,2,4,Other,Ramirezville,Store
24,171690,4.8,5,2.9,1,1,9,14,6749,110475,7,9,2,9,1,6,5,6,8,9,10,Female,Port Matthewberg,Online
67,233858,5.5,14,4.6,9,5,6,14,62221,15914,7,8,6,3,5,3,7,7,4,7,5,Other,Duartehaven,Store
50,151006,6.3,1,3.5,1,8,18,19,144508,81811,9,9,2,6,4,4,8,5,10,9,6,Other,West Andrewmouth,Store
46,33113,10.1,7,1.2,10,2,17,1,68267,83347,9,6,2,4,3,3,2,6,1,2,6,Other,Jonburgh,Store
35,65264,5.5,6,5.4,1,4,30,11,13796,19246,4,1,4,2,9,2,5,5,8,9,10,Male,Danielfurt,Store
25,105899,6.6,2,3.5,10,6,45,0,29408,31628,7,5,6,1,3,10,9,3,6,5,9,Other,West Moniqueland,Online
69,94471,5.0,4,1.5,10,10,22,12,149996,127021,9,6,7,6,9,3,3,10,10,5,6,Male,North Ericview,Store
21,158342,7.1,5,3.7,8,8,49,17,523,119036,7,5,1,7,9,5,8,10,1,8,2,Male,South Benjaminview,Store
38,108657,4.6,2,3.2,5,2,39,16,18899,6172,6,2,2,8,8,4,4,8,8,4,6,Other,Jamesshire,Store
29,15005,7.9,1,1.6,3,1,29,7,26998,41062,5,7,1,4,6,10,9,7,10,5,10,Male,Suttonville,Store
55,43621,3.9,5,0.3,8,7,25,1,86960,42653,2,5,7,5,6,2,10,2,8,6,5,Male,Lake Joseph,Online
19,196734,9.0,7,3.2,10,8,34,7,36668,25292,4,5,4,4,8,8,10,7,6,6,6,Other,Russellfort,Online
39,19444,7.2,7,2.7,1,7,48,14,3295,120694,5,5,7,3,9,3,9,2,4,5,10,Male,East Wayne,Store
57,17824,4.7,11,4.1,7,8,37,18,43193,46401,5,5,5,6,1,3,5,3,5,8,1,Female,Alyssamouth,Store
18,213889,5.8,8,2.7,1,2,47,4,46908,13893,8,7,3,10,1,4,5,5,3,9,8,Female,Lake Jorge,Online
27,83619,9.3,9,1.2,5,1,35,15,51290,109342,5,9,7,7,1,2,6,6,6,3,7,Male,Solomonhaven,Store
53,200825,4.0,6,0.8,2,10,49,19,137144,63629,9,3,2,1,6,2,9,7,8,3,3,Male,Parkertown,Store
18,135799,5.8,8,2.2,6,10,37,9,82342,149972,8,5,6,9,1,8,4,5,6,7,7,Other,West Dianaport,Store
