year,rating,runtime,certificate,genre,gross_total
2011,8.1,89,PG-13,Drama,$392.98M
2020,8.2,112,PG,"Biography, Comedy, Drama",$50.29M
2025,8.2,158,PG-13,"Horror, Sci-Fi",$213.22M
2003,9.2,99,G,"Comedy, Romance",$7.99M
1965,8.1,52,R,"Animation, Action, Adventure",$0.02M
1985,8.0,82,Unrated,"Drama, Mystery, Thriller",$50.29M
2025,8.3,65,Unrated,"Crime, Mystery, Thriller",$24.05M
2025,8.4,93,PG-13,"Biography, Drama, Sport",$0.02M
2025,9.3,163,PG-13,"Drama, Western",$37.92M
2025,8.1,141,PG-13,"Animation, Adventure, Fantasy",$126.22M
2011,8.0,115,PG,"Drama, Sport",$356.30M
1982,8.1,100,PG-13,"Biography, Crime, Drama",$773.86M
1974,8.3,128,PG,"Action, Biography, Drama",$0.00M
1973,8.1,136,Unrated,"Comedy, Crime",$230.10M
2025,8.2,125,PG,"Comedy, Drama",$109.68M
2018,8.4,97,PG,Comedy,$16.51M
2014,8.2,93,NC-17,"Drama, Romance",$7.99M
1982,8.2,121,PG,"Crime, Sci-Fi",$0.07M
1976,8.0,73,R,"Animation, Action, Adventure",$65.80M
2025,8.0,91,R,"Adventure, Comedy, Drama",$161.51M
1999,8.2,143,G,Horror,$15.00M
1980,8.2,45,G,"Drama, Family, Fantasy",$430.87M
2006,8.2,92,G,"Drama, Family, Sport",$426.59M
1982,8.1,148,Unrated,"Action, Drama, Sci-Fi",$0.23M
2013,8.7,100,R,"Drama, Romance, War",$98.69M
2003,8.3,202,Unrated,"Biography, Comedy, Drama",$322.16M
1965,8.2,83,Unrated,"Drama, Fantasy, War",$27.20M
2013,8.4,119,R,"Crime, Drama, Thriller",$0.47M
2025,8.1,142,Unrated,"Adventure, Comedy, Sci-Fi",$6.58M
2023,8.2,111,PG-13,"Biography, Drama, Sport",$474.17M
1986,8.3,86,PG-13,"Drama, Mystery",$213.22M
2024,8.1,159,Unrated,"Drama, Romance",$235.86M
2025,8.1,113,R,"Animation, Drama",$4.70M
2008,8.2,89,PG,"Adventure, Drama",$0.97M
1922,8.1,77,NC-17,"Action, Drama, Sport",$401.16M
2005,9.2,98,Unrated,"Action, Adventure, Fantasy",$944.74M
1984,8.1,120,G,"Action, Crime, Thriller",$375.58M
1990,8.3,90,PG,"Comedy, Drama",$322.16M
1950,8.3,96,Unrated,"Comedy, Drama, War",$187.73M
2024,8.2,69,R,"Crime, Drama, Thriller",$360.18M
2025,8.2,82,PG,"Animation, Action, Adventure",$66.44M
2018,8.2,45,G,"Biography, Drama",$64.42M
2025,8.2,93,R,Drama,$944.74M
2025,8.4,133,R,"Animation, Drama, Fantasy",$120.10M
1979,8.3,79,R,Comedy,$35.40M
2024,8.5,106,G,"Drama, Family, Sport",$76.43M
2025,8.3,112,R,"Biography, Drama",$5.44M
1998,8.9,348,R,"Crime, Drama, Mystery",$31.04M
2000,8.2,78,PG-13,"Animation, Adventure, Fantasy",$109.68M
1994,8.2,137,NC-17,"Action, Drama, Sci-Fi",$0.04M
1972,8.3,97,G,"Action, Drama",$401.16M
2022,8.0,85,PG,"Comedy, Drama",$66.44M
2005,8.0,117,G,"Adventure, Sci-Fi",$64.42M
2022,8.1,81,PG-13,"Action, Drama, Sci-Fi",$839.79M
1997,8.1,130,PG,"Comedy, Drama",$517.78M
1981,8.2,45,R,"Crime, Drama, Mystery",$22.93M
2025,8.7,77,G,"Drama, Fantasy, War",$31.04M
2010,8.2,95,Unrated,"Animation, Adventure, Comedy",$1921.43M
1996,8.2,144,Unrated,"Drama, Mystery, Thriller",$116.11M
2021,8.2,142,Unrated,"Adventure, Comedy, Drama",$60.61M
2025,8.1,113,Unrated,"Drama, Sport",$1342.94M
2020,8.1,88,R,"Action, Drama, War",$23.88M
2010,8.3,51,R,"Action, Adventure",$49.08M
2025,8.0,111,G,"Action, Adventure, Sci-Fi",$83.86M
2024,8.1,126,G,"Animation, Adventure, Family",$73.31M
1996,8.1,142,PG,"Crime, Sci-Fi",$20.87M
2003,8.1,170,G,"Drama, Family, Fantasy",$117.25M
1985,8.6,77,NC-17,"Drama, Family",$23.34M
1975,8.1,96,R,"Adventure, Drama, Fantasy",$156.01M
2025,8.4,57,Unrated,"Drama, Western",$40.06M
2025,8.1,64,Unrated,"Biography, Crime, Drama",$356.30M
1991,8.3,92,PG,"Adventure, Comedy, Drama",$735.10M
2025,8.2,161,Unrated,"Biography, Drama, Sport",$78.37M
1966,8.1,130,R,"Drama, Romance",$159.17M
2001,8.2,93,R,"Crime, Drama",$175.42M
2022,8.3,129,Unrated,"Action, Crime, Drama",$174.57M
2025,8.1,146,PG-13,"Action, Comedy, Romance",$1495.70M
1968,9.0,152,Unrated,"Comedy, Crime, Drama",$0.46M
2025,8.1,51,R,"Drama, Romance, Thriller",$4.42M
2014,8.2,149,NC-17,"Comedy, Crime",$73.31M
2015,8.2,100,PG,"Drama, Thriller, War",$619.18M
2025,8.2,110,PG,"Action, Drama",$27.20M
1999,8.5,101,Unrated,"Biography, Crime, Drama",$250.93M
2002,8.4,105,R,"Action, Comedy, Romance",$375.58M
1962,8.6,130,PG-13,Horror,$654.26M
2020,8.1,63,R,"Biography, Comedy, Drama",$216.76M
1968,8.3,125,PG-13,"Drama, Film-Noir, Mystery",$1103.11M
2025,8.1,49,PG,"Adventure, Drama, Thriller",$22.93M
2020,8.0,81,R,"Action, Drama, Sport",$0.47M
